4         Threads
31        Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         2618.83          ---          ---      4.57600       250.65 
Gets        26118.25     26081.05        37.19      4.28400      2447.36 
Waits           0.00          ---          ---      0.00000          --- 
Totals      28737.08     26081.05        37.19      4.31000      2698.02 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.500         0.01
SET       2.600         0.02
SET       2.800         0.02
SET       2.900         0.02
SET       3.000         0.03
SET       3.100         0.05
SET       3.200         0.15
SET       3.300         0.42
SET       3.400         1.03
SET       3.500         2.10
SET       3.600         3.94
SET       3.700         7.16
SET       3.800        12.02
SET       3.900        18.58
SET       4.000        26.28
SET       4.100        34.32
SET       4.200        42.75
SET       4.300        50.50
SET       4.400        57.72
SET       4.500        63.73
SET       4.600        68.91
SET       4.700        73.35
SET       4.800        77.00
SET       4.900        79.84
SET       5.000        82.33
SET       5.100        84.35
SET       5.200        86.05
SET       5.300        87.53
SET       5.400        88.83
SET       5.500        89.89
SET       5.600        90.93
SET       5.700        91.84
SET       5.800        92.61
SET       5.900        93.34
SET       6.000        93.88
SET       6.100        94.48
SET       6.200        94.99
SET       6.300        95.43
SET       6.400        95.83
SET       6.500        96.28
SET       6.600        96.57
SET       6.700        96.88
SET       6.800        97.10
SET       6.900        97.30
SET       7.000        97.47
SET       7.100        97.68
SET       7.200        97.87
SET       7.300        97.96
SET       7.400        98.03
SET       7.500        98.11
SET       7.600        98.21
SET       7.700        98.29
SET       7.800        98.35
SET       7.900        98.43
SET       8.000        98.48
SET       8.100        98.51
SET       8.200        98.56
SET       8.300        98.61
SET       8.400        98.68
SET       8.500        98.75
SET       8.600        98.84
SET       8.700        98.92
SET       8.800        99.01
SET       8.900        99.08
SET       9.000        99.16
SET       9.100        99.22
SET       9.200        99.27
SET       9.300        99.32
SET       9.400        99.37
SET       9.500        99.42
SET       9.600        99.47
SET       9.700        99.53
SET       9.800        99.60
SET       9.900        99.62
SET      10.000        99.75
SET      11.000        99.92
SET      12.000        99.94
