4         Threads
5         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          971.04          ---          ---      2.28700        92.94 
Gets         9698.67      9684.67        14.00      1.82700       908.80 
Waits           0.00          ---          ---      0.00000          --- 
Totals      10669.71      9684.67        14.00      1.86800      1001.73 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.710         0.01
SET       0.830         0.02
SET       0.850         0.03
SET       0.860         0.04
SET       0.870         0.05
SET       0.880         0.06
SET       0.900         0.08
SET       0.910         0.09
SET       0.920         0.10
SET       0.930         0.12
SET       0.940         0.13
SET       0.950         0.14
SET       0.960         0.22
SET       0.970         0.26
SET       0.980         0.28
SET       0.990         0.33
SET       1.000         0.63
SET       1.100         1.40
SET       1.200         2.78
SET       1.300         5.20
SET       1.400         8.76
SET       1.500        13.73
SET       1.600        18.73
SET       1.700        24.66
SET       1.800        31.06
SET       1.900        37.18
SET       2.000        43.00
SET       2.100        49.58
SET       2.200        55.68
SET       2.300        61.02
SET       2.400        65.71
SET       2.500        69.81
SET       2.600        73.61
SET       2.700        77.16
SET       2.800        80.61
SET       2.900        83.50
SET       3.000        86.37
SET       3.100        88.78
SET       3.200        90.74
SET       3.300        92.18
SET       3.400        93.40
SET       3.500        94.74
SET       3.600        95.64
SET       3.700        96.23
SET       3.800        96.69
SET       3.900        97.11
SET       4.000        97.48
SET       4.100        97.79
SET       4.200        97.97
SET       4.300        98.22
SET       4.400        98.35
SET       4.500        98.53
SET       4.600        98.72
SET       4.700        98.83
SET       4.800        98.90
SET       4.900        99.05
SET       5.000        99.21
SET       5.100        99.32
SET       5.200        99.40
SET       5.300        99.46
SET       5.400        99.59
SET       5.500        99.67
SET       5.600        99.73
SET       5.700        99.75
SET       5.800        99.80
SET       5.900        99.85
SET       6.000        99.87
SET       6.100        99.88
SET       6.200        99.89
SET       6.500        99.90
SET       6.600        99.91
SET       6.700        99.93
SET       6.900        99.94
SET       7.000        99.95
SET       7.200        99.98
SET      14.000        99.99
SET      15.000       100.00
---
GET       0.290         0.00
GET       0.300         0.00
GET       0.330         0.00
GET       0.340         0.01
GET       0.360         0.01
GET       0.370         0.01
GET       0.380         0.02
GET       0.390         0.03
GET       0.400         0.04
GET       0.410         0.06
GET       0.420         0.08
GET       0.430         0.10
GET       0.440         0.13
GET       0.450         0.16
GET       0.460         0.20
GET       0.470         0.25
GET       0.480         0.33
GET       0.490         0.40
GET       0.500         0.49
GET       0.510         0.58
GET       0.520         0.70
GET       0.530         0.81
GET       0.540         0.95
GET       0.550         1.10
