4         Threads
6         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1056.86          ---          ---      2.42700       101.15 
Gets        10553.61     10541.61        12.00      2.02500       989.01 
Waits           0.00          ---          ---      0.00000          --- 
Totals      11610.47     10541.61        12.00      2.06100      1090.16 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.890         0.01
SET       0.900         0.02
SET       0.940         0.03
SET       0.960         0.04
SET       0.970         0.05
SET       0.990         0.07
SET       1.000         0.20
SET       1.100         0.64
SET       1.200         1.49
SET       1.300         2.88
SET       1.400         5.07
SET       1.500         8.30
SET       1.600        12.21
SET       1.700        17.27
SET       1.800        22.84
SET       1.900        28.83
SET       2.000        35.10
SET       2.100        40.96
SET       2.200        47.57
SET       2.300        52.85
SET       2.400        57.88
SET       2.500        62.78
SET       2.600        67.39
SET       2.700        71.61
SET       2.800        75.41
SET       2.900        79.22
SET       3.000        82.21
SET       3.100        84.91
SET       3.200        87.37
SET       3.300        89.40
SET       3.400        91.28
SET       3.500        92.71
SET       3.600        93.77
SET       3.700        94.87
SET       3.800        95.55
SET       3.900        96.24
SET       4.000        96.83
SET       4.100        97.15
SET       4.200        97.38
SET       4.300        97.69
SET       4.400        98.00
SET       4.500        98.30
SET       4.600        98.54
SET       4.700        98.74
SET       4.800        98.88
SET       4.900        99.10
SET       5.000        99.24
SET       5.100        99.38
SET       5.200        99.45
SET       5.300        99.56
SET       5.400        99.61
SET       5.500        99.67
SET       5.600        99.69
SET       5.700        99.74
SET       5.800        99.78
SET       5.900        99.84
SET       6.000        99.87
SET       6.100        99.89
SET       6.200        99.92
SET       6.400        99.93
SET       6.600        99.94
SET       6.800        99.95
SET       8.000        99.96
SET       9.600        99.97
SET      11.000        99.98
SET      13.000       100.00
---
GET       0.360         0.00
GET       0.380         0.00
GET       0.410         0.00
GET       0.420         0.01
GET       0.430         0.01
GET       0.440         0.01
GET       0.450         0.01
GET       0.460         0.02
GET       0.470         0.03
GET       0.480         0.04
GET       0.490         0.06
GET       0.500         0.08
GET       0.510         0.11
GET       0.520         0.15
GET       0.530         0.19
GET       0.540         0.24
GET       0.550         0.30
GET       0.560         0.35
GET       0.570         0.42
GET       0.580         0.49
GET       0.590         0.57
GET       0.600         0.66
GET       0.610         0.76
GET       0.620         0.85
GET       0.630         0.95
GET       0.640         1.07
GET       0.650         1.18
GET       0.660         1.31
GET       0.670         1.47
GET       0.680         1.64
GET       0.690         1.78
GET       0.700         1.93
GET       0.710         2.09
GET       0.720         2.25
GET       0.730         2.43
GET       0.740         2.62
GET       0.750         2.81
GET       0.760         2.98
GET       0.770         3.15
GET       0.780         3.37
GET       0.790         3.56
GET       0.800         3.75
GET       0.810         3.94
GET       0.820         4.13
GET       0.830         4.36
GET       0.840         4.58
GET       0.850         4.79
GET       0.860         5.03
GET       0.870         5.28
GET       0.880         5.50
GET       0.890         5.72
GET       0.900         5.94
GET       0.910         6.19
GET       0.920         6.40
GET       0.930         6.63
GET       0.940         6.88
GET       0.950         7.14
GET       0.960         7.38
GET       0.970         7.65
GET       0.980         7.92
GET       0.990         8.20
GET       1.000         9.76
GET       1.100        12.57
GET       1.200        15.55
GET       1.300        19.18
GET       1.400        23.31
GET       1.500        28.16
GET       1.600        33.23
GET       1.700        38.89
GET       1.800        44.55
GET       1.900        50.16
GET       2.000        55.74
GET       2.100        61.17
GET       2.200        66.12
GET       2.300        70.60
GET       2.400        74.52
GET       2.500        78.11
GET       2.600        81.28
GET       2.700        84.08
GET       2.800        86.53
GET       2.900        88.58
GET       3.000        90.39
GET       3.100        92.04
GET       3.200        93.43
GET       3.300        94.54
GET       3.400        95.45
GET       3.500        96.19
GET       3.600        96.76
GET       3.700        97.22
GET       3.800        97.62
GET       3.900        97.98
GET       4.000        98.25
GET       4.100        98.47
GET       4.200        98.65
GET       4.300        98.79
GET       4.400        98.97
GET       4.500        99.13
GET       4.600        99.25
GET       4.700        99.36
GET       4.800        99.45
GET       4.900        99.53
GET       5.000        99.60
GET       5.100        99.65
GET       5.200        99.69
GET       5.300        99.73
GET       5.400        99.76
GET       5.500        99.80
GET       5.600        99.82
GET       5.700        99.84
GET       5.800        99.87
GET       5.900        99.89
GET       6.000        99.91
GET       6.100        99.92
GET       6.200        99.93
GET       6.300        99.94
GET       6.400        99.94
GET       6.500        99.94
GET       6.600        99.95
GET       6.700        99.95
GET       6.800        99.95
GET       7.200        99.95
GET       7.300        99.95
GET       7.400        99.95
GET       7.500        99.95
GET       7.600        99.95
GET       7.700        99.96
GET       7.800        99.96
GET       7.900        99.96
GET       8.000        99.96
GET       9.400        99.97
GET       9.500        99.97
GET       9.600        99.97
GET       9.700        99.97
GET       9.800        99.97
GET      11.000        99.97
GET      12.000        99.99
GET      13.000       100.00
GET      14.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1044.85          ---          ---      2.45300       100.00 
Gets        10435.92     10423.92        12.00      2.04800       977.98 
Waits           0.00          ---          ---      0.00000          --- 
Totals      11480.77     10423.92        12.00      2.08400      1077.98 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.810         0.01
SET       0.890         0.02
SET       0.910         0.03
SET       0.980         0.04
SET       0.990         0.05
SET       1.000         0.14
SET       1.100         0.60
SET       1.200         1.39
SET       1.300         3.12
SET       1.400         5.38
SET       1.500         7.98
SET       1.600        11.77
SET       1.700        16.44
SET       1.800        21.83
SET       1.900        27.47
SET       2.000        33.27
SET       2.100        39.38
SET       2.200        45.01
SET       2.300        50.62
SET       2.400        55.85
SET       2.500        60.71
SET       2.600        65.47
SET       2.700        69.62
SET       2.800        73.73
SET       2.900        77.64
SET       3.000        81.05
SET       3.100        84.16
SET       3.200        86.75
SET       3.300        88.96
SET       3.400        90.71
SET       3.500        92.10
SET       3.600        93.57
SET       3.700        94.57
SET       3.800        95.37
SET       3.900        96.09
SET       4.000        96.72
SET       4.100        97.22
SET       4.200        97.50
SET       4.300        97.88
SET       4.400        98.18
SET       4.500        98.41
SET       4.600        98.70
SET       4.700        98.90
SET       4.800        99.07
SET       4.900        99.19
SET       5.000        99.31
SET       5.100        99.40
SET       5.200        99.50
SET       5.300        99.62
SET       5.400        99.67
SET       5.500        99.78
SET       5.600        99.79
SET       5.700        99.83
SET       5.800        99.84
SET       5.900        99.86
SET       6.000        99.87
SET       6.100        99.89
SET       6.200        99.90
SET       6.300        99.91
SET       6.700        99.92
SET       6.800        99.93
SET       6.900        99.95
SET       8.900        99.96
SET       9.300        99.97
SET      11.000       100.00
---
GET       0.290         0.00
GET       0.350         0.00
GET       0.380         0.00
GET       0.400         0.01
GET       0.410         0.01
GET       0.420         0.01
GET       0.430         0.01
GET       0.440         0.02
GET       0.450         0.02
GET       0.460         0.03
GET       0.470         0.05
GET       0.480         0.07
GET       0.490         0.09
GET       0.500         0.11
GET       0.510         0.15
GET       0.520         0.18
GET       0.530         0.22
GET       0.540         0.27
GET       0.550         0.32
GET       0.560         0.39
GET       0.570         0.45
GET       0.580         0.52
GET       0.590         0.58
GET       0.600         0.68
GET       0.610         0.78
GET       0.620         0.88
GET       0.630         1.01
GET       0.640         1.12
GET       0.650         1.22
GET       0.660         1.34
GET       0.670         1.48
GET       0.680         1.62
GET       0.690         1.76
GET       0.700         1.94
GET       0.710         2.10
GET       0.720         2.27
GET       0.730         2.41
GET       0.740         2.59
GET       0.750         2.77
GET       0.760         2.96
GET       0.770         3.14
GET       0.780         3.33
GET       0.790         3.52
GET       0.800         3.73
GET       0.810         3.92
GET       0.820         4.11
GET       0.830         4.32
GET       0.840         4.52
GET       0.850         4.74
GET       0.860         4.96
GET       0.870         5.18
GET       0.880         5.39
GET       0.890         5.63
GET       0.900         5.88
GET       0.910         6.09
GET       0.920         6.30
GET       0.930         6.54
GET       0.940         6.75
GET       0.950         7.00
GET       0.960         7.24
GET       0.970         7.47
GET       0.980         7.73
GET       0.990         7.97
GET       1.000         9.33
GET       1.100        12.02
GET       1.200        15.03
GET       1.300        18.58
GET       1.400        22.64
GET       1.500        27.32
GET       1.600        32.33
GET       1.700        37.72
GET       1.800        43.18
GET       1.900        48.74
GET       2.000        54.30
GET       2.100        59.41
GET       2.200        64.47
GET       2.300        69.16
GET       2.400        73.22
GET       2.500        76.76
GET       2.600        80.04
GET       2.700        82.93
GET       2.800        85.53
GET       2.900        87.89
GET       3.000        89.95
GET       3.100        91.71
GET       3.200        93.11
GET       3.300        94.21
GET       3.400        95.10
GET       3.500        95.87
GET       3.600        96.51
GET       3.700        97.06
GET       3.800        97.55
GET       3.900        97.92
GET       4.000        98.20
GET       4.100        98.43
GET       4.200        98.64
GET       4.300        98.85
GET       4.400        99.03
GET       4.500        99.16
GET       4.600        99.28
GET       4.700        99.39
GET       4.800        99.47
GET       4.900        99.54
GET       5.000        99.61
GET       5.100        99.66
GET       5.200        99.72
GET       5.300        99.78
GET       5.400        99.81
GET       5.500        99.84
GET       5.600        99.86
GET       5.700        99.89
GET       5.800        99.91
GET       5.900        99.92
GET       6.000        99.93
GET       6.100        99.94
GET       6.200        99.95
GET       6.300        99.95
GET       6.400        99.95
GET       6.500        99.95
GET       6.600        99.96
GET       6.700        99.96
GET       6.800        99.96
GET       6.900        99.97
GET       7.000        99.97
GET       7.100        99.97
GET       7.300        99.97
GET       8.300        99.97
GET       8.800        99.98
GET       9.000        99.98
GET       9.200        99.98
GET      11.000        99.99
GET      12.000       100.00
---


AGGREGATED AVERAGE RESULTS (3 runs)
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1049.82          ---          ---      2.44167       100.48 
Gets        10485.47     10473.47        12.00      2.03833       982.62 
Waits           0.00          ---          ---      0.00000          --- 
Totals      11535.29     10473.47        12.00      2.07467      1083.10 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.810         0.00
SET       0.890         0.01
SET       0.900         0.02
SET       0.910         0.02
SET       0.940         0.02
SET       0.950         0.03
SET       0.960         0.03
SET       0.970         0.04
SET       0.980         0.04
SET       0.990         0.05
SET       1.000         0.17
