4         Threads
5         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          940.56          ---          ---      2.37200        90.02 
Gets         9396.45      9382.46        14.00      1.88400       880.46 
Waits           0.00          ---          ---      0.00000          --- 
Totals      10337.01      9382.46        14.00      1.92800       970.48 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.820         0.01
SET       0.870         0.02
SET       0.880         0.03
SET       0.930         0.05
SET       0.950         0.07
SET       0.960         0.09
SET       0.970         0.11
SET       0.980         0.12
SET       0.990         0.13
SET       1.000         0.30
SET       1.100         0.83
SET       1.200         1.99
SET       1.300         4.23
SET       1.400         7.15
SET       1.500        11.31
SET       1.600        15.82
SET       1.700        21.37
SET       1.800        27.19
SET       1.900        33.37
SET       2.000        39.03
SET       2.100        44.46
SET       2.200        49.75
SET       2.300        55.16
SET       2.400        60.25
SET       2.500        65.05
SET       2.600        69.61
SET       2.700        73.45
SET       2.800        77.09
SET       2.900        80.05
SET       3.000        82.79
SET       3.100        85.38
SET       3.200        87.74
SET       3.300        89.92
SET       3.400        91.77
SET       3.500        93.05
SET       3.600        94.10
SET       3.700        95.02
SET       3.800        95.86
SET       3.900        96.52
SET       4.000        97.07
SET       4.100        97.53
SET       4.200        97.95
SET       4.300        98.26
SET       4.400        98.47
SET       4.500        98.70
SET       4.600        98.80
SET       4.700        99.00
SET       4.800        99.16
SET       4.900        99.28
SET       5.000        99.34
SET       5.100        99.39
SET       5.200        99.46
SET       5.300        99.52
SET       5.400        99.59
SET       5.500        99.66
SET       5.600        99.71
SET       5.700        99.72
SET       5.800        99.77
SET       5.900        99.81
SET       6.000        99.82
SET       6.100        99.85
SET       6.200        99.88
SET       6.300        99.91
SET       6.400        99.93
SET       6.500        99.94
SET       6.700        99.95
SET       6.800        99.96
SET       6.900        99.97
SET      14.000        99.99
SET      15.000       100.00
---
GET       0.260         0.00
GET       0.290         0.00
GET       0.330         0.00
GET       0.360         0.01
GET       0.370         0.01
GET       0.380         0.01
GET       0.390         0.02
GET       0.400         0.03
GET       0.410         0.04
GET       0.420         0.05
GET       0.430         0.06
GET       0.440         0.09
GET       0.450         0.14
GET       0.460         0.18
GET       0.470         0.22
GET       0.480         0.27
GET       0.490         0.34
GET       0.500         0.40
GET       0.510         0.47
GET       0.520         0.58
GET       0.530         0.70
GET       0.540         0.82
GET       0.550         0.95
GET       0.560         1.08
GET       0.570         1.24
GET       0.580         1.41
GET       0.590         1.59
GET       0.600         1.79
GET       0.610         1.96
GET       0.620         2.14
GET       0.630         2.31
GET       0.640         2.54
GET       0.650         2.77
GET       0.660         3.02
GET       0.670         3.30
GET       0.680         3.52
GET       0.690         3.76
GET       0.700         4.03
GET       0.710         4.34
GET       0.720         4.64
GET       0.730         4.93
