4         Threads
7         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1110.70          ---          ---      2.65700       106.30 
Gets        11092.28     11078.28        14.00      2.25100      1039.44 
Waits           0.00          ---          ---      0.00000          --- 
Totals      12202.98     11078.28        14.00      2.28800      1145.75 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.960         0.01
SET       0.970         0.02
SET       1.000         0.05
SET       1.100         0.15
SET       1.200         0.46
SET       1.300         1.30
SET       1.400         2.47
SET       1.500         4.47
SET       1.600         7.35
SET       1.700        11.10
SET       1.800        15.39
SET       1.900        19.79
SET       2.000        24.70
SET       2.100        29.60
SET       2.200        35.19
SET       2.300        40.90
SET       2.400        46.59
SET       2.500        51.40
SET       2.600        56.16
SET       2.700        60.50
SET       2.800        64.62
SET       2.900        68.72
SET       3.000        72.50
SET       3.100        75.98
SET       3.200        79.70
SET       3.300        83.00
SET       3.400        85.58
SET       3.500        87.83
SET       3.600        89.90
SET       3.700        91.39
SET       3.800        92.67
SET       3.900        93.61
SET       4.000        94.47
SET       4.100        95.21
SET       4.200        95.89
SET       4.300        96.27
SET       4.400        96.77
SET       4.500        97.28
SET       4.600        97.62
SET       4.700        97.83
SET       4.800        98.14
SET       4.900        98.35
SET       5.000        98.54
SET       5.100        98.69
SET       5.200        98.87
SET       5.300        98.97
SET       5.400        99.11
SET       5.500        99.19
SET       5.600        99.32
SET       5.700        99.41
SET       5.800        99.50
SET       5.900        99.57
SET       6.000        99.64
SET       6.100        99.68
SET       6.200        99.69
SET       6.300        99.73
SET       6.400        99.76
SET       6.500        99.77
SET       6.600        99.81
SET       6.700        99.82
SET       6.800        99.83
SET       6.900        99.84
SET       7.000        99.86
SET       7.100        99.86
SET       7.200        99.88
SET       8.600        99.89
SET       8.700        99.91
SET       8.800        99.92
SET      11.000        99.93
SET      15.000        99.96
SET      18.000       100.00
---
GET       0.350         0.00
GET       0.390         0.00
GET       0.400         0.01
GET       0.420         0.01
GET       0.440         0.01
GET       0.450         0.01
GET       0.460         0.01
GET       0.470         0.02
GET       0.480         0.02
GET       0.490         0.03
GET       0.500         0.03
GET       0.510         0.04
GET       0.520         0.05
GET       0.530         0.06
GET       0.540         0.07
GET       0.550         0.08
GET       0.560         0.10
GET       0.570         0.11
GET       0.580         0.13
GET       0.590         0.16
GET       0.600         0.18
GET       0.610         0.22
