4         Threads
3         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          744.28          ---          ---      2.04800        71.24 
Gets         7436.99      7421.39        15.60      1.40100       696.71 
Waits           0.00          ---          ---      0.00000          --- 
Totals       8181.27      7421.39        15.60      1.45900       767.94 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.780         0.01
SET       0.810         0.04
SET       0.830         0.05
SET       0.850         0.07
SET       0.860         0.08
SET       0.870         0.15
SET       0.880         0.21
SET       0.890         0.26
SET       0.900         0.32
SET       0.910         0.42
SET       0.920         0.48
SET       0.930         0.55
SET       0.940         0.64
SET       0.950         0.70
SET       0.960         0.81
SET       0.970         0.98
SET       0.980         1.14
SET       0.990         1.30
SET       1.000         2.53
SET       1.100         6.09
SET       1.200         9.59
SET       1.300        13.27
SET       1.400        17.84
SET       1.500        24.73
SET       1.600        31.99
SET       1.700        39.86
SET       1.800        46.81
SET       1.900        52.73
SET       2.000        57.71
SET       2.100        62.73
SET       2.200        68.12
SET       2.300        72.85
SET       2.400        76.77
SET       2.500        80.48
SET       2.600        83.45
SET       2.700        85.97
SET       2.800        87.98
SET       2.900        89.94
SET       3.000        91.46
SET       3.100        92.89
SET       3.200        94.01
SET       3.300        94.98
SET       3.400        95.81
SET       3.500        96.53
SET       3.600        97.07
SET       3.700        97.57
SET       3.800        97.92
SET       3.900        98.19
SET       4.000        98.55
SET       4.100        98.74
SET       4.200        98.90
SET       4.300        99.07
SET       4.400        99.19
SET       4.500        99.23
SET       4.600        99.31
SET       4.700        99.37
SET       4.800        99.45
SET       4.900        99.50
SET       5.000        99.58
SET       5.100        99.65
SET       5.200        99.66
SET       5.300        99.73
SET       5.400        99.76
SET       5.500        99.77
SET       5.700        99.80
SET       5.800        99.81
SET       5.900        99.83
SET       6.100        99.87
SET       6.200        99.88
SET       6.300        99.89
SET       7.000        99.91
SET       8.200        99.93
SET       8.300        99.96
SET      14.000        99.97
SET      15.000        99.99
SET      17.000       100.00
---
GET       0.190         0.00
GET       0.210         0.00
GET       0.220         0.00
GET       0.240         0.01
GET       0.250         0.01
GET       0.260         0.01
GET       0.270         0.02
GET       0.280         0.03
GET       0.290         0.04
GET       0.300         0.07
GET       0.310         0.11
GET       0.320         0.15
GET       0.330         0.21
GET       0.340         0.30
GET       0.350         0.38
GET       0.360         0.50
GET       0.370         0.67
GET       0.380         0.87
GET       0.390         1.06
GET       0.400         1.30
GET       0.410         1.57
GET       0.420         1.90
GET       0.430         2.25
GET       0.440         2.63
GET       0.450         3.04
GET       0.460         3.55
GET       0.470         4.06
GET       0.480         4.63
GET       0.490         5.20
GET       0.500         5.86
GET       0.510         6.50
GET       0.520         7.13
GET       0.530         7.77
GET       0.540         8.44
GET       0.550         9.14
GET       0.560         9.83
GET       0.570        10.52
GET       0.580        11.22
GET       0.590        11.92
GET       0.600        12.61
GET       0.610        13.35
GET       0.620        14.01
GET       0.630        14.76
GET       0.640        15.53
GET       0.650        16.24
GET       0.660        17.01
GET       0.670        17.80
GET       0.680        18.51
GET       0.690        19.21
GET       0.700        19.93
GET       0.710        20.65
GET       0.720        21.34
GET       0.730        22.05
GET       0.740        22.78
GET       0.750        23.44
GET       0.760        24.08
GET       0.770        24.79
GET       0.780        25.42
GET       0.790        26.07
GET       0.800        26.73
GET       0.810        27.38
GET       0.820        27.91
GET       0.830        28.48
GET       0.840        29.06
GET       0.850        29.63
GET       0.860        30.18
GET       0.870        30.76
GET       0.880        31.29
GET       0.890        31.83
GET       0.900        32.31
GET       0.910        32.82
GET       0.920        33.31
GET       0.930        33.79
GET       0.940        34.27
GET       0.950        34.75
GET       0.960        35.20
GET       0.970        35.68
GET       0.980        36.15
GET       0.990        36.59
GET       1.000        39.10
GET       1.100        43.61
GET       1.200        47.88
GET       1.300        52.25
GET       1.400        56.88
GET       1.500        61.86
GET       1.600        66.83
GET       1.700        71.48
GET       1.800        75.38
GET       1.900        78.81
GET       2.000        81.72
GET       2.100        84.41
GET       2.200        87.05
GET       2.300        89.44
GET       2.400        91.44
GET       2.500        93.00
GET       2.600        94.18
GET       2.700        95.11
GET       2.800        95.91
GET       2.900        96.63
GET       3.000        97.20
GET       3.100        97.69
GET       3.200        98.03
GET       3.300        98.35
GET       3.400        98.67
GET       3.500        98.86
GET       3.600        99.03
GET       3.700        99.17
GET       3.800        99.29
GET       3.900        99.43
GET       4.000        99.53
GET       4.100        99.59
GET       4.200        99.66
GET       4.300        99.72
GET       4.400        99.76
GET       4.500        99.77
GET       4.600        99.80
GET       4.700        99.83
GET       4.800        99.86
GET       4.900        99.87
GET       5.000        99.88
GET       5.100        99.90
GET       5.200        99.91
GET       5.300        99.91
GET       5.400        99.92
GET       5.500        99.92
GET       5.600        99.93
GET       5.700        99.94
GET       5.800        99.94
GET       5.900        99.95
GET       6.000        99.96
GET       6.100        99.96
GET       6.200        99.96
GET       6.300        99.97
GET       6.400        99.97
GET       6.800        99.97
GET       7.000        99.97
GET       7.100        99.97
GET       7.200        99.97
GET       7.300        99.97
GET       7.400        99.98
GET       7.900        99.98
GET       8.000        99.98
GET       8.100        99.98
GET       8.300        99.98
GET       8.400        99.98
GET       8.500        99.99
GET       8.600        99.99
GET       8.900        99.99
GET      14.000        99.99
GET      15.000        99.99
GET      16.000       100.00
GET      17.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          501.81          ---          ---      3.14700        48.03 
Gets         5012.33      5006.33         6.00      2.07000       469.71 
Waits           0.00          ---          ---      0.00000          --- 
Totals       5514.15      5006.33         6.00      2.16800       517.74 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.720         0.02
SET       0.770         0.04
SET       0.780         0.06
SET       0.790         0.08
SET       0.800         0.10
SET       0.820         0.14
SET       0.830         0.18
SET       0.840         0.20
SET       0.860         0.24
SET       0.870         0.30
SET       0.880         0.36
SET       0.890         0.38
SET       0.900         0.44
SET       0.910         0.50
SET       0.930         0.60
SET       0.940         0.72
SET       0.950         0.88
SET       0.960         1.16
SET       0.970         1.33
SET       0.980         1.51
SET       0.990         1.63
SET       1.000         2.69
SET       1.100         5.18
SET       1.200         8.03
SET       1.300        11.50
SET       1.400        16.40
SET       1.500        22.51
SET       1.600        28.03
SET       1.700        33.17
SET       1.800        37.62
SET       1.900        41.88
SET       2.000        46.03
SET       2.100        50.57
SET       2.200        54.73
SET       2.300        57.88
SET       2.400        60.49
SET       2.500        62.70
SET       2.600        64.63
SET       2.700        66.37
SET       2.800        67.86
SET       2.900        69.18
SET       3.000        70.19
SET       3.100        71.01
SET       3.200        71.87
SET       3.300        72.72
SET       3.400        73.42
SET       3.500        74.04
SET       3.600        74.88
SET       3.700        75.49
SET       3.800        76.03
SET       3.900        76.45
SET       4.000        76.95
SET       4.100        77.33
SET       4.200        77.94
SET       4.300        78.58
SET       4.400        79.46
SET       4.500        80.61
SET       4.600        81.67
SET       4.700        82.53
SET       4.800        83.58
SET       4.900        84.28
SET       5.000        84.94
SET       5.100        85.50
SET       5.200        86.01
SET       5.300        86.35
SET       5.400        86.69
SET       5.500        87.03
SET       5.600        87.23
SET       5.700        87.43
SET       5.800        87.59
SET       5.900        87.65
SET       6.000        87.77
SET       6.100        87.87
SET       6.200        88.01
SET       6.300        88.20
SET       6.400        88.30
SET       6.500        88.48
SET       6.600        88.62
SET       6.700        88.68
SET       6.800        88.92
SET       6.900        89.10
SET       7.000        89.30
SET       7.100        89.72
SET       7.200        90.04
SET       7.300        90.46
SET       7.400        90.93
SET       7.500        91.35
SET       7.600        91.75
SET       7.700        91.99
SET       7.800        92.39
SET       7.900        92.69
SET       8.000        93.07
SET       8.100        93.33
SET       8.200        93.68
SET       8.300        94.08
SET       8.400        94.32
SET       8.500        94.46
SET       8.600        94.64
SET       8.700        94.78
SET       8.800        94.96
SET       8.900        95.18
SET       9.000        95.44
SET       9.100        95.74
SET       9.200        95.94
SET       9.300        96.02
SET       9.400        96.17
SET       9.500        96.23
SET       9.600        96.37
SET       9.700        96.41
SET       9.800        96.59
SET       9.900        96.77
SET      10.000        97.61
SET      11.000        98.51
SET      12.000        99.10
SET      13.000        99.50
SET      14.000        99.74
SET      15.000        99.86
SET      16.000        99.92
SET      17.000        99.94
SET      18.000        99.96
SET      26.000        99.98
SET      28.000       100.00
---
GET       0.250         0.00
GET       0.270         0.01
GET       0.280         0.02
GET       0.290         0.03
GET       0.300         0.06
GET       0.310         0.08
GET       0.320         0.14
GET       0.330         0.19
GET       0.340         0.27
GET       0.350         0.38
GET       0.360         0.47
GET       0.370         0.63
GET       0.380         0.80
GET       0.390         1.02
GET       0.400         1.24
GET       0.410         1.46
GET       0.420         1.75
GET       0.430         2.11
GET       0.440         2.48
GET       0.450         2.92
GET       0.460         3.35
GET       0.470         3.82
GET       0.480         4.28
GET       0.490         4.86
GET       0.500         5.38
GET       0.510         5.89
GET       0.520         6.45
GET       0.530         7.04
GET       0.540         7.60
GET       0.550         8.21
GET       0.560         8.84
GET       0.570         9.45
GET       0.580        10.00
GET       0.590        10.55
GET       0.600        11.14
GET       0.610        11.70
GET       0.620        12.28
GET       0.630        12.82
GET       0.640        13.41
GET       0.650        13.97
GET       0.660        14.60
GET       0.670        15.16
GET       0.680        15.69
GET       0.690        16.21
GET       0.700        16.81
GET       0.710        17.36
GET       0.720        17.95
GET       0.730        18.46
GET       0.740        19.03
GET       0.750        19.57
