4         Threads
2         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          594.07          ---          ---      1.84600        56.77 
Gets         5936.92         0.00      5936.92      1.13800       369.27 
Waits           0.00          ---          ---      0.00000          --- 
Totals       6530.99         0.00      5936.92      1.20200       426.04 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.710         0.02
SET       0.730         0.03
SET       0.750         0.05
SET       0.770         0.10
SET       0.780         0.13
SET       0.790         0.20
SET       0.800         0.24
SET       0.810         0.27
SET       0.820         0.37
SET       0.830         0.45
SET       0.840         0.50
SET       0.850         0.59
SET       0.860         0.69
SET       0.870         0.77
SET       0.880         0.98
SET       0.890         1.09
SET       0.900         1.25
SET       0.910         1.46
SET       0.920         1.68
SET       0.930         1.94
SET       0.940         2.17
SET       0.950         2.32
SET       0.960         2.58
SET       0.970         2.86
SET       0.980         3.11
SET       0.990         3.35
SET       1.000         5.12
SET       1.100         8.53
SET       1.200        12.37
SET       1.300        17.57
SET       1.400        24.36
SET       1.500        33.87
SET       1.600        43.39
SET       1.700        52.68
SET       1.800        60.06
SET       1.900        65.78
SET       2.000        69.97
SET       2.100        74.95
SET       2.200        79.33
SET       2.300        83.44
SET       2.400        86.97
SET       2.500        89.58
SET       2.600        91.35
SET       2.700        92.90
SET       2.800        94.21
SET       2.900        95.32
SET       3.000        96.20
SET       3.100        96.84
SET       3.200        97.39
SET       3.300        97.78
SET       3.400        98.18
SET       3.500        98.54
SET       3.600        98.72
SET       3.700        98.80
SET       3.800        99.07
SET       3.900        99.26
SET       4.000        99.31
SET       4.100        99.39
SET       4.200        99.43
SET       4.300        99.51
SET       4.400        99.58
SET       4.500        99.61
SET       4.600        99.65
SET       4.700        99.66
SET       4.800        99.70
SET       4.900        99.71
SET       5.100        99.73
SET       5.200        99.78
SET       5.400        99.80
SET       6.000        99.81
SET       6.300        99.83
SET       6.700        99.85
SET       6.900        99.87
SET       7.900        99.88
SET       8.000        99.90
SET       9.300        99.92
SET       9.700        99.93
SET      10.000        99.97
SET      12.000        99.98
SET      13.000       100.00
---
GET       0.210         0.00
GET       0.250         0.02
GET       0.260         0.04
GET       0.270         0.11
GET       0.280         0.19
GET       0.290         0.30
GET       0.300         0.46
GET       0.310         0.67
GET       0.320         0.91
GET       0.330         1.18
GET       0.340         1.57
GET       0.350         1.99
GET       0.360         2.51
GET       0.370         3.10
GET       0.380         3.68
GET       0.390         4.38
GET       0.400         5.10
GET       0.410         5.88
GET       0.420         6.68
GET       0.430         7.51
GET       0.440         8.38
GET       0.450         9.27
GET       0.460        10.13
GET       0.470        11.04
GET       0.480        11.97
GET       0.490        12.84
GET       0.500        13.79
GET       0.510        14.75
GET       0.520        15.67
GET       0.530        16.59
GET       0.540        17.56
