4         Threads
2         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets           84.58          ---          ---     64.85000     82605.36 
Gets          841.34         0.00       841.34      2.97900        32.78 
Waits           0.00          ---          ---      0.00000          --- 
Totals        925.92         0.00       841.34      8.63100     82638.15 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       8.000         0.12
SET       8.500         0.24
SET       9.800         0.35
SET      10.000         0.47
SET      12.000         0.83
SET      13.000         0.95
SET      14.000         1.18
SET      15.000         1.77
SET      16.000         3.43
SET      17.000         4.14
SET      18.000         4.37
SET      19.000         5.91
SET      20.000         6.38
SET      21.000         6.86
SET      22.000         8.16
SET      23.000         9.10
SET      24.000         9.46
SET      25.000         9.69
SET      26.000        10.17
SET      27.000        10.99
SET      28.000        12.17
SET      29.000        14.89
SET      30.000        17.26
SET      31.000        18.32
SET      32.000        18.91
SET      33.000        21.28
SET      34.000        24.23
SET      35.000        26.71
SET      36.000        27.78
SET      37.000        29.91
SET      38.000        32.27
SET      39.000        34.04
SET      40.000        34.52
SET      41.000        35.22
SET      42.000        35.82
SET      43.000        36.41
SET      44.000        37.83
SET      45.000        38.65
SET      46.000        39.72
SET      47.000        41.49
SET      48.000        42.32
SET      49.000        42.91
SET      50.000        43.62
SET      51.000        44.09
SET      52.000        44.33
SET      53.000        45.86
SET      54.000        46.34
SET      55.000        50.71
SET      56.000        53.66
SET      57.000        55.56
SET      58.000        57.57
SET      59.000        60.05
SET      60.000        63.00
SET      61.000        65.01
SET      62.000        67.26
SET      63.000        69.15
SET      64.000        70.21
SET      65.000        71.28
SET      66.000        72.46
SET      67.000        73.76
SET      68.000        74.47
SET      69.000        75.53
SET      70.000        76.48
SET      71.000        77.07
SET      72.000        77.54
SET      73.000        77.78
SET      74.000        80.02
SET      75.000        80.61
SET      76.000        80.73
SET      77.000        81.09
SET      79.000        82.27
SET      80.000        82.62
SET      81.000        83.10
SET      82.000        84.52
SET      83.000        84.63
SET      85.000        85.93
SET      87.000        86.17
SET      88.000        87.23
SET      89.000        88.77
SET      90.000        88.89
SET      91.000        89.01
SET      92.000        89.24
SET      93.000        89.48
SET      95.000        89.72
SET      96.000        89.83
SET      97.000        90.07
SET      98.000        90.19
SET      99.000        90.66
