4         Threads
1         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          104.17          ---          ---     27.02000    101732.18 
Gets         1039.68         0.00      1039.68      1.12900        40.50 
Waits           0.00          ---          ---      0.00000          --- 
Totals       1143.85         0.00      1039.68      3.48700    101772.68 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       5.100         0.10
SET       5.200         0.38
SET       5.300         0.48
SET       5.500         0.67
SET       5.600         0.77
SET       5.700         0.86
SET       5.800         1.06
SET       5.900         1.34
SET       6.000         1.44
SET       6.100         1.73
SET       6.400         1.92
SET       6.600         2.02
SET       6.800         2.11
SET       7.200         2.21
SET       7.500         2.30
SET       7.600         2.50
SET       7.800         2.69
SET       7.900         2.78
SET       8.200         2.88
SET       8.300         2.98
SET       8.400         3.07
SET       8.600         3.17
SET       8.700         3.26
SET       9.000         3.55
SET       9.100         3.74
SET       9.200         3.84
SET       9.300         3.93
SET       9.500         4.03
SET       9.600         4.22
SET       9.700         4.32
SET       9.900         4.41
SET      10.000         5.09
SET      11.000         6.14
SET      12.000         7.97
SET      13.000         9.79
SET      14.000        13.34
SET      15.000        16.03
SET      16.000        19.48
SET      17.000        24.18
SET      18.000        31.09
SET      19.000        38.20
SET      20.000        42.80
SET      21.000        47.79
SET      22.000        50.48
SET      23.000        51.82
SET      24.000        53.74
SET      25.000        55.76
SET      26.000        57.58
SET      27.000        59.98
SET      28.000        63.15
SET      29.000        67.66
SET      30.000        70.44
SET      31.000        73.61
SET      32.000        75.53
SET      33.000        77.64
SET      34.000        81.19
SET      35.000        83.30
SET      36.000        86.85
SET      37.000        89.35
SET      38.000        90.98
SET      39.000        91.27
SET      40.000        91.65
SET      41.000        91.94
SET      42.000        92.42
SET      43.000        92.61
SET      47.000        92.90
SET      49.000        93.09
SET      50.000        93.38
SET      51.000        93.47
SET      53.000        93.57
SET      55.000        93.76
SET      56.000        94.15
SET      59.000        94.34
SET      60.000        94.43
SET      66.000        94.72
SET      67.000        94.91
SET      68.000        95.20
SET      69.000        95.78
SET      70.000        96.16
SET      71.000        96.35
SET      74.000        96.74
SET      79.000        96.83
SET      80.000        97.50
SET      82.000        97.60
SET      85.000        97.98
SET      87.000        98.27
SET      88.000        99.04
SET      89.000        99.42
SET      97.000        99.52
SET      99.000        99.62
SET     100.000        99.71
SET     120.000       100.00
---
GET       0.150         0.01
GET       0.160         0.11
GET       0.170         0.23
GET       0.180         0.48
GET       0.190         0.92
GET       0.200         1.50
GET       0.210         2.23
GET       0.220         3.18
GET       0.230         4.24
GET       0.240         5.16
GET       0.250         6.33
GET       0.260         7.67
GET       0.270         8.72
GET       0.280        10.04
GET       0.290        11.54
GET       0.300        13.16
GET       0.310        14.94
GET       0.320        16.62
GET       0.330        18.56
GET       0.340        20.86
GET       0.350        23.14
GET       0.360        25.86
GET       0.370        28.43
GET       0.380        31.15
GET       0.390        33.80
GET       0.400        36.58
GET       0.410        39.10
GET       0.420        41.59
GET       0.430        44.17
GET       0.440        46.61
GET       0.450        48.89
GET       0.460        51.10
GET       0.470        53.40
GET       0.480        55.30
GET       0.490        57.32
GET       0.500        59.53
GET       0.510        61.62
GET       0.520        63.32
GET       0.530        64.99
GET       0.540        66.67
GET       0.550        67.85
GET       0.560        69.15
GET       0.570        70.42
GET       0.580        71.52
GET       0.590        72.89
GET       0.600        74.01
GET       0.610        75.27
GET       0.620        76.05
GET       0.630        77.10
GET       0.640        77.82
GET       0.650        78.56
GET       0.660        79.33
GET       0.670        79.92
GET       0.680        80.68
GET       0.690        81.25
GET       0.700        81.97
GET       0.710        82.72
GET       0.720        83.32
GET       0.730        83.79
GET       0.740        84.36
GET       0.750        84.81
GET       0.760        85.22
GET       0.770        85.64
GET       0.780        85.95
GET       0.790        86.29
GET       0.800        86.71
GET       0.810        87.08
GET       0.820        87.54
GET       0.830        87.79
GET       0.840        88.03
GET       0.850        88.28
GET       0.860        88.54
GET       0.870        88.77
GET       0.880        89.01
GET       0.890        89.26
GET       0.900        89.41
GET       0.910        89.55
GET       0.920        89.67
GET       0.930        89.85
GET       0.940        89.95
GET       0.950        90.08
GET       0.960        90.19
GET       0.970        90.37
GET       0.980        90.61
GET       0.990        90.73
GET       1.000        91.17
GET       1.100        91.75
GET       1.200        92.08
GET       1.300        92.19
GET       1.400        92.27
GET       1.500        92.40
GET       1.600        92.50
GET       1.700        92.67
GET       1.800        92.80
GET       1.900        92.91
GET       2.000        93.02
GET       2.100        93.16
GET       2.200        93.38
GET       2.300        93.49
GET       2.400        93.59
GET       2.500        93.80
GET       2.600        93.89
GET       2.700        94.01
GET       2.800        94.14
GET       2.900        94.21
GET       3.000        94.38
GET       3.100        94.59
GET       3.200        94.74
GET       3.300        94.84
GET       3.400        94.88
GET       3.500        94.94
GET       3.600        95.01
GET       3.700        95.11
GET       3.800        95.26
GET       3.900        95.36
GET       4.000        95.50
GET       4.100        95.55
GET       4.200        95.64
GET       4.300        95.72
GET       4.400        95.84
GET       4.500        95.93
GET       4.600        95.99
GET       4.700        96.10
GET       4.800        96.23
GET       4.900        96.34
GET       5.000        96.36
GET       5.100        96.41
GET       5.200        96.48
GET       5.300        96.52
GET       5.500        96.53
GET       5.600        96.59
GET       5.700        96.62
GET       5.800        96.68
GET       5.900        96.74
GET       6.000        96.77
GET       6.100        96.82
GET       6.200        96.87
GET       6.300        96.89
GET       6.400        96.97
GET       6.500        97.05
GET       6.600        97.11
GET       6.700        97.19
GET       6.800        97.24
GET       6.900        97.27
GET       7.000        97.30
GET       7.100        97.33
GET       7.300        97.38
GET       7.400        97.40
GET       7.500        97.42
GET       7.600        97.44
GET       7.700        97.48
GET       7.800        97.57
GET       7.900        97.60
GET       8.000        97.63
GET       8.100        97.67
GET       8.200        97.72
GET       8.300        97.76
GET       8.400        97.82
GET       8.500        97.84
GET       8.600        97.87
GET       8.700        97.89
GET       8.800        97.95
GET       8.900        98.01
GET       9.000        98.09
GET       9.100        98.12
GET       9.200        98.12
GET       9.300        98.17
GET       9.400        98.24
GET       9.500        98.36
GET       9.600        98.37
GET       9.700        98.40
GET       9.800        98.43
GET      10.000        98.61
GET      11.000        98.74
GET      12.000        98.84
GET      13.000        98.91
GET      14.000        98.98
GET      15.000        99.12
GET      16.000        99.25
GET      17.000        99.33
GET      18.000        99.38
GET      19.000        99.41
GET      20.000        99.42
GET      21.000        99.47
GET      22.000        99.49
GET      24.000        99.52
GET      25.000        99.54
GET      26.000        99.56
GET      27.000        99.58
GET      29.000        99.60
GET      33.000        99.62
GET      41.000        99.65
GET      43.000        99.69
GET      46.000        99.71
GET      47.000        99.74
GET      49.000        99.77
GET      50.000        99.78
GET      54.000        99.79
GET      55.000        99.83
GET      56.000        99.88
GET      58.000        99.88
GET      61.000        99.90
GET      64.000        99.92
GET      65.000        99.93
GET      79.000        99.94
GET      82.000        99.97
GET     100.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets           59.68          ---          ---     49.22000     58281.47 
Gets          592.80         0.00       592.80      1.79600        23.10 
Waits           0.00          ---          ---      0.00000          --- 
Totals        652.48         0.00       592.80      6.13400     58304.57 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       5.000         0.33
SET       5.300         0.50
SET       5.500         0.67
SET       5.600         0.83
SET       5.700         1.00
SET       6.000         1.50
SET       6.100         1.66
SET       6.400         1.83
SET       6.700         2.16
SET       6.800         2.33
SET       7.000         2.50
SET       7.400         2.66
SET       7.500         3.16
SET       8.000         3.49
SET       8.100         3.66
SET       8.300         3.83
SET       8.400         3.99
SET       8.500         4.16
SET       8.600         4.49
SET       8.900         4.99
SET       9.000         5.16
SET       9.100         5.66
SET       9.200         5.82
SET       9.300         5.99
SET       9.400         6.16
SET       9.500         6.32
SET       9.600         6.49
SET       9.700         6.82
SET       9.800         7.15
SET       9.900         7.32
SET      10.000         9.48
SET      11.000        12.48
SET      12.000        16.31
SET      13.000        21.63
SET      14.000        27.79
SET      15.000        35.27
SET      16.000        40.27
SET      17.000        47.09
SET      18.000        51.25
SET      19.000        56.74
SET      20.000        61.56
SET      21.000        67.72
SET      22.000        70.38
SET      23.000        71.71
SET      24.000        71.88
SET      25.000        72.55
SET      27.000        72.71
SET      28.000        74.04
SET      32.000        75.21
SET      34.000        75.87
SET      42.000        76.21
SET      45.000        76.37
SET      46.000        77.04
SET      48.000        77.20
SET      49.000        77.37
