4         Threads
10        Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets           96.73          ---          ---     93.63500     94468.26 
Gets          947.11         0.00       947.11     32.69700        36.92 
Waits           0.00          ---          ---      0.00000          --- 
Totals       1043.84         0.00       947.11     38.34400     94505.18 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       5.100         0.10
SET       6.900         0.21
SET       9.500         0.31
SET       9.800         0.41
SET       9.900         0.52
SET      10.000         0.62
SET      11.000         1.14
SET      12.000         1.76
SET      13.000         3.00
SET      14.000         4.34
SET      15.000         5.17
SET      16.000         6.51
SET      17.000         8.16
SET      18.000         9.30
SET      19.000        10.95
SET      20.000        11.78
SET      21.000        13.02
SET      22.000        13.64
SET      23.000        14.77
SET      24.000        16.01
SET      25.000        16.94
SET      26.000        17.77
SET      27.000        18.39
SET      28.000        19.21
SET      29.000        19.52
SET      30.000        20.35
SET      31.000        21.28
SET      32.000        21.49
SET      33.000        22.52
SET      34.000        23.86
SET      35.000        25.41
SET      36.000        26.86
SET      37.000        27.17
SET      38.000        27.38
SET      39.000        28.51
SET      40.000        29.34
SET      41.000        30.37
SET      42.000        30.99
SET      43.000        32.95
SET      44.000        34.50
SET      45.000        35.12
SET      46.000        35.64
SET      47.000        35.85
SET      48.000        37.71
SET      49.000        38.95
SET      50.000        40.08
SET      51.000        40.81
SET      52.000        40.91
SET      54.000        41.12
SET      55.000        41.84
SET      56.000        42.56
SET      57.000        43.18
SET      58.000        44.32
SET      59.000        44.83
SET      60.000        45.45
SET      61.000        45.56
SET      62.000        45.76
SET      63.000        46.59
SET      64.000        47.42
SET      65.000        48.24
SET      66.000        50.10
SET      67.000        51.03
SET      68.000        51.45
SET      69.000        52.07
SET      70.000        52.58
SET      71.000        53.41
SET      72.000        54.55
SET      73.000        55.06
SET      74.000        55.68
SET      75.000        56.92
SET      76.000        58.16
SET      77.000        59.19
SET      78.000        60.02
SET      79.000        61.05
SET      80.000        62.09
SET      81.000        63.43
SET      82.000        64.46
SET      84.000        64.98
SET      85.000        65.08
SET      87.000        65.81
SET      88.000        66.74
SET      89.000        67.98
SET      90.000        69.94
SET      91.000        71.07
SET      92.000        71.38
SET      93.000        71.59
SET      94.000        72.11
SET      95.000        72.62
SET      96.000        72.83
SET      98.000        73.24
SET      99.000        73.45
SET     100.000        74.79
SET     110.000        76.45
SET     120.000        80.17
SET     130.000        81.40
SET     140.000        82.75
SET     150.000        83.78
SET     160.000        85.43
SET     170.000        86.47
SET     180.000        87.60
SET     190.000        88.43
SET     200.000        88.53
SET     210.000        88.84
SET     220.000        89.57
SET     230.000        89.77
SET     240.000        90.39
SET     250.000        91.22
SET     260.000        92.56
SET     270.000        93.39
SET     280.000        94.42
SET     290.000        94.52
SET     300.000        94.94
SET     310.000        95.45
SET     320.000        97.00
SET     330.000        97.31
SET     340.000        98.24
SET     350.000        98.66
SET     360.000        98.76
SET     370.000        98.86
SET     430.000        99.07
SET     440.000        99.28
SET     590.000        99.38
SET     610.000        99.69
SET     640.000        99.79
SET     650.000        99.90
SET     660.000       100.00
---
GET       0.740         0.01
GET       0.790         0.02
GET       0.810         0.03
GET       0.820         0.04
GET       0.870         0.05
GET       0.890         0.07
GET       0.950         0.08
GET       0.970         0.11
GET       1.000         0.19
GET       1.100         0.36
GET       1.200         0.65
GET       1.300         1.40
GET       1.400         2.40
GET       1.500         3.62
GET       1.600         5.03
GET       1.700         6.66
GET       1.800         8.34
GET       1.900        10.21
GET       2.000        11.96
GET       2.100        13.56
GET       2.200        15.08
GET       2.300        16.48
GET       2.400        17.80
GET       2.500        18.89
GET       2.600        19.99
GET       2.700        20.89
GET       2.800        21.66
GET       2.900        22.34
GET       3.000        22.96
GET       3.100        23.38
GET       3.200        23.84
GET       3.300        24.33
GET       3.400        24.84
GET       3.500        25.21
GET       3.600        25.79
GET       3.700        26.04
GET       3.800        26.28
GET       3.900        26.55
GET       4.000        26.84
GET       4.100        27.09
GET       4.200        27.32
GET       4.300        27.58
GET       4.400        27.80
GET       4.500        28.16
GET       4.600        28.58
GET       4.700        29.01
GET       4.800        29.36
GET       4.900        29.74
GET       5.000        30.09
GET       5.100        30.51
GET       5.200        30.87
GET       5.300        31.25
GET       5.400        31.53
GET       5.500        31.92
GET       5.600        32.36
GET       5.700        32.73
GET       5.800        33.12
GET       5.900        33.45
GET       6.000        33.73
GET       6.100        33.94
GET       6.200        34.19
GET       6.300        34.37
GET       6.400        34.56
GET       6.500        34.78
GET       6.600        34.95
GET       6.700        35.28
GET       6.800        35.62
GET       6.900        35.99
GET       7.000        36.33
GET       7.100        36.60
GET       7.200        36.99
GET       7.300        37.32
GET       7.400        37.69
GET       7.500        38.05
GET       7.600        38.40
GET       7.700        38.70
GET       7.800        39.11
GET       7.900        39.48
GET       8.000        39.85
GET       8.100        40.09
GET       8.200        40.41
GET       8.300        40.77
GET       8.400        41.02
GET       8.500        41.34
GET       8.600        41.60
GET       8.700        41.81
GET       8.800        42.06
GET       8.900        42.44
GET       9.000        42.71
GET       9.100        43.03
GET       9.200        43.32
GET       9.300        43.63
GET       9.400        43.93
GET       9.500        44.15
GET       9.600        44.40
GET       9.700        44.63
GET       9.800        44.90
GET       9.900        45.14
GET      10.000        46.41
GET      11.000        49.80
GET      12.000        51.97
GET      13.000        54.35
GET      14.000        56.82
GET      15.000        58.45
GET      16.000        60.96
GET      17.000        62.09
GET      18.000        63.18
GET      19.000        64.77
GET      20.000        66.11
GET      21.000        67.44
GET      22.000        68.45
GET      23.000        69.39
GET      24.000        69.90
GET      25.000        69.95
GET      26.000        70.34
GET      27.000        70.72
GET      28.000        71.59
GET      29.000        72.87
GET      30.000        73.80
GET      31.000        74.31
GET      32.000        74.80
GET      33.000        75.41
GET      34.000        75.88
GET      35.000        76.42
GET      36.000        76.90
GET      37.000        77.65
GET      38.000        78.17
GET      39.000        78.86
GET      40.000        79.42
GET      41.000        80.02
GET      42.000        80.24
GET      43.000        80.69
GET      44.000        81.29
GET      45.000        81.67
GET      46.000        81.98
GET      47.000        82.53
GET      48.000        83.15
GET      49.000        83.23
GET      50.000        83.37
GET      51.000        83.53
GET      52.000        83.73
GET      53.000        84.12
GET      54.000        84.37
GET      55.000        84.62
GET      56.000        84.84
GET      57.000        85.32
GET      58.000        85.76
GET      59.000        86.03
GET      60.000        86.50
GET      61.000        86.56
GET      62.000        86.73
GET      63.000        86.94
GET      64.000        87.27
GET      65.000        87.65
GET      66.000        87.90
GET      67.000        88.20
GET      68.000        88.38
GET      69.000        88.66
GET      70.000        88.89
GET      71.000        89.09
GET      72.000        89.59
GET      73.000        89.72
GET      74.000        89.90
GET      75.000        90.04
GET      76.000        90.20
GET      77.000        90.22
GET      78.000        90.23
GET      79.000        90.31
GET      80.000        90.51
GET      81.000        90.64
GET      82.000        90.69
GET      83.000        90.75
GET      84.000        90.97
GET      85.000        91.12
GET      86.000        91.41
GET      87.000        91.50
GET      88.000        91.60
GET      89.000        91.71
GET      90.000        91.84
GET      91.000        92.22
GET      92.000        92.29
GET      95.000        92.36
GET      96.000        92.48
GET     100.000        92.75
GET     110.000        93.29
GET     120.000        93.56
GET     130.000        94.00
GET     140.000        94.40
GET     150.000        95.03
GET     160.000        95.26
GET     170.000        95.98
GET     180.000        96.50
GET     190.000        96.86
GET     200.000        96.91
GET     210.000        97.04
GET     220.000        97.30
GET     230.000        97.58
GET     240.000        97.59
GET     250.000        97.84
GET     260.000        98.35
GET     270.000        98.79
GET     280.000        98.82
GET     300.000        99.01
GET     320.000        99.12
GET     330.000        99.36
GET     340.000        99.48
GET     360.000        99.49
GET     370.000        99.55
GET     390.000        99.65
GET     420.000        99.77
GET     440.000        99.79
GET     510.000        99.84
GET     540.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets           79.89          ---          ---    102.70700     78023.46 
Gets          772.19         0.00       772.19     41.16300        30.09 
Waits           0.00          ---          ---      0.00000          --- 
Totals        852.08         0.00       772.19     46.93400     78053.55 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET      12.000         0.12
SET      13.000         0.62
SET      14.000         1.49
SET      16.000         2.11
SET      17.000         2.85
SET      18.000         3.84
SET      19.000         5.58
SET      20.000         6.44
SET      21.000         7.06
SET      22.000         7.56
SET      23.000         8.80
SET      24.000        10.41
SET      25.000        10.90
SET      26.000        12.27
SET      27.000        14.13
