4         Threads
3         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          100.30          ---          ---     77.63700     97954.73 
Gets          991.04         0.00       991.04      4.25200        38.62 
Waits           0.00          ---          ---      0.00000          --- 
Totals       1091.34         0.00       991.04     10.99600     97993.35 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET      11.000         0.20
SET      12.000         0.30
SET      15.000         0.40
SET      16.000         0.50
SET      20.000         0.89
SET      21.000         1.29
SET      22.000         1.59
SET      23.000         1.99
SET      24.000         2.78
SET      25.000         3.38
SET      26.000         3.58
SET      28.000         3.88
SET      29.000         3.98
SET      30.000         4.27
SET      31.000         5.17
SET      32.000         5.47
SET      33.000         6.36
SET      34.000         7.85
SET      35.000         9.15
SET      36.000        10.14
SET      37.000        11.13
SET      38.000        12.13
SET      39.000        14.02
SET      40.000        15.41
SET      41.000        17.20
SET      42.000        18.99
SET      43.000        20.68
SET      44.000        21.47
SET      45.000        21.97
SET      46.000        23.46
SET      47.000        25.84
SET      48.000        28.73
SET      49.000        31.21
SET      50.000        33.00
SET      51.000        34.99
SET      52.000        36.08
SET      53.000        36.68
SET      54.000        37.67
SET      55.000        39.66
SET      56.000        41.25
SET      57.000        42.74
SET      58.000        44.04
SET      59.000        44.73
SET      60.000        45.43
SET      61.000        45.73
SET      62.000        46.22
SET      63.000        46.82
SET      65.000        47.51
SET      66.000        47.61
SET      67.000        47.91
SET      68.000        49.70
SET      69.000        50.89
SET      70.000        52.39
SET      71.000        53.38
SET      72.000        54.27
SET      73.000        54.87
SET      74.000        55.47
SET      75.000        56.36
SET      76.000        57.26
SET      77.000        58.05
SET      78.000        59.24
SET      79.000        60.14
SET      80.000        60.74
SET      81.000        61.53
SET      82.000        63.32
SET      83.000        65.81
SET      84.000        67.40
SET      85.000        67.89
SET      86.000        68.59
SET      87.000        69.18
SET      88.000        70.18
SET      89.000        70.87
SET      91.000        71.17
SET      92.000        72.07
SET      93.000        73.26
SET      94.000        73.96
SET      95.000        74.85
SET      96.000        75.45
SET      97.000        76.04
SET      98.000        77.53
SET      99.000        78.13
SET     100.000        81.31
SET     110.000        86.18
SET     120.000        88.17
SET     130.000        89.26
SET     140.000        90.66
SET     150.000        93.14
SET     160.000        94.14
SET     170.000        94.53
SET     180.000        96.72
SET     190.000        98.01
SET     200.000        99.01
SET     250.000        99.70
SET     280.000       100.00
---
GET       0.300         0.02
GET       0.310         0.03
GET       0.320         0.04
GET       0.330         0.08
GET       0.340         0.22
GET       0.350         0.34
GET       0.360         0.50
GET       0.370         0.65
GET       0.380         0.87
GET       0.390         1.13
GET       0.400         1.43
GET       0.410         1.85
GET       0.420         2.25
GET       0.430         2.75
GET       0.440         3.38
GET       0.450         4.07
GET       0.460         4.81
GET       0.470         5.52
GET       0.480         6.39
GET       0.490         7.17
GET       0.500         8.18
GET       0.510         9.04
GET       0.520         9.91
GET       0.530        10.74
GET       0.540        11.50
GET       0.550        12.34
GET       0.560        13.27
GET       0.570        14.23
GET       0.580        15.09
GET       0.590        16.00
GET       0.600        16.84
GET       0.610        17.79
GET       0.620        18.71
GET       0.630        19.71
GET       0.640        20.57
GET       0.650        21.61
GET       0.660        22.56
GET       0.670        23.66
GET       0.680        24.74
GET       0.690        25.98
GET       0.700        27.23
GET       0.710        28.47
GET       0.720        29.77
GET       0.730        31.02
GET       0.740        32.10
GET       0.750        33.19
GET       0.760        34.34
GET       0.770        35.70
GET       0.780        36.80
GET       0.790        37.87
GET       0.800        38.93
GET       0.810        40.06
GET       0.820        41.17
GET       0.830        42.21
GET       0.840        43.17
GET       0.850        44.08
GET       0.860        45.45
GET       0.870        46.45
GET       0.880        47.40
GET       0.890        48.52
GET       0.900        49.51
GET       0.910        50.43
GET       0.920        51.46
GET       0.930        52.43
GET       0.940        53.38
GET       0.950        54.35
GET       0.960        55.34
GET       0.970        56.05
GET       0.980        56.87
GET       0.990        57.54
GET       1.000        62.12
GET       1.100        68.97
GET       1.200        74.16
GET       1.300        78.53
GET       1.400        81.24
GET       1.500        82.99
GET       1.600        84.24
GET       1.700        84.95
GET       1.800        85.39
GET       1.900        85.71
GET       2.000        86.12
GET       2.100        86.47
GET       2.200        86.68
GET       2.300        86.96
GET       2.400        87.23
GET       2.500        87.41
GET       2.600        87.58
GET       2.700        87.75
GET       2.800        87.87
GET       2.900        87.97
GET       3.000        88.12
GET       3.100        88.17
GET       3.200        88.22
GET       3.300        88.35
GET       3.400        88.58
GET       3.500        88.74
GET       3.600        88.88
GET       3.700        88.95
GET       3.800        89.02
GET       3.900        89.07
GET       4.000        89.11
GET       4.100        89.19
GET       4.200        89.33
GET       4.300        89.37
GET       4.400        89.44
GET       4.500        89.52
GET       4.600        89.58
GET       4.700        89.63
GET       4.800        89.71
GET       4.900        89.75
GET       5.000        89.79
GET       5.100        89.96
GET       5.200        90.07
GET       5.300        90.14
GET       5.400        90.20
GET       5.500        90.28
GET       5.600        90.34
GET       5.700        90.36
GET       5.800        90.43
GET       5.900        90.49
GET       6.000        90.52
GET       6.100        90.57
GET       6.300        90.60
GET       6.400        90.65
GET       6.500        90.69
GET       6.600        90.74
GET       6.700        90.78
GET       6.800        90.80
GET       6.900        90.91
GET       7.000        90.98
GET       7.100        91.04
GET       7.200        91.09
GET       7.300        91.14
GET       7.400        91.15
GET       7.500        91.23
GET       7.600        91.29
GET       7.700        91.32
GET       7.800        91.35
GET       7.900        91.40
GET       8.000        91.43
GET       8.100        91.45
GET       8.200        91.47
GET       8.400        91.49
GET       8.500        91.55
GET       8.600        91.62
GET       8.700        91.68
GET       8.800        91.72
GET       9.200        91.73
GET       9.300        91.76
GET       9.400        91.78
GET       9.500        91.80
GET       9.600        91.82
GET       9.700        91.90
GET       9.800        92.00
GET       9.900        92.06
GET      10.000        92.32
GET      11.000        92.58
GET      12.000        92.95
GET      13.000        93.36
GET      14.000        93.70
GET      15.000        93.97
GET      16.000        94.03
GET      17.000        94.16
GET      18.000        94.33
GET      19.000        94.38
GET      20.000        94.51
GET      21.000        94.65
GET      22.000        94.75
GET      23.000        95.02
GET      24.000        95.19
GET      25.000        95.25
GET      26.000        95.43
GET      27.000        95.56
GET      28.000        95.65
GET      29.000        95.69
GET      30.000        95.91
GET      31.000        95.95
GET      32.000        96.10
GET      33.000        96.25
GET      34.000        96.61
GET      35.000        96.78
GET      36.000        96.81
GET      37.000        96.85
GET      39.000        97.01
GET      40.000        97.12
GET      42.000        97.18
GET      43.000        97.22
GET      44.000        97.25
GET      46.000        97.27
GET      47.000        97.45
GET      48.000        97.49
GET      49.000        97.60
GET      50.000        97.64
GET      51.000        97.66
GET      53.000        97.72
GET      54.000        97.77
GET      55.000        97.84
GET      56.000        97.87
GET      57.000        98.02
GET      58.000        98.15
GET      59.000        98.20
GET      60.000        98.24
GET      61.000        98.29
