4         Threads
4         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets           80.83          ---          ---     96.53900     78943.83 
Gets          800.25         0.00       800.25     10.23000        31.19 
Waits           0.00          ---          ---      0.00000          --- 
Totals        881.08         0.00       800.25     18.14800     78975.01 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       6.000         0.11
SET       6.700         0.22
SET       7.000         0.33
SET       7.200         0.56
SET       7.300         0.67
SET      11.000         0.89
SET      12.000         1.56
SET      13.000         1.89
SET      14.000         2.45
SET      15.000         3.34
SET      16.000         4.67
SET      17.000         5.34
SET      18.000         6.12
SET      19.000         6.90
SET      20.000         7.68
SET      21.000         8.34
SET      22.000         9.23
SET      23.000         9.90
SET      24.000        10.57
SET      25.000        11.90
SET      26.000        12.79
SET      27.000        13.46
SET      28.000        14.46
SET      29.000        15.13
SET      30.000        15.80
SET      31.000        16.57
SET      32.000        17.58
SET      33.000        19.58
SET      34.000        21.36
SET      35.000        22.58
SET      36.000        23.03
SET      37.000        23.14
SET      38.000        23.58
SET      39.000        24.58
SET      40.000        25.36
SET      41.000        26.47
SET      42.000        27.25
SET      43.000        27.36
SET      44.000        29.14
SET      45.000        30.48
SET      46.000        31.70
SET      47.000        32.26
SET      48.000        34.15
SET      49.000        34.48
SET      50.000        34.71
SET      51.000        35.15
SET      52.000        35.93
SET      53.000        36.15
SET      54.000        36.82
SET      55.000        37.82
SET      56.000        38.26
SET      58.000        38.38
SET      59.000        38.49
SET      61.000        39.60
SET      62.000        40.38
SET      63.000        41.05
SET      64.000        41.60
SET      65.000        42.49
SET      66.000        44.16
SET      67.000        45.49
SET      68.000        46.27
SET      69.000        47.50
SET      70.000        48.28
SET      71.000        48.50
SET      72.000        49.28
SET      73.000        49.72
SET      74.000        50.06
SET      75.000        50.50
SET      76.000        51.50
SET      77.000        53.28
SET      78.000        54.39
SET      79.000        54.95
SET      80.000        55.28
SET      81.000        55.51
SET      82.000        55.62
SET      85.000        55.95
SET      86.000        56.40
SET      87.000        57.40
SET      88.000        58.51
SET      89.000        59.18
SET      90.000        59.51
SET      91.000        60.51
SET      92.000        61.85
SET      93.000        62.40
SET      94.000        63.63
SET      95.000        63.96
SET      96.000        64.29
SET      97.000        65.74
SET      98.000        66.30
SET      99.000        66.74
SET     100.000        70.41
SET     110.000        73.41
SET     120.000        77.09
SET     130.000        82.20
SET     140.000        84.76
SET     150.000        88.65
SET     160.000        89.99
SET     170.000        91.88
SET     190.000        94.22
SET     200.000        94.77
SET     210.000        94.88
SET     220.000        95.66
SET     230.000        95.88
SET     240.000        96.22
SET     280.000        96.89
SET     290.000        97.55
SET     300.000        98.22
SET     340.000        98.33
SET     360.000        98.44
SET     420.000        99.22
SET    1300.000       100.00
---
GET       0.300         0.01
GET       0.360         0.02
GET       0.390         0.03
GET       0.400         0.06
GET       0.410         0.15
GET       0.420         0.20
GET       0.430         0.24
GET       0.440         0.27
GET       0.450         0.37
GET       0.460         0.47
GET       0.470         0.57
GET       0.480         0.75
GET       0.490         1.00
GET       0.500         1.13
GET       0.510         1.46
GET       0.520         1.70
GET       0.530         1.89
GET       0.540         2.28
GET       0.550         2.58
GET       0.560         2.88
GET       0.570         3.27
GET       0.580         3.63
GET       0.590         3.96
GET       0.600         4.48
GET       0.610         4.85
GET       0.620         5.28
GET       0.630         5.81
GET       0.640         6.48
GET       0.650         7.36
GET       0.660         8.02
GET       0.670         8.80
GET       0.680         9.67
GET       0.690        10.40
GET       0.700        11.31
GET       0.710        12.30
GET       0.720        13.00
GET       0.730        13.85
GET       0.740        14.62
GET       0.750        15.51
GET       0.760        16.51
GET       0.770        17.42
GET       0.780        18.37
GET       0.790        19.33
GET       0.800        20.51
GET       0.810        21.61
GET       0.820        22.45
GET       0.830        23.47
GET       0.840        24.61
GET       0.850        25.63
GET       0.860        26.71
GET       0.870        27.54
GET       0.880        28.54
GET       0.890        29.67
GET       0.900        30.58
GET       0.910        31.70
GET       0.920        32.90
GET       0.930        33.93
GET       0.940        34.89
GET       0.950        35.98
GET       0.960        36.98
GET       0.970        37.94
GET       0.980        38.87
GET       0.990        39.91
GET       1.000        45.26
GET       1.100        53.02
GET       1.200        59.26
GET       1.300        64.04
GET       1.400        67.33
GET       1.500        69.34
GET       1.600        70.75
GET       1.700        71.80
GET       1.800        72.53
GET       1.900        73.02
GET       2.000        73.53
GET       2.100        73.82
GET       2.200        74.12
GET       2.300        74.45
GET       2.400        74.67
GET       2.500        75.03
GET       2.600        75.39
GET       2.700        75.62
GET       2.800        75.81
GET       2.900        75.89
GET       3.000        75.99
GET       3.100        76.09
GET       3.200        76.20
GET       3.300        76.36
GET       3.400        76.52
GET       3.500        76.71
GET       3.600        76.90
GET       3.700        77.01
GET       3.800        77.21
GET       3.900        77.36
GET       4.000        77.43
GET       4.100        77.57
GET       4.200        77.67
GET       4.300        77.82
GET       4.400        77.94
GET       4.500        78.08
GET       4.600        78.21
GET       4.700        78.29
GET       4.800        78.39
GET       4.900        78.48
GET       5.000        78.62
GET       5.100        78.83
GET       5.200        78.99
GET       5.300        79.07
GET       5.400        79.16
GET       5.500        79.24
GET       5.600        79.31
GET       5.700        79.45
GET       5.800        79.57
GET       5.900        79.71
GET       6.000        79.83
GET       6.100        79.97
GET       6.200        80.09
GET       6.300        80.16
GET       6.400        80.18
GET       6.500        80.35
GET       6.600        80.56
GET       6.700        80.70
GET       6.800        80.90
GET       6.900        81.03
GET       7.000        81.25
GET       7.100        81.29
GET       7.200        81.47
GET       7.300        81.60
GET       7.400        81.71
GET       7.500        81.81
GET       7.600        81.85
GET       7.700        81.88
GET       7.800        81.94
GET       7.900        82.02
GET       8.000        82.09
GET       8.100        82.17
GET       8.200        82.21
GET       8.300        82.26
GET       8.400        82.35
GET       8.500        82.40
GET       8.600        82.52
GET       8.700        82.60
GET       8.800        82.67
GET       8.900        82.74
GET       9.000        82.79
GET       9.100        82.93
GET       9.200        83.01
GET       9.300        83.10
GET       9.400        83.12
GET       9.500        83.20
GET       9.600        83.30
GET       9.700        83.39
GET       9.800        83.43
GET       9.900        83.55
GET      10.000        84.19
GET      11.000        84.67
GET      12.000        85.54
GET      13.000        86.45
GET      14.000        87.09
GET      15.000        87.85
GET      16.000        88.18
GET      17.000        88.60
GET      18.000        89.20
GET      19.000        89.69
GET      20.000        89.83
GET      21.000        89.99
GET      22.000        90.29
GET      23.000        90.71
GET      24.000        90.93
GET      25.000        91.19
GET      26.000        91.56
GET      27.000        91.72
GET      28.000        91.83
GET      29.000        92.04
GET      30.000        92.21
GET      31.000        92.35
GET      32.000        92.69
GET      33.000        92.79
GET      34.000        92.89
GET      35.000        92.90
GET      36.000        92.97
GET      37.000        93.08
GET      38.000        93.18
GET      39.000        93.24
GET      40.000        93.39
GET      41.000        93.60
GET      42.000        93.63
GET      43.000        93.64
GET      44.000        93.65
GET      45.000        93.67
GET      46.000        93.82
GET      47.000        93.90
GET      48.000        93.96
GET      49.000        93.99
GET      50.000        94.29
GET      51.000        94.36
GET      52.000        94.61
GET      53.000        94.73
GET      54.000        94.88
GET      55.000        95.01
GET      56.000        95.07
GET      57.000        95.10
GET      58.000        95.19
GET      60.000        95.25
GET      61.000        95.55
GET      62.000        95.87
GET      64.000        96.06
GET      65.000        96.28
GET      66.000        96.36
GET      67.000        96.44
GET      68.000        96.45
GET      69.000        96.48
GET      71.000        96.52
GET      72.000        96.57
GET      73.000        96.60
GET      74.000        96.75
GET      75.000        96.92
GET      76.000        96.96
GET      77.000        97.04
GET      79.000        97.16
GET      80.000        97.18
GET      81.000        97.26
GET      82.000        97.27
GET      83.000        97.36
GET      84.000        97.47
GET      85.000        97.64
GET      86.000        97.80
GET      87.000        97.85
GET      88.000        97.91
GET      89.000        97.94
GET      90.000        97.98
GET      92.000        98.01
GET      93.000        98.12
GET      94.000        98.13
GET      95.000        98.17
GET      96.000        98.20
GET      98.000        98.22
GET      99.000        98.24
GET     100.000        98.33
GET     110.000        98.52
GET     120.000        98.81
GET     130.000        98.99
GET     140.000        99.09
GET     150.000        99.27
GET     160.000        99.36
GET     170.000        99.51
GET     180.000        99.54
GET     190.000        99.67
GET     200.000        99.69
GET     210.000        99.71
GET     240.000        99.73
GET     250.000        99.74
GET     280.000        99.81
GET     290.000        99.82
GET     300.000        99.90
GET    1300.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets           60.80          ---          ---    129.87400     59376.44 
Gets          602.98         0.00       602.98     13.43100        23.50 
Waits           0.00          ---          ---      0.00000          --- 
Totals        663.78         0.00       602.98     24.09600     59399.94 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       7.500         0.16
SET      10.000         0.33
SET      13.000         0.49
SET      14.000         0.66
SET      15.000         0.82
SET      16.000         0.99
SET      17.000         1.15
SET      18.000         1.48
SET      20.000         2.14
SET      23.000         2.80
SET      24.000         3.45
SET      25.000         4.77
SET      26.000         5.59
SET      27.000         6.91
SET      28.000         7.89
SET      29.000         9.38
SET      30.000        10.03
SET      31.000        10.36
SET      32.000        11.35
SET      33.000        11.84
SET      34.000        12.34
SET      35.000        13.16
SET      36.000        14.47
SET      37.000        14.80
SET      38.000        16.12
SET      39.000        17.60
SET      40.000        18.26
SET      41.000        19.08
SET      42.000        19.57
SET      43.000        21.71
SET      44.000        22.70
SET      45.000        24.01
SET      46.000        25.00
SET      47.000        25.16
SET      48.000        25.66
SET      49.000        26.64
SET      50.000        26.97
SET      51.000        28.12
SET      52.000        31.25
SET      53.000        32.24
SET      54.000        33.06
SET      55.000        33.55
SET      57.000        34.05
SET      58.000        34.54
SET      59.000        35.03
SET      60.000        35.36
SET      61.000        36.18
SET      62.000        36.51
SET      63.000        37.50
SET      64.000        38.16
SET      65.000        38.82
SET      66.000        39.14
SET      70.000        39.31
SET      71.000        39.97
SET      72.000        40.95
SET      73.000        41.28
SET      75.000        41.94
SET      76.000        43.09
SET      77.000        44.74
SET      78.000        46.88
SET      79.000        48.36
SET      80.000        50.66
SET      81.000        52.63
SET      82.000        53.62
SET      84.000        53.78
SET      85.000        54.11
SET      86.000        55.43
SET      87.000        56.58
SET      88.000        57.57
SET      89.000        58.39
SET      90.000        59.21
SET      91.000        60.03
SET      92.000        60.53
SET      93.000        61.18
SET      95.000        61.68
SET      96.000        62.83
SET      97.000        65.79
SET      98.000        66.61
SET      99.000        66.94
SET     100.000        68.59
SET     110.000        71.71
SET     120.000        75.16
SET     130.000        75.49
SET     140.000        76.81
SET     150.000        77.30
SET     170.000        78.95
SET     180.000        82.07
SET     190.000        84.70
SET     200.000        85.03
SET     210.000        86.51
SET     220.000        86.68
SET     240.000        87.34
SET     250.000        87.50
SET     260.000        88.65
SET     270.000        89.97
SET     280.000        90.13
SET     290.000        90.30
SET     300.000        91.28
SET     320.000        91.45
SET     330.000        91.61
SET     340.000        92.27
SET     350.000        92.43
SET     380.000        93.09
SET     410.000        93.26
SET     430.000        93.42
SET     440.000        94.74
SET     450.000        95.89
SET     560.000        96.38
SET     620.000        96.55
SET     630.000        96.88
SET     640.000        97.37
SET     650.000        97.70
SET     700.000        97.86
SET     710.000        98.36
SET     750.000        98.52
SET     760.000        98.85
SET     850.000       100.00
---
GET       0.300         0.02
GET       0.320         0.03
GET       0.330         0.05
GET       0.340         0.07
GET       0.350         0.08
GET       0.360         0.10
GET       0.370         0.12
GET       0.390         0.15
GET       0.400         0.17
GET       0.410         0.18
GET       0.420         0.22
GET       0.440         0.32
GET       0.450         0.45
GET       0.460         0.53
GET       0.470         0.58
GET       0.480         0.66
GET       0.490         0.76
GET       0.500         0.90
GET       0.510         1.00
GET       0.520         1.13
GET       0.530         1.29
GET       0.540         1.36
GET       0.550         1.54
GET       0.560         1.89
GET       0.570         2.12
GET       0.580         2.42
GET       0.590         2.75
GET       0.600         3.17
GET       0.610         3.55
GET       0.620         3.80
GET       0.630         4.30
GET       0.640         4.78
GET       0.650         5.29
GET       0.660         5.95
GET       0.670         6.77
GET       0.680         7.65
GET       0.690         8.54
GET       0.700         9.52
GET       0.710        10.55
GET       0.720        11.58
GET       0.730        12.60
GET       0.740        13.83
GET       0.750        14.73
GET       0.760        15.75
GET       0.770        17.01
GET       0.780        18.01
GET       0.790        19.10
GET       0.800        20.12
GET       0.810        21.06
GET       0.820        22.14
GET       0.830        22.97
GET       0.840        23.86
GET       0.850        24.98
GET       0.860        25.79
GET       0.870        26.68
GET       0.880        27.76
GET       0.890        28.69
GET       0.900        29.70
GET       0.910        30.73
GET       0.920        31.97
GET       0.930        32.92
GET       0.940        34.06
GET       0.950        35.14
GET       0.960        36.37
GET       0.970        37.40
GET       0.980        38.49
GET       0.990        39.34
GET       1.000        45.26
GET       1.100        53.75
GET       1.200        60.75
GET       1.300        66.32
GET       1.400        70.25
GET       1.500        72.95
GET       1.600        74.63
GET       1.700        75.72
GET       1.800        76.42
GET       1.900        76.95
GET       2.000        77.53
GET       2.100        77.89
GET       2.200        78.16
GET       2.300        78.39
GET       2.400        78.56
GET       2.500        78.71
GET       2.600        78.77
GET       2.700        78.89
GET       2.800        78.96
GET       2.900        79.04
GET       3.000        79.19
GET       3.100        79.37
GET       3.200        79.50
GET       3.300        79.73
GET       3.400        79.87
GET       3.500        79.90
GET       3.600        79.92
GET       3.700        80.03
GET       3.800        80.17
GET       3.900        80.32
GET       4.000        80.33
GET       4.100        80.46
GET       4.200        80.61
GET       4.300        80.76
GET       4.400        80.86
GET       4.500        80.93
GET       4.600        81.03
GET       4.800        81.08
GET       4.900        81.16
GET       5.000        81.31
GET       5.100        81.46
GET       5.200        81.49
GET       5.300        81.61
