4         Threads
5         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          106.41          ---          ---     88.51100    103924.36 
Gets         1050.66         0.00      1050.66     10.04600        40.95 
Waits           0.00          ---          ---      0.00000          --- 
Totals       1157.07         0.00      1050.66     17.26200    103965.30 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       5.300         0.09
SET       5.500         0.19
SET       6.100         0.28
SET       6.300         0.37
SET       6.800         0.47
SET       6.900         0.56
SET       8.000         0.66
SET       8.100         0.75
SET       8.200         0.84
SET       8.600         0.94
SET       9.400         1.03
SET      10.000         1.12
SET      11.000         1.31
SET      12.000         1.50
SET      13.000         1.59
SET      14.000         1.97
SET      15.000         2.16
SET      16.000         2.62
SET      17.000         2.91
SET      18.000         3.47
SET      19.000         4.12
SET      20.000         5.25
SET      21.000         6.09
SET      22.000         6.94
SET      23.000         8.25
SET      24.000         8.90
SET      25.000        10.12
SET      26.000        11.25
SET      27.000        12.37
SET      28.000        13.21
SET      29.000        14.43
SET      30.000        15.75
SET      31.000        17.06
SET      32.000        17.81
SET      33.000        19.03
SET      34.000        19.78
SET      35.000        20.52
SET      36.000        20.90
SET      37.000        21.93
SET      38.000        23.71
SET      39.000        26.05
SET      40.000        27.37
SET      41.000        28.12
SET      42.000        28.77
SET      43.000        28.87
SET      44.000        29.15
SET      45.000        29.71
SET      46.000        29.99
SET      47.000        30.08
SET      48.000        30.18
SET      49.000        30.55
SET      50.000        30.93
SET      51.000        31.21
SET      52.000        31.40
SET      53.000        31.77
SET      54.000        31.96
SET      55.000        32.33
SET      56.000        32.90
SET      57.000        34.02
SET      58.000        34.40
SET      59.000        35.15
SET      60.000        35.52
SET      61.000        36.93
SET      62.000        39.18
SET      63.000        40.86
SET      64.000        41.52
SET      65.000        43.02
SET      66.000        43.77
SET      67.000        44.99
SET      68.000        46.20
SET      69.000        46.95
SET      70.000        47.14
SET      71.000        47.89
SET      72.000        48.64
SET      73.000        50.14
SET      74.000        50.70
SET      75.000        51.27
SET      76.000        51.92
SET      77.000        52.48
SET      78.000        53.05
SET      79.000        53.61
SET      80.000        54.45
SET      81.000        54.73
SET      82.000        55.86
SET      83.000        56.79
SET      84.000        57.17
SET      85.000        58.01
SET      86.000        58.76
SET      87.000        59.23
SET      88.000        59.33
SET      89.000        59.61
SET      90.000        60.64
SET      91.000        62.23
SET      92.000        63.73
SET      93.000        64.48
SET      94.000        65.79
SET      95.000        66.82
SET      96.000        67.39
SET      97.000        67.85
SET      98.000        67.95
SET      99.000        68.42
SET     100.000        72.45
SET     110.000        76.57
SET     120.000        80.13
SET     130.000        82.66
SET     140.000        83.97
SET     150.000        85.85
SET     160.000        89.50
SET     170.000        91.75
SET     180.000        91.94
SET     190.000        93.16
SET     200.000        94.19
SET     220.000        94.28
SET     230.000        96.06
SET     240.000        97.00
SET     250.000        97.09
SET     260.000        97.75
SET     270.000        98.31
SET     280.000        98.41
SET     290.000        98.59
SET     350.000        99.06
SET     360.000        99.81
SET     370.000        99.91
SET     380.000       100.00
---
GET       0.330         0.01
GET       0.390         0.03
GET       0.400         0.04
GET       0.410         0.06
GET       0.420         0.07
GET       0.430         0.09
GET       0.440         0.09
GET       0.450         0.13
GET       0.470         0.15
GET       0.480         0.19
GET       0.490         0.28
GET       0.500         0.29
GET       0.510         0.34
GET       0.520         0.42
GET       0.530         0.48
GET       0.540         0.58
GET       0.550         0.65
GET       0.560         0.74
GET       0.570         0.84
GET       0.580         0.98
GET       0.590         1.27
GET       0.600         1.39
GET       0.610         1.60
GET       0.620         1.81
GET       0.630         2.01
GET       0.640         2.30
GET       0.650         2.50
GET       0.660         2.74
GET       0.670         3.05
GET       0.680         3.29
GET       0.690         3.72
GET       0.700         4.02
GET       0.710         4.42
GET       0.720         4.84
GET       0.730         5.28
GET       0.740         5.86
GET       0.750         6.37
GET       0.760         6.97
GET       0.770         7.41
GET       0.780         8.00
GET       0.790         8.51
GET       0.800         9.13
GET       0.810         9.64
GET       0.820        10.43
GET       0.830        11.12
GET       0.840        11.94
GET       0.850        12.58
GET       0.860        13.26
GET       0.870        14.05
GET       0.880        14.69
GET       0.890        15.58
GET       0.900        16.38
GET       0.910        17.23
GET       0.920        17.96
