4         Threads
6         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          100.29          ---          ---     72.57100     97948.64 
Gets          987.54         0.00       987.54     17.72800        38.49 
Waits           0.00          ---          ---      0.00000          --- 
Totals       1087.84         0.00       987.54     22.78400     97987.13 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       5.000         0.10
SET       5.400         0.20
SET       5.600         0.31
SET       5.700         0.41
SET       6.200         0.61
SET       6.300         0.72
SET       6.500         1.02
SET       6.800         1.13
SET       7.000         1.23
SET       7.100         1.33
SET       7.200         1.43
SET       7.300         1.54
SET       7.600         1.64
SET       7.800         1.84
SET       7.900         1.94
SET       8.200         2.15
SET       8.400         2.56
SET       8.700         2.66
SET       8.900         2.76
SET       9.200         2.87
SET       9.400         2.97
SET       9.600         3.17
SET       9.700         3.28
SET       9.800         3.38
SET       9.900         3.58
SET      10.000         4.20
SET      11.000         5.63
SET      12.000         7.57
SET      13.000         9.72
SET      14.000        12.90
SET      15.000        14.43
SET      16.000        17.60
SET      17.000        20.06
SET      18.000        23.54
SET      19.000        25.69
SET      20.000        27.33
SET      21.000        29.17
SET      22.000        32.55
SET      23.000        35.11
SET      24.000        35.93
SET      25.000        37.67
SET      26.000        38.49
SET      27.000        40.63
SET      28.000        41.56
SET      29.000        42.17
SET      30.000        43.09
SET      31.000        44.22
SET      32.000        46.37
SET      33.000        48.00
SET      34.000        48.41
SET      35.000        49.95
SET      36.000        50.56
SET      37.000        50.97
SET      38.000        51.48
SET      39.000        52.20
SET      40.000        52.30
SET      41.000        52.61
SET      42.000        52.81
SET      43.000        53.53
SET      44.000        54.55
SET      45.000        54.76
SET      46.000        55.17
SET      47.000        55.58
SET      48.000        55.78
SET      49.000        55.89
SET      50.000        56.19
SET      51.000        57.01
SET      53.000        57.83
SET      54.000        58.14
SET      55.000        59.06
SET      56.000        59.57
SET      57.000        60.18
SET      58.000        60.29
SET      59.000        60.49
SET      60.000        60.70
SET      61.000        60.80
SET      62.000        61.31
SET      63.000        61.82
SET      64.000        62.44
SET      65.000        63.56
SET      66.000        63.66
SET      69.000        64.38
SET      70.000        65.40
SET      71.000        66.33
SET      72.000        66.63
SET      73.000        67.66
SET      74.000        67.96
SET      75.000        68.17
SET      76.000        68.99
SET      77.000        69.50
SET      78.000        70.32
SET      79.000        71.14
SET      80.000        71.95
SET      81.000        72.16
SET      84.000        72.26
SET      85.000        72.88
SET      86.000        73.39
SET      87.000        74.21
SET      88.000        74.41
SET      89.000        74.51
SET      91.000        74.72
SET      92.000        74.92
SET      94.000        75.03
SET      95.000        75.44
SET      96.000        75.84
SET      97.000        76.66
SET      98.000        77.18
SET      99.000        77.79
SET     100.000        79.53
SET     110.000        82.40
SET     120.000        83.83
SET     130.000        85.06
SET     140.000        86.69
SET     150.000        87.92
SET     160.000        88.84
SET     170.000        90.69
SET     180.000        92.94
SET     190.000        93.24
SET     200.000        94.27
SET     210.000        94.98
SET     220.000        95.91
SET     230.000        96.21
SET     240.000        97.24
SET     250.000        97.34
SET     260.000        97.65
SET     290.000        97.75
SET     300.000        98.06
SET     350.000        98.26
SET     360.000        98.46
SET     390.000        98.57
SET     430.000        98.87
SET     450.000        98.98
SET     690.000        99.28
SET     750.000        99.49
SET     780.000        99.69
SET     800.000        99.80
SET     830.000        99.90
SET     840.000       100.00
---
GET       0.490         0.01
GET       0.520         0.02
GET       0.530         0.03
GET       0.540         0.04
GET       0.560         0.05
GET       0.570         0.06
GET       0.580         0.07
GET       0.600         0.08
GET       0.610         0.09
GET       0.620         0.10
GET       0.630         0.14
GET       0.640         0.16
GET       0.650         0.19
GET       0.660         0.20
GET       0.670         0.23
