4         Threads
1         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          478.36          ---          ---      1.60100       512.87 
Gets         4781.18         0.30      4780.88      0.65500       311.67 
Waits           0.00          ---          ---      0.00000          --- 
Totals       5259.54         0.30      4780.88      0.74100       824.54 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.630         0.02
SET       0.660         0.04
SET       0.670         0.06
SET       0.680         0.15
SET       0.690         0.19
SET       0.700         0.29
SET       0.710         0.33
SET       0.720         0.44
SET       0.730         0.54
SET       0.740         0.79
SET       0.750         1.00
SET       0.760         1.21
SET       0.770         1.48
SET       0.780         1.65
SET       0.790         1.92
SET       0.800         2.26
SET       0.810         2.68
SET       0.820         3.14
SET       0.830         3.72
SET       0.840         4.22
SET       0.850         4.87
SET       0.860         5.52
SET       0.870         6.29
SET       0.880         6.98
SET       0.890         7.57
SET       0.900         8.51
SET       0.910         9.24
SET       0.920         9.99
SET       0.930        10.91
SET       0.940        11.58
SET       0.950        12.52
SET       0.960        13.42
SET       0.970        14.21
SET       0.980        14.80
SET       0.990        15.45
SET       1.000        19.86
SET       1.100        25.21
SET       1.200        31.10
SET       1.300        40.20
SET       1.400        51.32
SET       1.500        61.71
SET       1.600        69.02
SET       1.700        74.12
SET       1.800        77.59
SET       1.900        80.20
SET       2.000        82.84
SET       2.100        85.83
SET       2.200        88.29
SET       2.300        90.11
SET       2.400        92.02
SET       2.500        93.25
SET       2.600        94.08
SET       2.700        94.92
SET       2.800        95.63
SET       2.900        96.09
SET       3.000        96.55
SET       3.100        97.03
SET       3.200        97.55
SET       3.300        97.85
SET       3.400        98.12
SET       3.500        98.35
SET       3.600        98.60
SET       3.700        98.64
SET       3.800        98.77
SET       3.900        98.83
SET       4.000        98.89
SET       4.100        98.93
SET       4.200        99.06
SET       4.300        99.08
SET       4.400        99.10
SET       4.500        99.18
SET       4.600        99.31
SET       4.700        99.41
SET       4.800        99.48
SET       4.900        99.52
SET       5.000        99.54
SET       5.100        99.56
SET       5.300        99.60
SET       5.700        99.64
SET       6.000        99.71
SET       6.400        99.73
SET       7.700        99.75
SET       7.900        99.77
SET      15.000        99.79
SET      17.000        99.81
SET      18.000        99.83
SET      19.000        99.94
SET      21.000        99.96
SET      22.000        99.98
SET      27.000       100.00
---
GET       0.140         0.00
GET       0.150         0.01
GET       0.160         0.02
GET       0.170         0.05
GET       0.180         0.15
GET       0.190         0.35
GET       0.200         0.70
GET       0.210         1.37
GET       0.220         2.33
GET       0.230         3.52
