4         Threads
1         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          525.28          ---          ---      1.41000        50.88 
Gets         5250.21      4770.13       480.08      0.61000       481.77 
Waits           0.00          ---          ---      0.00000          --- 
Totals       5775.49      4770.13       480.08      0.68200       532.65 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.610         0.02
SET       0.640         0.04
SET       0.650         0.11
SET       0.660         0.13
SET       0.670         0.15
SET       0.680         0.19
SET       0.690         0.30
SET       0.700         0.40
SET       0.710         0.55
SET       0.720         0.65
SET       0.730         0.88
SET       0.740         0.99
SET       0.750         1.18
SET       0.760         1.62
SET       0.770         2.09
SET       0.780         2.49
SET       0.790         2.99
SET       0.800         3.56
SET       0.810         4.17
SET       0.820         4.72
SET       0.830         5.29
SET       0.840         5.84
SET       0.850         6.68
SET       0.860         7.63
SET       0.870         8.91
SET       0.880         9.92
SET       0.890        10.89
SET       0.900        12.09
SET       0.910        13.31
SET       0.920        14.24
SET       0.930        15.34
SET       0.940        16.64
SET       0.950        17.86
SET       0.960        19.11
SET       0.970        20.31
SET       0.980        21.47
SET       0.990        22.44
SET       1.000        27.64
SET       1.100        34.53
SET       1.200        40.76
SET       1.300        50.18
SET       1.400        61.11
SET       1.500        70.63
SET       1.600        76.89
SET       1.700        81.04
SET       1.800        83.80
SET       1.900        86.43
SET       2.000        89.13
SET       2.100        91.60
SET       2.200        93.89
SET       2.300        95.74
SET       2.400        96.69
SET       2.500        97.39
SET       2.600        97.89
SET       2.700        98.32
SET       2.800        98.74
SET       2.900        98.90
SET       3.000        99.05
SET       3.100        99.16
SET       3.200        99.35
SET       3.300        99.47
SET       3.400        99.64
SET       3.500        99.73
SET       3.600        99.75
SET       3.700        99.83
SET       3.800        99.85
SET       4.100        99.87
SET       4.300        99.89
SET       4.400        99.90
SET       4.500        99.92
SET       5.000        99.94
SET       5.200        99.96
SET       6.600        99.98
SET      12.000       100.00
---
GET       0.150         0.00
GET       0.160         0.01
GET       0.170         0.04
GET       0.180         0.14
GET       0.190         0.35
GET       0.200         0.74
GET       0.210         1.44
GET       0.220         2.52
GET       0.230         3.89
GET       0.240         5.59
GET       0.250         7.61
GET       0.260         9.75
GET       0.270        11.98
GET       0.280        14.27
GET       0.290        16.74
GET       0.300        19.34
GET       0.310        21.83
GET       0.320        24.52
GET       0.330        26.98
GET       0.340        29.54
GET       0.350        32.17
GET       0.360        34.79
GET       0.370        37.37
GET       0.380        39.86
GET       0.390        42.18
GET       0.400        44.39
GET       0.410        46.63
GET       0.420        48.61
GET       0.430        50.58
GET       0.440        52.50
GET       0.450        54.22
GET       0.460        55.88
GET       0.470        57.43
GET       0.480        58.92
GET       0.490        60.29
GET       0.500        61.66
GET       0.510        62.85
GET       0.520        64.04
GET       0.530        65.07
GET       0.540        66.08
GET       0.550        66.99
GET       0.560        67.82
GET       0.570        68.66
GET       0.580        69.39
GET       0.590        70.12
GET       0.600        70.81
GET       0.610        71.45
GET       0.620        71.99
GET       0.630        72.54
GET       0.640        73.02
GET       0.650        73.45
GET       0.660        73.87
GET       0.670        74.31
GET       0.680        74.70
GET       0.690        75.07
GET       0.700        75.48
GET       0.710        75.82
GET       0.720        76.10
GET       0.730        76.41
GET       0.740        76.73
GET       0.750        76.98
GET       0.760        77.25
GET       0.770        77.48
GET       0.780        77.76
GET       0.790        78.01
GET       0.800        78.23
GET       0.810        78.46
GET       0.820        78.74
GET       0.830        78.99
GET       0.840        79.24
GET       0.850        79.51
GET       0.860        79.76
GET       0.870        80.01
GET       0.880        80.30
GET       0.890        80.54
GET       0.900        80.78
GET       0.910        81.03
GET       0.920        81.25
GET       0.930        81.50
GET       0.940        81.77
GET       0.950        81.98
GET       0.960        82.25
