4         Threads
9         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1245.25          ---          ---      2.94400       120.59 
Gets        12434.09     11362.42      1071.67      2.59300      1143.10 
Waits           0.00          ---          ---      0.00000          --- 
Totals      13679.34     11362.42      1071.67      2.62500      1263.69 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.200         0.02
SET       1.300         0.16
SET       1.400         0.42
SET       1.500         1.00
SET       1.600         1.85
SET       1.700         3.69
SET       1.800         5.98
SET       1.900         9.42
SET       2.000        13.13
SET       2.100        17.22
SET       2.200        21.58
SET       2.300        26.77
SET       2.400        31.41
SET       2.500        36.57
SET       2.600        41.64
SET       2.700        46.75
SET       2.800        51.72
SET       2.900        56.23
SET       3.000        60.45
SET       3.100        64.74
SET       3.200        69.04
SET       3.300        73.36
SET       3.400        77.14
SET       3.500        80.45
SET       3.600        83.45
SET       3.700        86.01
SET       3.800        88.28
SET       3.900        90.08
SET       4.000        91.50
SET       4.100        92.64
SET       4.200        93.84
SET       4.300        94.83
SET       4.400        95.50
SET       4.500        96.11
SET       4.600        96.60
SET       4.700        96.96
SET       4.800        97.31
SET       4.900        97.62
SET       5.000        97.92
SET       5.100        98.16
SET       5.200        98.38
SET       5.300        98.62
SET       5.400        98.78
SET       5.500        98.93
SET       5.600        99.04
SET       5.700        99.17
SET       5.800        99.21
SET       5.900        99.25
SET       6.000        99.31
SET       6.100        99.32
SET       6.200        99.33
SET       6.300        99.37
SET       6.400        99.42
SET       6.500        99.45
SET       6.600        99.53
SET       6.700        99.56
SET       6.800        99.57
SET       6.900        99.60
SET       7.000        99.61
SET       7.200        99.62
SET       7.400        99.63
SET       7.500        99.64
SET       7.700        99.66
SET       7.900        99.68
SET       8.000        99.69
SET       8.100        99.71
SET       8.400        99.72
SET       8.500        99.73
SET       8.700        99.74
SET       8.800        99.75
SET       8.900        99.76
SET       9.100        99.77
SET       9.400        99.79
SET       9.500        99.81
SET       9.600        99.82
SET       9.700        99.82
SET      12.000        99.84
SET      13.000        99.86
SET      14.000        99.90
SET      15.000        99.94
SET      16.000        99.97
SET      19.000        99.99
SET      20.000       100.00
---
GET       0.540         0.00
