4         Threads
1         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          499.92          ---          ---      1.49500        48.72 
Gets         4996.57      3012.10      1984.47      0.63500       408.97 
Waits           0.00          ---          ---      0.00000          --- 
Totals       5496.48      3012.10      1984.47      0.71300       457.69 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.640         0.02
SET       0.650         0.04
SET       0.660         0.06
SET       0.670         0.08
SET       0.680         0.12
SET       0.690         0.18
SET       0.700         0.28
SET       0.710         0.50
SET       0.720         0.70
SET       0.730         0.94
SET       0.740         1.16
SET       0.750         1.64
SET       0.760         2.02
SET       0.770         2.36
SET       0.780         2.88
SET       0.790         3.50
SET       0.800         4.18
SET       0.810         4.74
SET       0.820         5.48
SET       0.830         6.36
SET       0.840         7.26
SET       0.850         7.96
SET       0.860         8.88
SET       0.870         9.84
SET       0.880        10.72
SET       0.890        11.94
SET       0.900        12.96
SET       0.910        14.04
SET       0.920        15.28
SET       0.930        16.44
SET       0.940        17.70
SET       0.950        18.74
SET       0.960        19.86
SET       0.970        20.86
SET       0.980        22.08
SET       0.990        23.14
SET       1.000        28.34
SET       1.100        33.74
SET       1.200        39.06
SET       1.300        46.80
SET       1.400        56.76
SET       1.500        66.48
SET       1.600        73.18
SET       1.700        77.74
SET       1.800        81.22
SET       1.900        83.66
SET       2.000        86.36
SET       2.100        88.58
SET       2.200        90.90
SET       2.300        92.68
SET       2.400        94.00
SET       2.500        94.98
SET       2.600        95.56
SET       2.700        96.00
SET       2.800        96.58
SET       2.900        97.16
SET       3.000        97.38
SET       3.100        97.62
SET       3.200        97.86
SET       3.300        98.14
SET       3.400        98.26
SET       3.500        98.48
SET       3.600        98.56
SET       3.700        98.58
SET       3.800        98.70
SET       3.900        99.00
SET       4.000        99.04
SET       4.100        99.14
SET       4.200        99.24
SET       4.300        99.28
SET       4.400        99.34
SET       4.500        99.40
SET       4.600        99.46
SET       4.700        99.48
SET       4.800        99.54
SET       4.900        99.58
SET       5.000        99.62
SET       5.100        99.64
SET       5.200        99.66
SET       5.300        99.74
SET       5.400        99.76
SET       6.100        99.78
SET       6.700        99.82
SET       8.000        99.84
SET       8.600        99.86
SET       9.100        99.88
SET      10.000        99.90
SET      11.000        99.92
SET      12.000        99.96
SET      24.000        99.98
SET      34.000       100.00
---
GET       0.140         0.00
GET       0.150         0.01
GET       0.160         0.02
GET       0.170         0.10
GET       0.180         0.27
GET       0.190         0.49
GET       0.200         0.98
GET       0.210         1.70
GET       0.220         2.82
GET       0.230         4.19
GET       0.240         5.96
GET       0.250         7.94
GET       0.260        10.07
GET       0.270        12.26
GET       0.280        14.67
GET       0.290        17.02
GET       0.300        19.48
GET       0.310        21.80
GET       0.320        24.15
GET       0.330        26.53
GET       0.340        28.90
GET       0.350        31.26
GET       0.360        33.57
GET       0.370        35.84
GET       0.380        38.02
GET       0.390        40.26
GET       0.400        42.41
GET       0.410        44.48
GET       0.420        46.57
GET       0.430        48.51
GET       0.440        50.39
GET       0.450        52.24
GET       0.460        53.94
GET       0.470        55.69
GET       0.480        57.24
GET       0.490        58.74
GET       0.500        60.03
GET       0.510        61.36
GET       0.520        62.54
GET       0.530        63.71
GET       0.540        64.76
GET       0.550        65.69
GET       0.560        66.62
GET       0.570        67.49
GET       0.580        68.27
GET       0.590        68.98
GET       0.600        69.66
GET       0.610        70.33
GET       0.620        70.96
GET       0.630        71.53
GET       0.640        72.05
GET       0.650        72.53
GET       0.660        73.02
GET       0.670        73.51
GET       0.680        73.90
GET       0.690        74.33
GET       0.700        74.72
GET       0.710        75.14
GET       0.720        75.46
GET       0.730        75.84
GET       0.740        76.16
GET       0.750        76.51
GET       0.760        76.88
GET       0.770        77.17
GET       0.780        77.43
GET       0.790        77.74
GET       0.800        78.01
GET       0.810        78.28
GET       0.820        78.56
GET       0.830        78.80
GET       0.840        79.07
GET       0.850        79.35
GET       0.860        79.63
GET       0.870        79.89
GET       0.880        80.17
GET       0.890        80.40
GET       0.900        80.66
GET       0.910        80.92
GET       0.920        81.19
GET       0.930        81.39
GET       0.940        81.58
GET       0.950        81.78
GET       0.960        81.96
GET       0.970        82.21
GET       0.980        82.47
GET       0.990        82.71
GET       1.000        83.83
GET       1.100        85.68
GET       1.200        87.74
GET       1.300        90.08
GET       1.400        92.38
GET       1.500        94.36
GET       1.600        95.62
GET       1.700        96.47
GET       1.800        97.05
GET       1.900        97.50
GET       2.000        97.89
GET       2.100        98.21
GET       2.200        98.57
GET       2.300        98.85
GET       2.400        99.05
GET       2.500        99.20
GET       2.600        99.30
GET       2.700        99.38
GET       2.800        99.46
GET       2.900        99.52
GET       3.000        99.57
GET       3.100        99.60
GET       3.200        99.63
GET       3.300        99.66
GET       3.400        99.69
GET       3.500        99.71
GET       3.600        99.73
GET       3.700        99.75
GET       3.800        99.76
GET       3.900        99.79
GET       4.000        99.81
GET       4.100        99.83
GET       4.200        99.85
GET       4.300        99.86
GET       4.400        99.86
GET       4.500        99.88
GET       4.600        99.89
GET       4.700        99.90
GET       4.800        99.90
GET       4.900        99.91
GET       5.000        99.91
GET       5.100        99.92
GET       5.200        99.92
GET       5.300        99.93
GET       5.400        99.94
GET       5.500        99.94
GET       6.500        99.95
GET       6.600        99.95
GET       6.700        99.96
GET       8.600        99.96
GET       9.000        99.96
GET       9.100        99.96
GET       9.400        99.97
GET      10.000        99.97
GET      11.000        99.98
GET      12.000        99.99
GET      24.000        99.99
GET      25.000        99.99
GET      34.000       100.00
GET      35.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          405.07          ---          ---      1.90100        39.77 
Gets         4048.66       948.82      3099.84      0.77700       283.01 
Waits           0.00          ---          ---      0.00000          --- 
Totals       4453.73       948.82      3099.84      0.87900       322.78 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.700         0.02
SET       0.710         0.07
SET       0.720         0.17
SET       0.730         0.20
SET       0.740         0.25
SET       0.750         0.35
SET       0.760         0.52
SET       0.770         0.57
SET       0.780         0.62
SET       0.790         0.69
SET       0.800         1.04
SET       0.810         1.26
SET       0.820         1.53
SET       0.830         1.73
SET       0.840         1.95
SET       0.850         2.22
SET       0.860         2.47
SET       0.870         2.72
SET       0.880         2.96
SET       0.890         3.41
SET       0.900         3.75
SET       0.910         4.10
SET       0.920         4.49
SET       0.930         4.99
SET       0.940         5.46
SET       0.950         6.00
SET       0.960         6.49
SET       0.970         6.84
SET       0.980         7.26
SET       0.990         7.73
SET       1.000        10.66
SET       1.100        15.26
SET       1.200        20.17
SET       1.300        28.09
SET       1.400        37.60
SET       1.500        45.57
SET       1.600        53.22
SET       1.700        58.70
SET       1.800        63.07
SET       1.900        66.63
SET       2.000        70.45
SET       2.100        73.29
SET       2.200        75.22
SET       2.300        77.07
SET       2.400        78.84
SET       2.500        80.13
SET       2.600        81.86
SET       2.700        83.58
SET       2.800        85.41
