4         Threads
7         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1084.68          ---          ---      2.73900       105.61 
Gets        10832.57      7049.60      3782.97      2.29800       903.47 
Waits           0.00          ---          ---      0.00000          --- 
Totals      11917.25      7049.60      3782.97      2.33800      1009.08 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.810         0.01
SET       1.100         0.10
SET       1.200         0.19
SET       1.300         0.68
SET       1.400         1.83
SET       1.500         3.77
SET       1.600         5.96
SET       1.700         9.09
SET       1.800        12.85
SET       1.900        17.60
SET       2.000        22.22
SET       2.100        26.95
SET       2.200        31.60
SET       2.300        36.80
SET       2.400        41.61
SET       2.500        46.17
SET       2.600        51.03
SET       2.700        55.55
SET       2.800        60.20
SET       2.900        64.48
SET       3.000        68.80
SET       3.100        72.98
SET       3.200        76.95
SET       3.300        80.37
SET       3.400        83.28
SET       3.500        86.02
SET       3.600        88.32
SET       3.700        90.05
SET       3.800        91.58
SET       3.900        92.71
SET       4.000        93.82
SET       4.100        94.72
SET       4.200        95.58
SET       4.300        96.05
SET       4.400        96.44
SET       4.500        96.88
SET       4.600        97.23
SET       4.700        97.54
SET       4.800        97.79
SET       4.900        98.02
SET       5.000        98.29
SET       5.100        98.41
SET       5.200        98.50
SET       5.300        98.75
SET       5.400        98.89
SET       5.500        99.04
SET       5.600        99.15
SET       5.700        99.25
SET       5.800        99.31
SET       5.900        99.35
SET       6.000        99.39
SET       6.100        99.42
SET       6.200        99.46
SET       6.300        99.57
SET       6.400        99.64
SET       6.500        99.69
SET       6.600        99.71
SET       6.700        99.74
SET       6.800        99.75
SET       6.900        99.79
SET       7.000        99.80
SET       7.100        99.81
SET       7.700        99.82
SET       7.800        99.84
SET       7.900        99.85
SET       8.000        99.86
SET       8.400        99.89
SET       9.000        99.90
SET       9.500        99.91
SET      10.000        99.93
SET      15.000        99.96
SET      17.000        99.98
SET      18.000        99.99
SET      19.000       100.00
---
GET       0.400         0.00
GET       0.420         0.00
GET       0.450         0.01
GET       0.460         0.01
GET       0.470         0.01
GET       0.480         0.01
GET       0.490         0.02
