4         Threads
1         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          555.69          ---          ---      1.34400        53.18 
Gets         5553.04      5553.04         0.00      0.57700       520.60 
Waits           0.00          ---          ---      0.00000          --- 
Totals       6108.73      5553.04         0.00      0.64600       573.78 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.620         0.02
SET       0.640         0.05
SET       0.650         0.07
SET       0.660         0.09
SET       0.670         0.22
SET       0.680         0.25
SET       0.690         0.31
SET       0.700         0.45
SET       0.710         0.59
SET       0.720         0.79
SET       0.730         0.99
SET       0.740         1.22
SET       0.750         1.49
SET       0.760         1.98
SET       0.770         2.38
SET       0.780         2.88
SET       0.790         3.53
SET       0.800         4.23
SET       0.810         4.70
SET       0.820         5.42
SET       0.830         6.14
SET       0.840         6.98
SET       0.850         7.74
SET       0.860         8.82
SET       0.870        10.04
SET       0.880        11.46
SET       0.890        13.01
SET       0.900        14.25
SET       0.910        15.71
SET       0.920        17.17
SET       0.930        18.86
SET       0.940        20.64
SET       0.950        22.12
SET       0.960        23.48
SET       0.970        24.96
SET       0.980        26.62
SET       0.990        28.16
SET       1.000        35.11
SET       1.100        43.17
SET       1.200        50.80
SET       1.300        60.54
SET       1.400        69.01
SET       1.500        75.36
SET       1.600        80.10
SET       1.700        83.01
SET       1.800        85.73
SET       1.900        88.79
SET       2.000        91.52
SET       2.100        93.49
SET       2.200        95.32
SET       2.300        96.35
SET       2.400        97.26
SET       2.500        97.73
SET       2.600        98.25
SET       2.700        98.42
SET       2.800        98.67
SET       2.900        98.99
SET       3.000        99.19
SET       3.100        99.28
SET       3.200        99.39
SET       3.300        99.48
SET       3.400        99.51
SET       3.500        99.55
SET       3.600        99.59
SET       3.700        99.60
SET       3.800        99.66
SET       3.900        99.69
SET       4.000        99.73
SET       4.100        99.75
SET       4.300        99.77
SET       4.400        99.78
SET       4.500        99.86
SET       4.700        99.87
SET       4.800        99.89
SET       5.000        99.91
SET       5.200        99.93
SET       6.500        99.95
SET      13.000        99.96
SET      16.000       100.00
---
GET       0.130         0.00
GET       0.140         0.00
GET       0.160         0.03
GET       0.170         0.08
GET       0.180         0.22
GET       0.190         0.56
GET       0.200         1.15
GET       0.210         2.14
GET       0.220         3.68
GET       0.230         5.61
GET       0.240         7.74
GET       0.250        10.04
GET       0.260        12.61
GET       0.270        15.27
GET       0.280        17.87
GET       0.290        20.60
GET       0.300        23.56
GET       0.310        26.33
GET       0.320        29.41
GET       0.330        32.52
GET       0.340        35.63
GET       0.350        38.51
GET       0.360        41.43
GET       0.370        44.20
GET       0.380        46.90
GET       0.390        49.33
GET       0.400        51.58
GET       0.410        53.74
