4         Threads
5         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          940.90          ---          ---      2.40300        90.05 
Gets         9398.22      9398.22         0.00      1.88000       881.08 
Waits           0.00          ---          ---      0.00000          --- 
Totals      10339.12      9398.22         0.00      1.92800       971.13 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.880         0.01
SET       0.900         0.02
SET       0.950         0.05
SET       0.960         0.09
SET       0.970         0.10
SET       0.980         0.11
SET       0.990         0.13
SET       1.000         0.32
SET       1.100         0.97
SET       1.200         2.28
SET       1.300         4.56
SET       1.400         7.72
SET       1.500        11.70
SET       1.600        16.73
SET       1.700        22.06
SET       1.800        28.03
SET       1.900        33.89
SET       2.000        39.15
SET       2.100        44.36
SET       2.200        49.44
SET       2.300        54.39
SET       2.400        59.04
SET       2.500        63.99
SET       2.600        68.13
SET       2.700        71.76
SET       2.800        75.23
SET       2.900        78.52
SET       3.000        81.70
SET       3.100        84.36
SET       3.200        86.93
SET       3.300        89.00
SET       3.400        90.95
SET       3.500        92.56
SET       3.600        93.89
SET       3.700        94.94
SET       3.800        95.72
SET       3.900        96.30
SET       4.000        96.77
SET       4.100        97.23
SET       4.200        97.55
SET       4.300        97.74
SET       4.400        97.93
SET       4.500        98.14
SET       4.600        98.27
SET       4.700        98.37
SET       4.800        98.47
SET       4.900        98.53
SET       5.000        98.59
SET       5.100        98.70
SET       5.200        98.80
SET       5.300        98.88
SET       5.400        98.94
SET       5.500        99.02
SET       5.600        99.10
SET       5.700        99.16
SET       5.800        99.18
SET       5.900        99.23
SET       6.000        99.30
SET       6.100        99.37
SET       6.200        99.45
SET       6.400        99.48
SET       6.500        99.51
SET       6.600        99.56
SET       6.700        99.60
SET       6.900        99.61
SET       7.000        99.62
SET       7.200        99.65
SET       7.500        99.69
SET       7.600        99.71
SET       7.700        99.74
SET       7.800        99.76
SET       7.900        99.79
SET       8.000        99.81
SET       8.100        99.84
SET       8.200        99.86
SET       8.300        99.88
