4         Threads
7         Connections per thread
10        Seconds


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1128.47          ---          ---      2.61500       108.00 
Gets        11271.25     11271.25         0.00      2.21600      1056.68 
Waits           0.00          ---          ---      0.00000          --- 
Totals      12399.72     11271.25         0.00      2.25200      1164.68 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000         0.01
SET       1.100         0.09
SET       1.200         0.50
SET       1.300         1.36
SET       1.400         2.84
SET       1.500         5.40
SET       1.600         8.44
SET       1.700        12.10
SET       1.800        16.43
SET       1.900        21.38
SET       2.000        27.04
SET       2.100        32.44
SET       2.200        37.95
SET       2.300        43.34
SET       2.400        48.83
SET       2.500        53.62
SET       2.600        58.44
SET       2.700        62.92
SET       2.800        67.47
SET       2.900        71.61
SET       3.000        75.59
SET       3.100        79.46
SET       3.200        82.80
SET       3.300        85.22
SET       3.400        87.94
SET       3.500        89.95
SET       3.600        91.51
SET       3.700        92.81
SET       3.800        93.89
SET       3.900        94.73
SET       4.000        95.32
SET       4.100        95.93
SET       4.200        96.55
SET       4.300        96.99
SET       4.400        97.29
SET       4.500        97.57
SET       4.600        97.81
SET       4.700        97.95
SET       4.800        98.18
SET       4.900        98.33
SET       5.000        98.48
SET       5.100        98.57
SET       5.200        98.72
SET       5.300        98.83
SET       5.400        98.95
SET       5.500        99.04
SET       5.600        99.10
SET       5.700        99.16
SET       5.800        99.24
SET       5.900        99.32
SET       6.000        99.36
SET       6.100        99.38
SET       6.200        99.42
SET       6.300        99.43
SET       6.400        99.46
SET       6.500        99.50
SET       6.600        99.52
SET       6.700        99.53
SET       6.800        99.54
SET       7.500        99.55
SET       7.600        99.56
SET       8.000        99.57
SET       8.400        99.57
SET       8.500        99.58
SET       8.600        99.60
SET       8.900        99.61
SET      10.000        99.70
SET      11.000        99.86
SET      12.000        99.96
SET      13.000        99.98
SET      14.000        99.99
SET      15.000       100.00
---
GET       0.380         0.00
GET       0.400         0.00
GET       0.420         0.00
GET       0.430         0.01
GET       0.450         0.01
GET       0.460         0.01
GET       0.470         0.01
GET       0.480         0.02
GET       0.490         0.02
GET       0.500         0.03
GET       0.510         0.04
GET       0.520         0.04
GET       0.530         0.05
GET       0.540         0.07
GET       0.550         0.09
GET       0.560         0.11
GET       0.570         0.13
GET       0.580         0.15
GET       0.590         0.17
GET       0.600         0.19
GET       0.610         0.22
GET       0.620         0.25
GET       0.630         0.29
GET       0.640         0.33
GET       0.650         0.38
GET       0.660         0.43
GET       0.670         0.48
GET       0.680         0.54
GET       0.690         0.59
GET       0.700         0.66
GET       0.710         0.72
GET       0.720         0.79
GET       0.730         0.87
GET       0.740         0.94
GET       0.750         1.05
GET       0.760         1.14
GET       0.770         1.24
GET       0.780         1.34
GET       0.790         1.46
GET       0.800         1.59
GET       0.810         1.71
GET       0.820         1.85
GET       0.830         1.97
GET       0.840         2.11
GET       0.850         2.25
GET       0.860         2.37
GET       0.870         2.50
GET       0.880         2.64
GET       0.890         2.80
GET       0.900         2.94
GET       0.910         3.08
GET       0.920         3.27
GET       0.930         3.44
GET       0.940         3.61
GET       0.950         3.78
GET       0.960         3.95
GET       0.970         4.15
GET       0.980         4.32
GET       0.990         4.52
GET       1.000         5.63
GET       1.100         7.87
GET       1.200        10.39
GET       1.300        13.22
GET       1.400        16.74
GET       1.500        20.81
GET       1.600        25.27
GET       1.700        30.10
GET       1.800        35.22
GET       1.900        40.66
GET       2.000        46.05
GET       2.100        51.30
GET       2.200        56.39
GET       2.300        61.24
GET       2.400        65.74
GET       2.500        69.94
GET       2.600        73.77
GET       2.700        77.30
GET       2.800        80.56
GET       2.900        83.37
GET       3.000        85.91
GET       3.100        88.21
GET       3.200        90.18
GET       3.300        91.82
GET       3.400        93.24
GET       3.500        94.42
GET       3.600        95.34
GET       3.700        96.05
GET       3.800        96.63
GET       3.900        97.10
GET       4.000        97.51
GET       4.100        97.86
GET       4.200        98.18
GET       4.300        98.45
GET       4.400        98.65
GET       4.500        98.81
GET       4.600        98.96
GET       4.700        99.09
GET       4.800        99.19
GET       4.900        99.28
GET       5.000        99.35
GET       5.100        99.43
GET       5.200        99.52
GET       5.300        99.56
GET       5.400        99.60
GET       5.500        99.63
GET       5.600        99.67
GET       5.700        99.70
GET       5.800        99.74
GET       5.900        99.76
GET       6.000        99.78
GET       6.100        99.81
GET       6.200        99.83
GET       6.300        99.84
GET       6.400        99.85
GET       6.500        99.86
GET       6.600        99.87
GET       6.700        99.87
GET       7.400        99.87
GET       7.500        99.88
GET       7.600        99.88
GET       7.700        99.89
GET       7.800        99.89
GET       7.900        99.89
GET       8.000        99.90
GET       8.100        99.90
GET       8.200        99.90
GET       8.300        99.90
GET       8.400        99.91
GET       8.500        99.91
GET       8.600        99.92
GET       9.900        99.92
GET      10.000        99.94
GET      11.000        99.96
GET      12.000        99.97
GET      13.000        99.98
GET      14.000        99.99
GET      15.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          483.95          ---          ---      7.26400        46.32 
Gets         4826.21      4826.21         0.00      5.06500       452.46 
Waits           0.00          ---          ---      0.00000          --- 
Totals       5310.16      4826.21         0.00      5.26600       498.77 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.100         0.10
SET       1.200         0.37
SET       1.300         0.72
SET       1.400         1.28
SET       1.500         2.38
SET       1.600         3.99
SET       1.700         5.27
SET       1.800         7.15
SET       1.900         9.05
SET       2.000        11.69
SET       2.100        13.97
SET       2.200        16.49
SET       2.300        19.05
SET       2.400        21.59
SET       2.500        23.84
SET       2.600        26.57
SET       2.700        28.78
SET       2.800        31.01
