4         Threads
17        Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1960.70          ---          ---      3.48000       187.64 
Gets        19585.43     19585.43         0.00      3.22400      1836.13 
Waits           0.00          ---          ---      0.00000          --- 
Totals      21546.13     19585.43         0.00      3.24700      2023.78 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.780         0.00
SET       0.820         0.00
SET       0.830         0.00
SET       0.920         0.01
SET       0.930         0.01
SET       1.100         0.01
SET       1.200         0.01
SET       1.300         0.02
SET       1.400         0.02
SET       1.500         0.03
SET       1.600         0.04
SET       1.700         0.04
SET       1.800         0.07
SET       1.900         0.21
SET       2.000         0.48
SET       2.100         1.12
SET       2.200         2.30
SET       2.300         4.30
SET       2.400         7.16
SET       2.500        10.92
SET       2.600        15.53
SET       2.700        20.93
SET       2.800        26.74
SET       2.900        32.55
SET       3.000        38.37
SET       3.100        43.88
SET       3.200        48.92
SET       3.300        53.62
SET       3.400        57.98
SET       3.500        61.98
SET       3.600        65.72
SET       3.700        69.46
SET       3.800        72.70
SET       3.900        75.73
SET       4.000        78.50
SET       4.100        81.09
SET       4.200        83.24
SET       4.300        85.14
SET       4.400        86.95
SET       4.500        88.51
SET       4.600        89.84
SET       4.700        91.09
SET       4.800        92.18
SET       4.900        93.08
SET       5.000        93.85
SET       5.100        94.58
SET       5.200        95.23
SET       5.300        95.80
SET       5.400        96.32
SET       5.500        96.76
SET       5.600        97.08
SET       5.700        97.40
SET       5.800        97.69
SET       5.900        97.96
SET       6.000        98.19
SET       6.100        98.37
SET       6.200        98.54
SET       6.300        98.68
SET       6.400        98.82
SET       6.500        98.94
SET       6.600        99.07
SET       6.700        99.17
SET       6.800        99.28
SET       6.900        99.34
SET       7.000        99.39
SET       7.100        99.43
SET       7.200        99.48
SET       7.300        99.54
SET       7.400        99.60
SET       7.500        99.64
SET       7.600        99.66
SET       7.700        99.69
SET       7.800        99.71
SET       7.900        99.73
SET       8.000        99.75
SET       8.100        99.78
SET       8.200        99.79
SET       8.300        99.80
SET       8.400        99.81
SET       8.500        99.82
SET       8.600        99.83
SET       8.700        99.83
SET       8.800        99.84
SET       8.900        99.85
SET       9.000        99.85
SET       9.100        99.86
SET       9.200        99.86
SET       9.300        99.86
SET       9.400        99.87
SET       9.500        99.88
SET       9.600        99.89
SET       9.700        99.89
SET       9.800        99.91
SET       9.900        99.92
SET      10.000        99.93
SET      11.000        99.94
SET      12.000        99.94
SET      13.000        99.94
SET      14.000        99.94
SET      15.000        99.95
SET      16.000        99.95
SET      17.000        99.96
SET      18.000        99.98
SET      19.000        99.98
SET      21.000        99.99
SET      22.000       100.00
---
GET       0.140         0.00
GET       0.150         0.00
GET       0.160         0.00
GET       0.170         0.00
GET       0.190         0.00
GET       0.200         0.00
GET       0.220         0.00
GET       0.230         0.00
GET       0.240         0.00
GET       0.250         0.00
GET       0.270         0.00
GET       0.280         0.00
GET       0.290         0.00
GET       0.300         0.00
GET       0.320         0.00
GET       0.330         0.00
GET       0.340         0.00
GET       0.350         0.00
GET       0.360         0.01
GET       0.370         0.01
GET       0.380         0.01
GET       0.390         0.01
GET       0.400         0.01
GET       0.410         0.01
GET       0.440         0.01
GET       0.450         0.01
GET       0.460         0.01
GET       0.470         0.01
GET       0.480         0.01
GET       0.490         0.01
GET       0.500         0.01
GET       0.510         0.01
GET       0.520         0.01
GET       0.530         0.01
GET       0.540         0.01
GET       0.550         0.01
GET       0.560         0.01
GET       0.570         0.01
GET       0.590         0.01
GET       0.600         0.01
GET       0.610         0.01
GET       0.620         0.01
GET       0.630         0.01
GET       0.640         0.01
GET       0.650         0.01
GET       0.660         0.02
GET       0.670         0.02
