4         Threads
3         Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          746.57          ---          ---      2.00100        71.45 
Gets         7457.54      7457.54         0.00      1.40000       699.14 
Waits           0.00          ---          ---      0.00000          --- 
Totals       8204.12      7457.54         0.00      1.45500       770.59 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.760         0.01
SET       0.780         0.03
SET       0.790         0.05
SET       0.800         0.09
SET       0.810         0.10
SET       0.820         0.14
SET       0.830         0.15
SET       0.850         0.20
SET       0.860         0.25
SET       0.870         0.30
SET       0.880         0.35
SET       0.890         0.42
SET       0.900         0.49
SET       0.910         0.58
SET       0.920         0.60
SET       0.930         0.67
SET       0.940         0.78
SET       0.950         0.86
SET       0.960         0.93
SET       0.970         1.09
SET       0.980         1.21
SET       0.990         1.37
SET       1.000         2.89
SET       1.100         6.32
SET       1.200        10.23
SET       1.300        14.45
SET       1.400        20.02
SET       1.500        26.34
SET       1.600        33.91
SET       1.700        41.50
SET       1.800        48.46
SET       1.900        54.70
SET       2.000        60.10
SET       2.100        65.06
SET       2.200        69.94
SET       2.300        74.40
SET       2.400        78.77
SET       2.500        82.30
SET       2.600        85.13
SET       2.700        87.57
SET       2.800        89.60
SET       2.900        91.31
SET       3.000        92.81
SET       3.100        94.18
SET       3.200        95.30
SET       3.300        96.27
SET       3.400        96.96
SET       3.500        97.41
SET       3.600        97.83
SET       3.700        98.29
SET       3.800        98.51
SET       3.900        98.69
SET       4.000        98.85
SET       4.100        99.01
SET       4.200        99.17
SET       4.300        99.27
SET       4.400        99.44
SET       4.500        99.52
SET       4.600        99.57
SET       4.700        99.65
SET       4.800        99.68
SET       4.900        99.71
SET       5.000        99.77
SET       5.200        99.80
SET       5.300        99.81
SET       5.500        99.85
SET       5.900        99.87
SET       6.000        99.89
SET       6.100        99.90
SET       6.200        99.91
SET       6.900        99.93
SET       7.600        99.94
SET       7.900        99.95
SET       8.400        99.95
SET      13.000        99.97
SET      14.000        99.99
SET      16.000       100.00
---
GET       0.180         0.00
GET       0.190         0.00
GET       0.200         0.00
GET       0.210         0.01
GET       0.220         0.01
GET       0.230         0.02
GET       0.240         0.02
GET       0.250         0.02
GET       0.260         0.03
GET       0.270         0.04
GET       0.280         0.05
GET       0.290         0.07
GET       0.300         0.10
GET       0.310         0.13
