4         Threads
5         Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          938.82          ---          ---      2.33300        89.85 
Gets         9377.85      9377.85         0.00      1.89200       879.17 
Waits           0.00          ---          ---      0.00000          --- 
Totals      10316.67      9377.85         0.00      1.93200       969.02 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.750         0.01
SET       0.770         0.01
SET       0.860         0.03
SET       0.880         0.04
SET       0.890         0.04
SET       0.910         0.05
SET       0.920         0.06
SET       0.930         0.08
SET       0.940         0.10
SET       0.960         0.12
SET       0.970         0.14
SET       0.980         0.15
SET       0.990         0.18
SET       1.000         0.35
SET       1.100         1.00
SET       1.200         2.23
SET       1.300         4.22
SET       1.400         6.95
SET       1.500        11.23
SET       1.600        16.18
SET       1.700        22.04
SET       1.800        28.26
SET       1.900        34.21
SET       2.000        40.37
SET       2.100        46.04
SET       2.200        51.93
SET       2.300        57.37
SET       2.400        62.46
SET       2.500        67.04
SET       2.600        71.27
SET       2.700        74.93
SET       2.800        78.53
SET       2.900        81.71
SET       3.000        84.42
SET       3.100        87.12
SET       3.200        89.38
SET       3.300        91.39
SET       3.400        93.16
SET       3.500        94.49
SET       3.600        95.31
SET       3.700        96.08
SET       3.800        96.75
SET       3.900        97.24
SET       4.000        97.62
SET       4.100        97.92
SET       4.200        98.18
SET       4.300        98.45
SET       4.400        98.65
SET       4.500        98.78
SET       4.600        98.92
SET       4.700        99.08
SET       4.800        99.23
SET       4.900        99.33
SET       5.000        99.41
SET       5.100        99.48
SET       5.200        99.57
SET       5.300        99.66
SET       5.400        99.70
SET       5.500        99.76
SET       5.600        99.80
SET       5.700        99.86
SET       5.800        99.88
SET       5.900        99.92
SET       6.000        99.96
SET       6.100        99.97
SET       6.200        99.97
SET       6.300        99.98
SET       6.600        99.99
SET      14.000        99.99
SET      15.000       100.00
---
GET       0.160         0.00
GET       0.170         0.00
GET       0.180         0.00
GET       0.190         0.01
GET       0.200         0.01
GET       0.210         0.01
GET       0.220         0.01
GET       0.230         0.01
GET       0.240         0.01
GET       0.250         0.02
GET       0.260         0.02
GET       0.270         0.02
GET       0.280         0.02
GET       0.300         0.02
GET       0.310         0.02
GET       0.320         0.02
GET       0.330         0.02
GET       0.340         0.03
GET       0.350         0.03
GET       0.360         0.04
GET       0.370         0.04
GET       0.380         0.05
GET       0.390         0.06
GET       0.400         0.06
GET       0.410         0.07
GET       0.420         0.09
GET       0.430         0.11
GET       0.440         0.14
GET       0.450         0.17
GET       0.460         0.20
GET       0.470         0.24
GET       0.480         0.30
GET       0.490         0.35
GET       0.500         0.42
GET       0.510         0.50
GET       0.520         0.59
GET       0.530         0.67
GET       0.540         0.78
GET       0.550         0.90
GET       0.560         1.03
GET       0.570         1.17
