4         Threads
7         Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1057.49          ---          ---      2.77400       101.21 
Gets        10563.28     10563.28         0.00      2.35800       990.31 
Waits           0.00          ---          ---      0.00000          --- 
Totals      11620.77     10563.28         0.00      2.39600      1091.51 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.760         0.00
SET       0.780         0.01
SET       0.800         0.01
SET       0.820         0.02
SET       0.830         0.02
SET       0.840         0.02
SET       0.850         0.03
SET       0.900         0.03
SET       0.910         0.04
SET       0.940         0.05
SET       0.980         0.05
SET       0.990         0.06
SET       1.000         0.09
SET       1.100         0.20
SET       1.200         0.52
SET       1.300         1.08
SET       1.400         2.39
SET       1.500         4.32
SET       1.600         7.04
SET       1.700        10.32
SET       1.800        14.53
SET       1.900        19.18
SET       2.000        24.17
SET       2.100        29.14
SET       2.200        34.06
SET       2.300        39.22
SET       2.400        44.12
SET       2.500        48.57
SET       2.600        53.10
SET       2.700        57.32
SET       2.800        61.12
SET       2.900        64.79
SET       3.000        68.27
SET       3.100        71.68
SET       3.200        74.67
SET       3.300        77.30
SET       3.400        79.84
SET       3.500        82.29
SET       3.600        84.22
SET       3.700        85.91
SET       3.800        87.38
SET       3.900        88.72
SET       4.000        89.87
SET       4.100        90.89
SET       4.200        91.81
SET       4.300        92.68
SET       4.400        93.50
SET       4.500        94.21
SET       4.600        94.95
SET       4.700        95.64
SET       4.800        96.23
SET       4.900        96.84
SET       5.000        97.33
SET       5.100        97.68
SET       5.200        97.91
SET       5.300        98.25
SET       5.400        98.52
SET       5.500        98.73
SET       5.600        98.90
SET       5.700        99.02
SET       5.800        99.18
SET       5.900        99.30
SET       6.000        99.38
SET       6.100        99.47
SET       6.200        99.54
SET       6.300        99.57
SET       6.400        99.62
SET       6.500        99.65
SET       6.600        99.68
SET       6.700        99.70
SET       6.800        99.73
SET       6.900        99.74
SET       7.000        99.75
SET       7.100        99.76
SET       7.200        99.78
SET       7.300        99.80
SET       7.400        99.82
SET       7.500        99.83
SET       7.600        99.84
