4         Threads
9         Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1226.97          ---          ---      2.85900       117.42 
Gets        12256.17     12256.17         0.00      2.54000      1149.02 
Waits           0.00          ---          ---      0.00000          --- 
Totals      13483.14     12256.17         0.00      2.56900      1266.44 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.800         0.00
SET       0.870         0.01
SET       0.920         0.01
SET       0.930         0.01
SET       0.940         0.02
SET       0.950         0.02
SET       1.000         0.03
SET       1.100         0.06
SET       1.200         0.09
SET       1.300         0.20
SET       1.400         0.54
SET       1.500         1.43
SET       1.600         2.87
SET       1.700         4.75
SET       1.800         7.39
SET       1.900        10.99
SET       2.000        15.05
SET       2.100        19.46
SET       2.200        24.36
SET       2.300        29.52
SET       2.400        34.57
SET       2.500        39.81
SET       2.600        45.03
SET       2.700        49.69
SET       2.800        54.30
SET       2.900        58.91
SET       3.000        63.57
SET       3.100        68.30
SET       3.200        72.42
SET       3.300        76.51
SET       3.400        80.01
SET       3.500        83.25
SET       3.600        85.99
SET       3.700        88.50
SET       3.800        90.44
SET       3.900        92.03
SET       4.000        93.35
SET       4.100        94.49
SET       4.200        95.31
SET       4.300        95.98
SET       4.400        96.52
SET       4.500        96.99
SET       4.600        97.39
SET       4.700        97.75
SET       4.800        98.04
SET       4.900        98.25
SET       5.000        98.41
SET       5.100        98.58
SET       5.200        98.79
SET       5.300        98.95
SET       5.400        99.07
SET       5.500        99.16
SET       5.600        99.28
SET       5.700        99.33
SET       5.800        99.43
SET       5.900        99.52
SET       6.000        99.57
SET       6.100        99.63
SET       6.200        99.67
SET       6.300        99.70
SET       6.400        99.74
SET       6.500        99.78
SET       6.600        99.80
SET       6.700        99.81
SET       6.800        99.83
SET       6.900        99.85
SET       7.000        99.87
SET       7.100        99.87
SET       7.200        99.88
SET       7.300        99.89
SET       7.400        99.89
SET       7.700        99.89
SET       7.900        99.90
SET       8.100        99.90
SET       8.600        99.90
SET       9.000        99.91
SET       9.100        99.91
SET       9.300        99.91
SET       9.400        99.92
SET      11.000        99.94
SET      16.000        99.94
SET      17.000        99.96
SET      18.000        99.98
SET      19.000        99.99
SET      20.000        99.99
SET      57.000        99.99
SET      60.000       100.00
---
GET       0.150         0.00
GET       0.160         0.00
GET       0.170         0.00
GET       0.180         0.00
GET       0.210         0.00
GET       0.220         0.00
GET       0.230         0.00
GET       0.240         0.00
GET       0.250         0.00
GET       0.260         0.01
GET       0.270         0.01
GET       0.280         0.01
GET       0.290         0.01
GET       0.300         0.01
GET       0.310         0.01
GET       0.320         0.02
GET       0.330         0.02
GET       0.340         0.02
GET       0.350         0.02
GET       0.360         0.02
GET       0.370         0.02
GET       0.380         0.02
GET       0.390         0.02
GET       0.400         0.02
GET       0.410         0.02
GET       0.420         0.02
GET       0.450         0.03
GET       0.460         0.03
GET       0.470         0.03
GET       0.480         0.03
GET       0.490         0.03
GET       0.500         0.03
GET       0.510         0.03
GET       0.520         0.03
GET       0.530         0.03
GET       0.540         0.03
GET       0.550         0.04
GET       0.560         0.04
GET       0.570         0.04
GET       0.580         0.04
GET       0.590         0.05
GET       0.600         0.05
GET       0.610         0.06
GET       0.620         0.06
GET       0.630         0.07
GET       0.640         0.08
GET       0.650         0.09
GET       0.660         0.10
GET       0.670         0.11
GET       0.680         0.11
GET       0.690         0.13
GET       0.700         0.14
GET       0.710         0.16
GET       0.720         0.17
GET       0.730         0.18
GET       0.740         0.20
GET       0.750         0.22
GET       0.760         0.24
GET       0.770         0.26
GET       0.780         0.28
GET       0.790         0.31
GET       0.800         0.33
GET       0.810         0.36
GET       0.820         0.39
GET       0.830         0.42
GET       0.840         0.45
GET       0.850         0.49
GET       0.860         0.53
GET       0.870         0.57
GET       0.880         0.61
GET       0.890         0.65
GET       0.900         0.70
GET       0.910         0.76
GET       0.920         0.81
GET       0.930         0.86
GET       0.940         0.92
GET       0.950         0.97
GET       0.960         1.03
GET       0.970         1.10
GET       0.980         1.16
GET       0.990         1.23
GET       1.000         1.66
GET       1.100         2.61
GET       1.200         3.84
GET       1.300         5.38
GET       1.400         7.34
GET       1.500         9.73
GET       1.600        12.59
GET       1.700        16.09
GET       1.800        20.12
GET       1.900        24.68
GET       2.000        29.62
GET       2.100        34.68
GET       2.200        39.85
GET       2.300        45.10
GET       2.400        50.12
GET       2.500        55.09
GET       2.600        59.77
GET       2.700        64.20
GET       2.800        68.44
GET       2.900        72.29
GET       3.000        75.97
GET       3.100        79.36
GET       3.200        82.45
GET       3.300        85.10
GET       3.400        87.52
GET       3.500        89.66
GET       3.600        91.41
GET       3.700        92.89
GET       3.800        94.11
GET       3.900        95.12
GET       4.000        95.95
GET       4.100        96.61
GET       4.200        97.09
GET       4.300        97.51
GET       4.400        97.84
GET       4.500        98.10
GET       4.600        98.33
GET       4.700        98.54
GET       4.800        98.72
GET       4.900        98.89
GET       5.000        99.02
GET       5.100        99.15
GET       5.200        99.27
GET       5.300        99.36
GET       5.400        99.44
GET       5.500        99.51
GET       5.600        99.57
GET       5.700        99.61
GET       5.800        99.66
GET       5.900        99.70
GET       6.000        99.73
GET       6.100        99.76
GET       6.200        99.78
GET       6.300        99.81
GET       6.400        99.83
GET       6.500        99.85
GET       6.600        99.87
GET       6.700        99.88
GET       6.800        99.89
GET       6.900        99.89
GET       7.000        99.90
GET       7.100        99.90
GET       7.200        99.91
GET       7.300        99.91
GET       7.400        99.91
GET       7.500        99.92
GET       7.600        99.92
GET       7.700        99.92
GET       7.800        99.92
GET       7.900        99.92
GET       8.000        99.92
GET       8.200        99.92
GET       8.300        99.92
GET       8.400        99.93
GET       8.500        99.93
GET       8.600        99.93
GET       8.700        99.93
GET       8.800        99.93
GET       8.900        99.94
GET       9.000        99.94
GET       9.100        99.94
GET       9.200        99.94
GET       9.300        99.94
GET       9.400        99.94
GET       9.500        99.94
GET      10.000        99.95
GET      11.000        99.95
GET      15.000        99.95
GET      16.000        99.96
GET      17.000        99.97
GET      18.000        99.98
GET      19.000        99.99
GET      20.000        99.99
GET      56.000        99.99
GET      57.000       100.00
GET      58.000       100.00
GET      59.000       100.00
GET      60.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          928.30          ---          ---      4.11100        88.84 
Gets         9272.81      9272.81         0.00      3.58200       869.33 
Waits           0.00          ---          ---      0.00000          --- 
Totals      10201.12      9272.81         0.00      3.63000       958.17 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.920         0.00
SET       0.930         0.01
SET       1.000         0.01
SET       1.100         0.04
SET       1.200         0.09
SET       1.300         0.21
SET       1.400         0.56
SET       1.500         1.29
SET       1.600         2.60
SET       1.700         4.73
SET       1.800         7.46
SET       1.900        10.83
SET       2.000        14.57
SET       2.100        18.83
SET       2.200        23.30
SET       2.300        28.08
SET       2.400        32.80
SET       2.500        37.25
SET       2.600        41.87
SET       2.700        46.20
SET       2.800        50.69
SET       2.900        54.73
SET       3.000        58.72
SET       3.100        62.63
SET       3.200        66.14
SET       3.300        69.55
SET       3.400        72.71
SET       3.500        75.45
SET       3.600        77.99
SET       3.700        80.16
SET       3.800        81.91
SET       3.900        83.29
SET       4.000        84.47
SET       4.100        85.42
SET       4.200        86.20
SET       4.300        86.91
SET       4.400        87.42
SET       4.500        87.82
SET       4.600        88.20
SET       4.700        88.54
SET       4.800        88.85
SET       4.900        89.16
SET       5.000        89.47
SET       5.100        89.81
SET       5.200        90.08
SET       5.300        90.40
SET       5.400        90.66
