4         Threads
20        Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          896.43          ---          ---      8.80900        85.79 
Gets         8954.43      8954.43         0.00      8.14200       839.48 
Waits           0.00          ---          ---      0.00000          --- 
Totals       9850.86      8954.43         0.00      8.20200       925.27 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.740         0.00
SET       0.840         0.00
SET       1.000         0.00
SET       1.100         0.01
SET       1.200         0.01
SET       1.300         0.01
SET       1.400         0.01
SET       1.500         0.01
SET       1.700         0.02
SET       1.800         0.02
SET       1.900         0.03
SET       2.000         0.05
SET       2.100         0.05
SET       2.200         0.06
SET       2.300         0.07
SET       2.400         0.10
SET       2.500         0.16
SET       2.600         0.26
SET       2.700         0.59
SET       2.800         1.28
SET       2.900         2.49
SET       3.000         4.39
SET       3.100         7.14
SET       3.200        11.03
SET       3.300        15.65
SET       3.400        21.19
SET       3.500        27.11
SET       3.600        33.22
SET       3.700        38.83
SET       3.800        43.98
SET       3.900        48.35
SET       4.000        52.22
SET       4.100        55.54
SET       4.200        58.52
SET       4.300        61.20
SET       4.400        63.53
SET       4.500        65.48
SET       4.600        67.26
SET       4.700        68.97
SET       4.800        70.63
SET       4.900        72.16
SET       5.000        73.60
SET       5.100        74.97
SET       5.200        76.23
SET       5.300        77.46
SET       5.400        78.59
SET       5.500        79.63
SET       5.600        80.75
SET       5.700        81.80
SET       5.800        82.77
SET       5.900        83.66
SET       6.000        84.36
SET       6.100        85.09
SET       6.200        85.78
SET       6.300        86.33
SET       6.400        86.94
SET       6.500        87.45
SET       6.600        87.88
SET       6.700        88.31
SET       6.800        88.66
SET       6.900        89.00
SET       7.000        89.31
SET       7.100        89.52
SET       7.200        89.74
SET       7.300        89.92
SET       7.400        90.05
SET       7.500        90.18
SET       7.600        90.31
SET       7.700        90.42
SET       7.800        90.50
SET       7.900        90.58
SET       8.000        90.64
SET       8.100        90.70
SET       8.200        90.74
SET       8.300        90.80
SET       8.400        90.84
SET       8.500        90.86
SET       8.600        90.88
SET       8.700        90.91
SET       8.800        90.93
SET       8.900        90.95
SET       9.000        90.96
SET       9.100        90.97
SET       9.200        90.97
SET       9.300        90.98
SET       9.400        90.98
SET       9.500        90.98
SET       9.600        90.98
SET       9.800        90.98
SET       9.900        90.98
SET      10.000        91.01
SET      11.000        91.02
SET      12.000        91.03
SET      13.000        91.04
SET      14.000        91.04
SET      15.000        91.06
SET      16.000        91.06
SET      17.000        91.07
SET      18.000        91.07
SET      19.000        91.08
SET      20.000        91.08
SET      21.000        91.09
SET      22.000        91.09
SET      23.000        91.10
SET      24.000        91.10
SET      41.000        91.11
SET      48.000        91.15
SET      49.000        91.22
SET      50.000        91.32
SET      51.000        91.47
SET      52.000        92.02
SET      53.000        93.22
SET      54.000        94.44
SET      55.000        95.27
SET      56.000        96.07
SET      57.000        97.37
SET      58.000        98.54
SET      59.000        99.33
SET      60.000        99.64
SET      61.000        99.79
SET      62.000        99.91
SET      63.000        99.99
SET      64.000        99.99
SET      65.000       100.00
SET      66.000       100.00
SET      67.000       100.00
---
