4         Threads
20        Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         2068.66          ---          ---      3.78400       198.42 
Gets        20663.82     18411.57      2252.25      3.48500      1864.21 
Waits           0.00          ---          ---      0.00000          --- 
Totals      22732.48     18411.57      2252.25      3.51200      2062.63 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.810         0.00
SET       0.820         0.00
SET       0.890         0.00
SET       0.950         0.01
SET       1.200         0.01
SET       1.400         0.01
SET       1.500         0.01
SET       1.700         0.02
SET       1.800         0.02
SET       1.900         0.03
SET       2.000         0.05
SET       2.100         0.09
SET       2.200         0.21
SET       2.300         0.49
SET       2.400         1.11
SET       2.500         2.44
SET       2.600         4.65
SET       2.700         7.94
SET       2.800        12.26
SET       2.900        17.32
SET       3.000        23.27
SET       3.100        29.09
SET       3.200        35.02
SET       3.300        40.63
SET       3.400        45.80
SET       3.500        50.60
SET       3.600        55.06
SET       3.700        59.26
SET       3.800        63.09
SET       3.900        66.52
SET       4.000        69.98
SET       4.100        73.18
SET       4.200        76.13
SET       4.300        78.75
SET       4.400        81.03
SET       4.500        83.16
SET       4.600        85.17
SET       4.700        86.85
SET       4.800        88.40
SET       4.900        89.69
SET       5.000        90.84
SET       5.100        91.90
SET       5.200        92.87
SET       5.300        93.71
SET       5.400        94.49
SET       5.500        95.19
SET       5.600        95.74
SET       5.700        96.22
SET       5.800        96.62
SET       5.900        97.01
SET       6.000        97.30
SET       6.100        97.58
SET       6.200        97.82
SET       6.300        98.04
SET       6.400        98.24
SET       6.500        98.41
SET       6.600        98.58
SET       6.700        98.73
SET       6.800        98.85
SET       6.900        98.96
SET       7.000        99.05
SET       7.100        99.15
SET       7.200        99.25
SET       7.300        99.32
SET       7.400        99.36
SET       7.500        99.40
SET       7.600        99.45
SET       7.700        99.48
SET       7.800        99.53
SET       7.900        99.56
SET       8.000        99.60
SET       8.100        99.63
SET       8.200        99.65
SET       8.300        99.66
SET       8.400        99.68
SET       8.500        99.68
SET       8.600        99.69
SET       8.700        99.69
SET       8.800        99.70
SET       8.900        99.70
SET       9.000        99.72
SET       9.100        99.72
SET       9.200        99.73
SET       9.300        99.74
SET       9.400        99.74
SET       9.600        99.74
SET       9.800        99.75
SET       9.900        99.75
SET      10.000        99.77
SET      11.000        99.78
SET      12.000        99.78
SET      13.000        99.79
SET      14.000        99.79
SET      15.000        99.80
SET      16.000        99.81
SET      17.000        99.82
SET      18.000        99.84
SET      19.000        99.86
SET      20.000        99.88
SET      21.000        99.89
SET      22.000        99.89
SET      25.000        99.90
SET      26.000        99.95
SET      27.000        99.98
SET      28.000       100.00
---
GET       0.210         0.00
GET       0.220         0.00
GET       0.230         0.00
GET       0.240         0.00
GET       0.250         0.00
GET       0.280         0.00
GET       0.310         0.00
GET       0.320         0.00
GET       0.330         0.00
GET       0.350         0.00
GET       0.360         0.00
GET       0.390         0.00
GET       0.400         0.00
GET       0.410         0.00
GET       0.440         0.00
GET       0.450         0.00
GET       0.490         0.00
GET       0.510         0.00
GET       0.530         0.00
GET       0.570         0.00
GET       0.580         0.00
GET       0.590         0.00
GET       0.600         0.00
GET       0.620         0.00
GET       0.630         0.00
GET       0.650         0.00
GET       0.660         0.00
GET       0.670         0.00
GET       0.680         0.00
GET       0.720         0.01
GET       0.730         0.01
GET       0.750         0.01
GET       0.770         0.01
GET       0.780         0.01
GET       0.800         0.01
GET       0.850         0.01
GET       0.860         0.01
GET       0.870         0.01
GET       0.890         0.01
GET       0.900         0.01
GET       0.910         0.01
GET       0.920         0.01
GET       0.940         0.01
GET       0.950         0.01
GET       0.960         0.01
GET       0.970         0.01
GET       0.980         0.01
GET       0.990         0.01
GET       1.000         0.01
GET       1.100         0.02
GET       1.200         0.02
GET       1.300         0.04
GET       1.400         0.07
GET       1.500         0.12
GET       1.600         0.22
GET       1.700         0.37
GET       1.800         0.58
GET       1.900         0.92
GET       2.000         1.48
GET       2.100         2.37
GET       2.200         3.78
GET       2.300         5.90
GET       2.400         8.83
GET       2.500        12.61
GET       2.600        17.08
GET       2.700        22.09
GET       2.800        27.38
GET       2.900        32.67
GET       3.000        37.94
GET       3.100        43.02
GET       3.200        47.87
GET       3.300        52.46
GET       3.400        56.81
GET       3.500        60.85
GET       3.600        64.63
GET       3.700        68.20
GET       3.800        71.50
GET       3.900        74.60
GET       4.000        77.46
GET       4.100        80.04
GET       4.200        82.36
GET       4.300        84.42
GET       4.400        86.27
GET       4.500        87.88
GET       4.600        89.36
GET       4.700        90.65
GET       4.800        91.78
GET       4.900        92.78
GET       5.000        93.62
GET       5.100        94.36
GET       5.200        95.02
GET       5.300        95.62
GET       5.400        96.15
GET       5.500        96.61
GET       5.600        97.01
GET       5.700        97.37
GET       5.800        97.67
GET       5.900        97.95
GET       6.000        98.18
GET       6.100        98.38
GET       6.200        98.56
GET       6.300        98.72
GET       6.400        98.85
GET       6.500        98.97
GET       6.600        99.07
GET       6.700        99.16
GET       6.800        99.25
GET       6.900        99.32
GET       7.000        99.39
GET       7.100        99.46
GET       7.200        99.51
GET       7.300        99.57
GET       7.400        99.61
GET       7.500        99.65
GET       7.600        99.68
GET       7.700        99.71
GET       7.800        99.73
GET       7.900        99.75
GET       8.000        99.77
GET       8.100        99.79
GET       8.200        99.80
GET       8.300        99.81
GET       8.400        99.82
GET       8.500        99.83
GET       8.600        99.84
GET       8.700        99.85
GET       8.800        99.85
GET       8.900        99.86
GET       9.000        99.86
GET       9.100        99.87
GET       9.200        99.87
GET       9.300        99.87
GET       9.400        99.87
GET       9.500        99.88
GET       9.600        99.88
GET       9.700        99.88
GET       9.800        99.88
GET       9.900        99.89
GET      10.000        99.89
GET      11.000        99.91
GET      12.000        99.91
GET      13.000        99.92
GET      14.000        99.93
GET      15.000        99.93
GET      16.000        99.95
GET      17.000        99.96
GET      18.000        99.97
GET      19.000        99.99
GET      20.000       100.00
GET      21.000       100.00
GET      22.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1670.26          ---          ---      4.67700       159.85 
Gets        16684.28     16684.28         0.00      4.32000      1564.15 
Waits           0.00          ---          ---      0.00000          --- 
Totals      18354.55     16684.28         0.00      4.35300      1724.00 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.690         0.00
SET       0.740         0.00
SET       0.990         0.00
SET       1.100         0.01
SET       1.200         0.01
SET       1.300         0.01
SET       1.400         0.02
SET       1.600         0.02
SET       1.700         0.02
SET       1.800         0.03
SET       1.900         0.04
SET       2.000         0.05
SET       2.100         0.08
SET       2.200         0.21
SET       2.300         0.56
SET       2.400         1.25
SET       2.500         2.67
SET       2.600         5.07
SET       2.700         8.66
SET       2.800        13.45
SET       2.900        19.06
SET       3.000        25.36
SET       3.100        32.05
SET       3.200        38.73
SET       3.300        44.87
SET       3.400        50.40
SET       3.500        55.56
SET       3.600        60.09
SET       3.700        64.14
SET       3.800        67.81
SET       3.900        71.11
SET       4.000        73.84
SET       4.100        76.37
SET       4.200        78.56
SET       4.300        80.52
SET       4.400        82.11
SET       4.500        83.45
SET       4.600        84.63
SET       4.700        85.65
SET       4.800        86.51
SET       4.900        87.26
SET       5.000        87.86
SET       5.100        88.40
SET       5.200        88.86
SET       5.300        89.23
SET       5.400        89.57
SET       5.500        89.86
SET       5.600        90.10
SET       5.700        90.38
SET       5.800        90.61
SET       5.900        90.80
SET       6.000        91.04
SET       6.100        91.27
SET       6.200        91.47
SET       6.300        91.64
SET       6.400        91.82
SET       6.500        91.99
SET       6.600        92.15
SET       6.700        92.32
SET       6.800        92.47
SET       6.900        92.64
SET       7.000        92.82
SET       7.100        92.96
SET       7.200        93.12
SET       7.300        93.27
SET       7.400        93.44
SET       7.500        93.57
SET       7.600        93.70
SET       7.700        93.84
SET       7.800        93.95
SET       7.900        94.09
SET       8.000        94.23
SET       8.100        94.39
SET       8.200        94.53
SET       8.300        94.65
SET       8.400        94.76
SET       8.500        94.85
SET       8.600        94.94
SET       8.700        95.03
SET       8.800        95.10
SET       8.900        95.16
SET       9.000        95.21
SET       9.100        95.28
SET       9.200        95.35
SET       9.300        95.43
SET       9.400        95.48
SET       9.500        95.53
SET       9.600        95.59
SET       9.700        95.66
SET       9.800        95.71
SET       9.900        95.75
SET      10.000        96.03
SET      11.000        96.60
SET      12.000        96.96
SET      13.000        97.26
SET      14.000        97.60
SET      15.000        97.81
SET      16.000        97.99
SET      17.000        98.10
SET      18.000        98.16
SET      19.000        98.22
SET      20.000        98.33
SET      21.000        98.50
SET      22.000        98.62
SET      23.000        98.67
SET      24.000        98.73
SET      25.000        98.78
SET      26.000        98.83
SET      27.000        98.84
SET      28.000        98.88
SET      29.000        98.89
SET      30.000        98.90
SET      31.000        98.91
SET      32.000        98.94
SET      33.000        98.95
SET      34.000        98.96
SET      36.000        98.98
SET      37.000        99.00
SET      38.000        99.02
