4         Threads
20        Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         2118.14          ---          ---      3.65400       202.71 
Gets        21158.17     21158.17         0.00      3.40100      1983.58 
Waits           0.00          ---          ---      0.00000          --- 
Totals      23276.31     21158.17         0.00      3.42400      2186.29 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.910         0.00
SET       0.990         0.00
SET       1.200         0.00
SET       1.300         0.01
SET       1.400         0.01
SET       1.500         0.02
SET       1.600         0.02
SET       1.700         0.02
SET       1.800         0.03
SET       1.900         0.04
SET       2.000         0.05
SET       2.100         0.09
SET       2.200         0.22
SET       2.300         0.57
SET       2.400         1.31
SET       2.500         2.68
SET       2.600         5.01
SET       2.700         8.34
SET       2.800        12.81
SET       2.900        18.44
SET       3.000        24.98
SET       3.100        31.73
SET       3.200        38.34
SET       3.300        44.48
SET       3.400        50.36
SET       3.500        55.91
SET       3.600        60.68
SET       3.700        64.93
SET       3.800        68.61
SET       3.900        72.09
SET       4.000        75.27
SET       4.100        78.15
SET       4.200        80.60
SET       4.300        82.89
SET       4.400        84.98
SET       4.500        86.86
SET       4.600        88.44
SET       4.700        89.77
SET       4.800        90.94
SET       4.900        92.02
SET       5.000        92.98
SET       5.100        93.79
SET       5.200        94.51
SET       5.300        95.17
SET       5.400        95.78
SET       5.500        96.26
SET       5.600        96.71
SET       5.700        97.10
SET       5.800        97.45
SET       5.900        97.72
SET       6.000        97.96
SET       6.100        98.18
SET       6.200        98.37
SET       6.300        98.55
SET       6.400        98.70
SET       6.500        98.81
SET       6.600        98.94
SET       6.700        99.04
SET       6.800        99.14
SET       6.900        99.24
SET       7.000        99.32
SET       7.100        99.38
SET       7.200        99.46
SET       7.300        99.54
SET       7.400        99.59
SET       7.500        99.64
SET       7.600        99.66
SET       7.700        99.69
SET       7.800        99.70
SET       7.900        99.73
SET       8.000        99.75
SET       8.100        99.78
SET       8.200        99.80
SET       8.300        99.81
SET       8.400        99.82
SET       8.500        99.84
SET       8.600        99.85
SET       8.700        99.85
SET       8.800        99.87
SET       8.900        99.88
SET       9.000        99.89
SET       9.100        99.90
SET       9.200        99.91
SET       9.300        99.92
SET       9.400        99.92
SET       9.600        99.92
SET       9.700        99.92
SET       9.800        99.92
SET      10.000        99.94
SET      11.000        99.95
SET      14.000        99.96
