4         Threads
20        Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         2075.37          ---          ---      3.76700       198.62 
Gets        20730.92     20730.92         0.00      3.50600      1943.52 
Waits           0.00          ---          ---      0.00000          --- 
Totals      22806.29     20730.92         0.00      3.53000      2142.14 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.860         0.00
SET       1.000         0.00
SET       1.100         0.01
SET       1.400         0.01
SET       1.500         0.01
SET       1.600         0.02
SET       1.700         0.02
SET       1.900         0.03
SET       2.000         0.05
SET       2.100         0.09
SET       2.200         0.23
SET       2.300         0.62
SET       2.400         1.32
SET       2.500         2.65
SET       2.600         4.98
SET       2.700         8.31
SET       2.800        12.52
SET       2.900        17.60
SET       3.000        23.20
SET       3.100        29.07
SET       3.200        34.94
SET       3.300        40.66
SET       3.400        45.90
SET       3.500        50.72
SET       3.600        54.99
SET       3.700        59.14
SET       3.800        63.06
SET       3.900        66.62
SET       4.000        69.91
SET       4.100        73.00
SET       4.200        75.78
SET       4.300        78.39
SET       4.400        80.77
SET       4.500        82.90
SET       4.600        84.82
SET       4.700        86.50
SET       4.800        88.07
SET       4.900        89.35
SET       5.000        90.52
SET       5.100        91.55
SET       5.200        92.43
SET       5.300        93.27
SET       5.400        94.04
SET       5.500        94.71
SET       5.600        95.26
SET       5.700        95.79
SET       5.800        96.26
SET       5.900        96.64
SET       6.000        96.99
SET       6.100        97.31
SET       6.200        97.58
SET       6.300        97.85
SET       6.400        98.07
SET       6.500        98.26
SET       6.600        98.45
SET       6.700        98.62
SET       6.800        98.77
SET       6.900        98.91
SET       7.000        99.02
SET       7.100        99.13
SET       7.200        99.21
SET       7.300        99.30
SET       7.400        99.37
SET       7.500        99.43
SET       7.600        99.49
SET       7.700        99.54
SET       7.800        99.58
SET       7.900        99.62
SET       8.000        99.65
SET       8.100        99.68
SET       8.200        99.70
SET       8.300        99.73
SET       8.400        99.75
SET       8.500        99.77
SET       8.600        99.78
SET       8.700        99.79
SET       8.800        99.81
SET       8.900        99.82
SET       9.000        99.83
SET       9.100        99.84
SET       9.200        99.84
SET       9.300        99.85
SET       9.400        99.86
SET       9.500        99.87
SET       9.600        99.88
SET       9.700        99.88
SET       9.800        99.88
SET       9.900        99.89
SET      10.000        99.91
SET      11.000        99.92
SET      12.000        99.93
SET      14.000        99.93
SET      15.000        99.94
SET      16.000        99.96
SET      17.000        99.97
SET      19.000        99.98
SET      20.000        99.98
SET      21.000       100.00
SET      22.000       100.00
---
GET       0.200         0.00
GET       0.210         0.00
GET       0.220         0.00
GET       0.230         0.00
GET       0.270         0.00
GET       0.320         0.00
GET       0.330         0.00
GET       0.340         0.00
GET       0.380         0.00
GET       0.420         0.00
GET       0.430         0.00
GET       0.450         0.00
GET       0.500         0.00
GET       0.540         0.00
GET       0.550         0.00
GET       0.600         0.00
GET       0.630         0.00
GET       0.640         0.00
GET       0.670         0.00
GET       0.680         0.00
GET       0.690         0.00
GET       0.730         0.00
GET       0.740         0.00
GET       0.750         0.00
GET       0.760         0.01
GET       0.780         0.01
GET       0.790         0.01
GET       0.800         0.01
GET       0.850         0.01
GET       0.860         0.01
GET       0.870         0.01
GET       0.900         0.01
GET       0.910         0.01
GET       0.930         0.01
GET       0.950         0.01
GET       0.960         0.01
GET       0.980         0.01
GET       0.990         0.01
GET       1.000         0.01
GET       1.100         0.01
GET       1.200         0.02
GET       1.300         0.04
GET       1.400         0.08
GET       1.500         0.15
GET       1.600         0.25
GET       1.700         0.38
GET       1.800         0.59
GET       1.900         0.94
GET       2.000         1.50
GET       2.100         2.40
GET       2.200         3.84
GET       2.300         6.02
GET       2.400         8.97
GET       2.500        12.81
GET       2.600        17.35
GET       2.700        22.30
GET       2.800        27.55
GET       2.900        32.75
GET       3.000        37.94
GET       3.100        42.97
GET       3.200        47.71
GET       3.300        52.23
GET       3.400        56.45
GET       3.500        60.40
GET       3.600        64.14
GET       3.700        67.59
GET       3.800        70.82
GET       3.900        73.82
GET       4.000        76.61
GET       4.100        79.13
GET       4.200        81.41
GET       4.300        83.47
GET       4.400        85.35
GET       4.500        87.00
GET       4.600        88.46
GET       4.700        89.76
GET       4.800        90.91
GET       4.900        91.96
GET       5.000        92.87
GET       5.100        93.68
GET       5.200        94.38
GET       5.300        95.00
GET       5.400        95.58
GET       5.500        96.09
GET       5.600        96.53
GET       5.700        96.91
GET       5.800        97.25
GET       5.900        97.55
GET       6.000        97.81
GET       6.100        98.04
GET       6.200        98.25
GET       6.300        98.42
GET       6.400        98.57
GET       6.500        98.71
GET       6.600        98.84
GET       6.700        98.95
GET       6.800        99.06
GET       6.900        99.15
GET       7.000        99.22
GET       7.100        99.29
GET       7.200        99.35
GET       7.300        99.41
GET       7.400        99.46
GET       7.500        99.51
GET       7.600        99.55
GET       7.700        99.59
GET       7.800        99.62
GET       7.900        99.65
GET       8.000        99.68
GET       8.100        99.70
GET       8.200        99.72
GET       8.300        99.74
GET       8.400        99.75
GET       8.500        99.77
GET       8.600        99.78
GET       8.700        99.79
GET       8.800        99.81
GET       8.900        99.82
GET       9.000        99.83
GET       9.100        99.84
GET       9.200        99.85
GET       9.300        99.85
GET       9.400        99.86
GET       9.500        99.86
GET       9.600        99.87
GET       9.700        99.88
GET       9.800        99.88
GET       9.900        99.89
GET      10.000        99.90
GET      11.000        99.92
GET      12.000        99.93
GET      13.000        99.93
GET      14.000        99.93
GET      15.000        99.95
GET      16.000        99.96
GET      17.000        99.97
GET      18.000        99.97
GET      19.000        99.98
GET      20.000        99.99
GET      21.000       100.00
GET      22.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1826.26          ---          ---      4.29100       175.17 
Gets        18242.55     16255.14      1987.41      3.94500      1645.80 
Waits           0.00          ---          ---      0.00000          --- 
Totals      20068.81     16255.14      1987.41      3.97600      1820.97 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.100         0.00
SET       1.200         0.00
SET       1.300         0.01
SET       1.400         0.01
SET       1.500         0.02
SET       1.600         0.02
SET       1.700         0.02
SET       1.800         0.03
SET       1.900         0.03
SET       2.000         0.04
SET       2.100         0.08
SET       2.200         0.18
SET       2.300         0.42
SET       2.400         1.08
SET       2.500         2.31
SET       2.600         4.47
SET       2.700         7.58
SET       2.800        11.79
SET       2.900        16.89
SET       3.000        22.59
SET       3.100        28.56
SET       3.200        34.53
SET       3.300        40.19
SET       3.400        45.53
SET       3.500        50.52
SET       3.600        54.91
SET       3.700        58.79
SET       3.800        62.25
SET       3.900        65.44
SET       4.000        68.31
SET       4.100        70.88
SET       4.200        73.24
SET       4.300        75.29
SET       4.400        77.26
