4         Threads
20        Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          871.72          ---          ---      8.91100        83.43 
Gets         8707.63      8707.63         0.00      8.28800       816.34 
Waits           0.00          ---          ---      0.00000          --- 
Totals       9579.36      8707.63         0.00      8.34500       899.77 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.810         0.00
SET       0.950         0.00
SET       1.000         0.00
SET       1.200         0.01
SET       1.300         0.01
SET       1.500         0.01
SET       1.600         0.02
SET       1.700         0.02
SET       1.800         0.02
SET       1.900         0.02
SET       2.000         0.03
SET       2.100         0.03
SET       2.200         0.03
SET       2.300         0.04
SET       2.400         0.07
SET       2.500         0.12
SET       2.600         0.27
SET       2.700         0.59
SET       2.800         1.21
SET       2.900         2.21
SET       3.000         3.76
SET       3.100         6.00
SET       3.200         9.18
SET       3.300        13.19
SET       3.400        18.16
SET       3.500        23.85
SET       3.600        29.99
SET       3.700        36.03
SET       3.800        41.48
SET       3.900        46.44
SET       4.000        51.04
SET       4.100        54.91
SET       4.200        58.13
SET       4.300        60.94
SET       4.400        63.48
SET       4.500        65.63
SET       4.600        67.55
SET       4.700        69.30
SET       4.800        70.78
SET       4.900        72.30
SET       5.000        73.66
SET       5.100        75.00
SET       5.200        76.22
SET       5.300        77.30
SET       5.400        78.46
SET       5.500        79.44
SET       5.600        80.41
SET       5.700        81.38
SET       5.800        82.30
SET       5.900        83.21
SET       6.000        84.03
SET       6.100        84.78
SET       6.200        85.55
SET       6.300        86.17
SET       6.400        86.75
SET       6.500        87.25
SET       6.600        87.76
SET       6.700        88.12
SET       6.800        88.45
SET       6.900        88.76
SET       7.000        89.03
SET       7.100        89.25
SET       7.200        89.53
SET       7.300        89.75
SET       7.400        89.96
SET       7.500        90.12
SET       7.600        90.23
SET       7.700        90.34
SET       7.800        90.42
SET       7.900        90.48
SET       8.000        90.55
SET       8.100        90.60
SET       8.200        90.65
SET       8.300        90.69
SET       8.400        90.73
SET       8.500        90.77
SET       8.600        90.80
SET       8.700        90.81
SET       8.800        90.83
SET       8.900        90.85
SET       9.000        90.87
SET       9.100        90.88
SET       9.200        90.89
SET       9.300        90.90
SET       9.400        90.91
SET       9.500        90.93
SET       9.600        90.94
SET       9.700        90.95
SET       9.800        90.95
SET      10.000        90.96
SET      11.000        90.97
SET      15.000        90.97
SET      16.000        90.98
SET      17.000        91.00
SET      18.000        91.00
SET      19.000        91.01
SET      20.000        91.01
SET      21.000        91.03
SET      22.000        91.03
SET      39.000        91.04
SET      45.000        91.06
SET      46.000        91.06
SET      47.000        91.08
SET      48.000        91.11
SET      49.000        91.16
SET      50.000        91.22
SET      51.000        91.31
SET      52.000        91.77
SET      53.000        92.67
SET      54.000        93.80
SET      55.000        94.65
SET      56.000        95.50
SET      57.000        96.83
SET      58.000        98.22
SET      59.000        99.00
SET      60.000        99.48
SET      61.000        99.72
SET      62.000        99.88
SET      63.000        99.96
SET      64.000        99.99
SET      65.000        99.99
SET      66.000        99.99
SET      67.000       100.00
SET      69.000       100.00
---
GET       0.150         0.00
GET       0.160         0.00
GET       0.170         0.00
GET       0.180         0.00
GET       0.240         0.00
GET       0.250         0.00
GET       0.280         0.00
GET       0.300         0.00
GET       0.320         0.00
GET       0.350         0.00
GET       0.400         0.00
GET       0.420         0.00
GET       0.550         0.00
GET       0.570         0.00
GET       0.600         0.00
GET       0.680         0.00
GET       0.690         0.00
GET       0.700         0.00
GET       0.710         0.00
GET       0.740         0.00
GET       0.750         0.00
GET       0.770         0.00
GET       0.780         0.00
GET       0.790         0.00
GET       0.800         0.00
GET       0.820         0.00
GET       0.830         0.00
GET       0.840         0.01
GET       0.850         0.01
GET       0.860         0.01
GET       0.870         0.01
GET       0.880         0.01
GET       0.890         0.01
GET       0.910         0.01
GET       0.940         0.01
GET       1.000         0.01
GET       1.100         0.01
GET       1.200         0.01
GET       1.300         0.02
GET       1.400         0.05
GET       1.500         0.11
GET       1.600         0.21
GET       1.700         0.34
GET       1.800         0.48
GET       1.900         0.62
GET       2.000         0.78
GET       2.100         0.96
GET       2.200         1.18
GET       2.300         1.46
GET       2.400         1.87
GET       2.500         2.48
GET       2.600         3.43
GET       2.700         4.82
GET       2.800         6.95
GET       2.900         9.85
GET       3.000        13.64
GET       3.100        18.20
GET       3.200        23.21
GET       3.300        28.45
GET       3.400        33.59
GET       3.500        38.52
GET       3.600        43.18
GET       3.700        47.44
GET       3.800        51.26
GET       3.900        54.73
GET       4.000        57.88
GET       4.100        60.67
GET       4.200        63.21
GET       4.300        65.53
GET       4.400        67.65
GET       4.500        69.55
GET       4.600        71.37
GET       4.700        73.08
GET       4.800        74.67
GET       4.900        76.19
GET       5.000        77.60
GET       5.100        78.92
GET       5.200        80.11
GET       5.300        81.20
GET       5.400        82.20
GET       5.500        83.08
GET       5.600        83.91
GET       5.700        84.65
GET       5.800        85.33
GET       5.900        85.95
GET       6.000        86.52
GET       6.100        87.05
GET       6.200        87.53
GET       6.300        87.96
GET       6.400        88.35
GET       6.500        88.71
GET       6.600        89.02
GET       6.700        89.31
GET       6.800        89.59
GET       6.900        89.82
GET       7.000        90.04
GET       7.100        90.24
GET       7.200        90.40
GET       7.300        90.55
GET       7.400        90.68
GET       7.500        90.80
GET       7.600        90.90
GET       7.700        91.00
GET       7.800        91.08
GET       7.900        91.15
GET       8.000        91.22
GET       8.100        91.28
GET       8.200        91.32
GET       8.300        91.37
GET       8.400        91.41
GET       8.500        91.44
GET       8.600        91.47
GET       8.700        91.50
GET       8.800        91.52
GET       8.900        91.54
GET       9.000        91.56
GET       9.100        91.58
GET       9.200        91.59
GET       9.300        91.60
GET       9.400        91.61
GET       9.500        91.62
GET       9.600        91.63
GET       9.700        91.63
GET       9.800        91.63
GET       9.900        91.64
GET      10.000        91.64
GET      11.000        91.65
GET      14.000        91.65
GET      15.000        91.66
GET      16.000        91.66
GET      17.000        91.68
GET      18.000        91.69
GET      19.000        91.70
GET      20.000        91.70
GET      21.000        91.71
GET      22.000        91.71
GET      23.000        91.71
GET      29.000        91.71
GET      30.000        91.72
GET      31.000        91.72
GET      33.000        91.72
GET      38.000        91.72
GET      39.000        91.73
GET      41.000        91.73
GET      44.000        91.73
GET      45.000        91.74
GET      46.000        91.74
GET      47.000        91.76
GET      48.000        91.82
GET      49.000        91.90
GET      50.000        92.00
GET      51.000        92.17
GET      52.000        92.84
GET      53.000        93.80
GET      54.000        94.66
GET      55.000        95.31
GET      56.000        96.27
GET      57.000        97.47
GET      58.000        98.54
GET      59.000        99.16
GET      60.000        99.57
GET      61.000        99.78
GET      62.000        99.90
GET      63.000        99.96
GET      64.000        99.99
GET      65.000        99.99
GET      66.000        99.99
GET      67.000       100.00
GET      68.000       100.00
GET      69.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          843.82          ---          ---      9.24000        80.93 
Gets         8428.98      7512.49       916.49      8.56500       760.50 
Waits           0.00          ---          ---      0.00000          --- 
Totals       9272.80      7512.49       916.49      8.62600       841.44 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.300         0.00
SET       1.900         0.00
SET       2.100         0.00
SET       2.200         0.01
SET       2.300         0.01
SET       2.400         0.03
SET       2.500         0.10
SET       2.600         0.27
SET       2.700         0.56
SET       2.800         1.22
SET       2.900         2.26
SET       3.000         4.03
SET       3.100         6.68
SET       3.200        10.28
SET       3.300        14.63
SET       3.400        19.53
SET       3.500        24.81
SET       3.600        30.23
SET       3.700        35.27
SET       3.800        39.94
SET       3.900        44.25
SET       4.000        48.14
SET       4.100        51.40
SET       4.200        54.30
SET       4.300        56.94
SET       4.400        59.23
SET       4.500        61.21
SET       4.600        63.17
SET       4.700        64.82
SET       4.800        66.31
SET       4.900        67.71
SET       5.000        69.01
SET       5.100        70.31
SET       5.200        71.47
SET       5.300        72.59
SET       5.400        73.66
SET       5.500        74.66
SET       5.600        75.65
SET       5.700        76.57
SET       5.800        77.47
SET       5.900        78.36
SET       6.000        79.14
SET       6.100        79.96
SET       6.200        80.65
SET       6.300        81.25
SET       6.400        81.81
SET       6.500        82.30
SET       6.600        82.81
SET       6.700        83.26
SET       6.800        83.71
SET       6.900        84.10
SET       7.000        84.45
SET       7.100        84.83
SET       7.200        85.20
SET       7.300        85.54
SET       7.400        85.81
SET       7.500        86.04
SET       7.600        86.26
SET       7.700        86.47
SET       7.800        86.65
SET       7.900        86.80
SET       8.000        86.96
SET       8.100        87.14
SET       8.200        87.28
SET       8.300        87.41
SET       8.400        87.50
SET       8.500        87.59
SET       8.600        87.67
SET       8.700        87.74
SET       8.800        87.80
SET       8.900        87.85
SET       9.000        87.92
SET       9.100        88.00
SET       9.200        88.06
SET       9.300        88.11
SET       9.400        88.14
SET       9.500        88.19
SET       9.600        88.23
SET       9.700        88.28
SET       9.800        88.31
SET       9.900        88.36
SET      10.000        88.67
