4         Threads
20        Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          387.16          ---          ---     19.76000        37.13 
Gets         3867.33      3446.22       421.10     18.71900       348.91 
Waits           0.00          ---          ---      0.00000          --- 
Totals       4254.49      3446.22       421.10     18.81300       386.04 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.100         0.01
SET       1.200         0.01
SET       1.300         0.01
SET       1.400         0.02
SET       1.500         0.02
SET       1.600         0.03
SET       1.700         0.03
SET       1.800         0.03
SET       1.900         0.04
SET       2.000         0.04
SET       2.100         0.05
SET       2.200         0.06
SET       2.300         0.06
SET       2.400         0.08
SET       2.500         0.11
SET       2.600         0.19
SET       2.700         0.38
SET       2.800         0.73
SET       2.900         1.29
SET       3.000         2.26
SET       3.100         3.56
SET       3.200         5.36
SET       3.300         7.78
SET       3.400        10.84
SET       3.500        14.26
SET       3.600        17.97
SET       3.700        21.55
SET       3.800        24.98
SET       3.900        28.13
SET       4.000        31.06
SET       4.100        33.82
SET       4.200        36.45
SET       4.300        38.83
SET       4.400        40.95
SET       4.500        42.87
SET       4.600        44.64
SET       4.700        46.41
SET       4.800        48.12
SET       4.900        49.84
SET       5.000        51.44
SET       5.100        53.14
SET       5.200        54.76
SET       5.300        56.42
SET       5.400        58.01
SET       5.500        59.55
SET       5.600        60.99
SET       5.700        62.38
SET       5.800        63.76
SET       5.900        65.18
SET       6.000        66.48
SET       6.100        67.70
SET       6.200        68.89
SET       6.300        69.98
SET       6.400        71.03
SET       6.500        72.01
SET       6.600        72.90
SET       6.700        73.68
SET       6.800        74.45
SET       6.900        75.17
SET       7.000        75.82
SET       7.100        76.33
SET       7.200        76.81
SET       7.300        77.21
SET       7.400        77.59
SET       7.500        77.94
SET       7.600        78.26
SET       7.700        78.58
SET       7.800        78.81
SET       7.900        79.02
SET       8.000        79.21
SET       8.100        79.39
SET       8.200        79.52
SET       8.300        79.63
SET       8.400        79.71
SET       8.500        79.80
SET       8.600        79.85
SET       8.700        79.91
SET       8.800        79.96
SET       8.900        79.99
SET       9.000        80.03
SET       9.100        80.08
SET       9.200        80.11
SET       9.300        80.14
SET       9.400        80.16
SET       9.500        80.18
SET       9.600        80.20
SET       9.700        80.21
SET       9.800        80.22
SET       9.900        80.23
SET      10.000        80.26
SET      11.000        80.26
SET      12.000        80.27
SET      13.000        80.27
SET      14.000        80.29
SET      15.000        80.30
SET      16.000        80.32
SET      18.000        80.33
SET      20.000        80.33
SET      25.000        80.33
SET      26.000        80.39
SET      27.000        80.44
SET      28.000        80.44
SET      40.000        80.44
SET      41.000        80.45
SET      67.000        80.45
SET      69.000        80.45
SET      71.000        80.45
SET      72.000        80.46
SET      73.000        80.47
SET      74.000        80.49
SET      75.000        80.51
SET      76.000        81.11
SET      77.000        82.74
SET      78.000        84.38
SET      79.000        86.03
SET      80.000        87.78
SET      81.000        90.47
SET      82.000        93.06
SET      83.000        95.31
SET      84.000        96.65
SET      85.000        97.91
SET      86.000        98.93
SET      87.000        99.72
SET      88.000        99.93
SET      89.000        99.99
SET      90.000       100.00
