4         Threads
20        Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets          319.61          ---          ---     23.98900        30.59 
Gets         3192.61      3192.61         0.00     22.62700       299.31 
Waits           0.00          ---          ---      0.00000          --- 
Totals       3512.22      3192.61         0.00     22.75100       329.89 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000         0.00
SET       1.500         0.00
SET       1.600         0.01
SET       1.700         0.01
SET       1.800         0.01
SET       1.900         0.01
SET       2.000         0.02
SET       2.100         0.02
SET       2.200         0.02
SET       2.300         0.04
SET       2.400         0.05
SET       2.500         0.08
SET       2.600         0.13
SET       2.700         0.25
SET       2.800         0.50
SET       2.900         0.94
SET       3.000         1.61
SET       3.100         2.65
SET       3.200         4.07
SET       3.300         6.03
SET       3.400         8.35
SET       3.500        10.96
SET       3.600        13.87
SET       3.700        16.77
SET       3.800        19.56
SET       3.900        22.12
SET       4.000        24.56
SET       4.100        26.80
SET       4.200        28.95
SET       4.300        30.98
SET       4.400        32.86
SET       4.500        34.79
SET       4.600        36.58
SET       4.700        38.34
SET       4.800        40.25
SET       4.900        42.26
SET       5.000        44.29
SET       5.100        46.45
SET       5.200        48.48
SET       5.300        50.42
SET       5.400        52.30
SET       5.500        54.18
SET       5.600        56.00
SET       5.700        57.77
SET       5.800        59.52
SET       5.900        61.10
SET       6.000        62.49
SET       6.100        63.89
SET       6.200        65.07
SET       6.300        66.26
SET       6.400        67.34
SET       6.500        68.33
SET       6.600        69.22
SET       6.700        70.04
SET       6.800        70.81
SET       6.900        71.54
SET       7.000        72.22
SET       7.100        72.73
SET       7.200        73.19
SET       7.300        73.56
SET       7.400        73.92
SET       7.500        74.21
SET       7.600        74.47
SET       7.700        74.71
SET       7.800        74.90
SET       7.900        75.08
SET       8.000        75.23
SET       8.100        75.36
SET       8.200        75.48
SET       8.300        75.56
SET       8.400        75.63
SET       8.500        75.67
SET       8.600        75.72
SET       8.700        75.75
SET       8.800        75.79
SET       8.900        75.81
SET       9.000        75.83
SET       9.100        75.85
SET       9.200        75.86
SET       9.300        75.87
SET       9.400        75.88
SET       9.500        75.89
SET       9.600        75.89
SET       9.700        75.89
SET       9.800        75.90
SET       9.900        75.90
SET      10.000        75.92
SET      11.000        75.95
SET      12.000        75.97
SET      13.000        75.97
SET      14.000        75.98
SET      16.000        75.98
SET      22.000        75.99
SET      29.000        75.99
SET      30.000        76.00
SET      31.000        76.03
SET      32.000        76.07
SET      33.000        76.10
SET      75.000        76.11
SET      76.000        76.11
SET      77.000        76.16
SET      78.000        76.25
SET      79.000        76.34
SET      80.000        76.91
SET      81.000        78.71
SET      82.000        81.02
SET      83.000        82.91
SET      84.000        85.06
SET      85.000        90.05
SET      86.000        94.57
SET      87.000        97.88
SET      88.000        99.23
SET      89.000        99.64
SET      90.000        99.83
SET      91.000        99.93
SET      92.000        99.98
SET      93.000        99.99
SET      94.000        99.99
SET      98.000        99.99
SET      99.000       100.00
---
GET       0.340         0.00
GET       0.390         0.00
GET       0.420         0.00
GET       0.440         0.00
GET       0.450         0.00
GET       0.460         0.00
GET       0.480         0.00
GET       0.490         0.00
GET       0.520         0.00
GET       0.540         0.00
GET       0.550         0.00
GET       0.560         0.00
GET       0.580         0.00
GET       0.590         0.00
GET       0.610         0.00
GET       0.630         0.00
GET       0.640         0.00
GET       0.650         0.00
GET       0.730         0.00
GET       0.750         0.00
GET       0.800         0.00
GET       0.830         0.00
GET       0.860         0.00
GET       0.890         0.00
GET       0.920         0.00
GET       0.950         0.00
GET       1.000         0.01
