4         Threads
20        Connections per thread
10000     Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         2190.05          ---          ---      3.56900       210.06 
Gets        21876.47     19505.92      2370.55      3.28000      1974.06 
Waits           0.00          ---          ---      0.00000          --- 
Totals      24066.53     19505.92      2370.55      3.30600      2184.12 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.300         0.00
SET       1.400         0.00
SET       1.500         0.00
SET       1.600         0.01
SET       1.700         0.01
SET       1.800         0.02
SET       1.900         0.02
SET       2.000         0.06
SET       2.100         0.20
SET       2.200         0.76
SET       2.300         1.95
SET       2.400         3.94
SET       2.500         7.22
SET       2.600        11.80
SET       2.700        17.40
SET       2.800        23.83
SET       2.900        30.31
SET       3.000        36.40
SET       3.100        41.98
SET       3.200        47.20
SET       3.300        51.89
SET       3.400        56.41
SET       3.500        60.44
SET       3.600        64.24
SET       3.700        67.78
SET       3.800        71.08
SET       3.900        74.24
SET       4.000        77.07
SET       4.100        79.66
SET       4.200        82.10
SET       4.300        84.27
SET       4.400        86.17
SET       4.500        87.72
SET       4.600        89.10
SET       4.700        90.30
SET       4.800        91.45
SET       4.900        92.42
SET       5.000        93.23
SET       5.100        93.99
SET       5.200        94.65
SET       5.300        95.24
SET       5.400        95.79
SET       5.500        96.27
SET       5.600        96.69
SET       5.700        97.05
SET       5.800        97.34
SET       5.900        97.62
SET       6.000        97.87
SET       6.100        98.09
SET       6.200        98.29
SET       6.300        98.45
SET       6.400        98.63
SET       6.500        98.75
SET       6.600        98.87
SET       6.700        98.98
SET       6.800        99.07
SET       6.900        99.18
SET       7.000        99.25
SET       7.100        99.33
SET       7.200        99.40
SET       7.300        99.46
SET       7.400        99.51
SET       7.500        99.56
SET       7.600        99.59
SET       7.700        99.63
SET       7.800        99.65
SET       7.900        99.66
SET       8.000        99.68
SET       8.100        99.69
SET       8.200        99.70
SET       8.300        99.71
SET       8.400        99.72
SET       8.500        99.73
SET       8.600        99.74
SET       8.700        99.74
SET       8.800        99.75
SET       8.900        99.75
SET       9.000        99.76
SET       9.100        99.76
SET       9.200        99.77
SET       9.600        99.77
SET       9.700        99.78
SET       9.800        99.78
SET       9.900        99.78
SET      10.000        99.79
SET      11.000        99.80
SET      12.000        99.81
SET      13.000        99.82
SET      14.000        99.83
SET      16.000        99.84
SET      17.000        99.85
SET      18.000        99.86
SET      19.000        99.88
SET      20.000        99.89
SET      33.000        99.91
SET      34.000        99.95
SET      35.000        99.97
SET      36.000        99.99
SET      37.000       100.00
---
GET       0.290         0.00
GET       0.300         0.00
GET       0.310         0.00
GET       0.330         0.00
GET       0.340         0.00
GET       0.350         0.00
GET       0.360         0.00
GET       0.370         0.00
GET       0.380         0.00
GET       0.400         0.00
GET       0.410         0.00
GET       0.430         0.00
GET       0.440         0.00
GET       0.450         0.00
GET       0.460         0.00
GET       0.470         0.00
GET       0.480         0.00
GET       0.490         0.00
GET       0.500         0.00
GET       0.510         0.00
GET       0.520         0.01
GET       0.530         0.01
GET       0.540         0.01
GET       0.550         0.01
GET       0.560         0.01
GET       0.570         0.01
GET       0.580         0.01
GET       0.600         0.01
GET       0.610         0.01
GET       0.620         0.01
GET       0.630         0.01
GET       0.690         0.01
GET       0.720         0.01
GET       0.770         0.01
GET       0.810         0.01
GET       0.840         0.01
GET       0.870         0.01
GET       0.910         0.01
GET       0.920         0.01
GET       0.940         0.01
GET       0.960         0.01
GET       0.970         0.01
