4         Threads
20        Connections per thread
10000     Requests per client


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets            0.00          ---          ---      0.00000         0.00 
Gets            0.00         0.00         0.00      0.00000         0.00 
Waits           0.00          ---          ---      0.00000          --- 
Totals          0.00         0.00         0.00      0.00000         0.00 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.400          inf
SET       2.700          inf
SET       2.800          inf
SET       2.900          inf
SET       3.000          inf
SET       3.100          inf
SET       3.200          inf
SET       3.300          inf
SET       3.400          inf
SET       3.500          inf
SET       3.600          inf
SET       3.700          inf
SET       3.800          inf
SET       3.900          inf
SET       4.000          inf
SET       4.100          inf
SET       4.200          inf
SET       4.300          inf
SET       4.400          inf
SET       4.500          inf
SET       4.600          inf
SET       4.700          inf
SET       4.800          inf
SET       4.900          inf
SET       5.000          inf
SET       5.100          inf
SET       5.200          inf
SET       5.300          inf
SET       5.400          inf
SET       5.500          inf
SET       5.600          inf
SET       5.700          inf
SET       5.800          inf
SET       5.900          inf
SET       6.000          inf
SET       6.100          inf
SET       6.200          inf
SET       6.300          inf
SET       6.500          inf
SET       6.600          inf
SET      34.000          inf
SET      35.000          inf
SET      36.000          inf
SET      37.000          inf
SET      38.000          inf
---
GET       0.930          inf
GET       1.200          inf
GET       1.300          inf
GET       1.400          inf
GET       1.500          inf
GET       1.600          inf
GET       1.700          inf
GET       1.800          inf
GET       1.900          inf
GET       2.000          inf
GET       2.100          inf
GET       2.200          inf
GET       2.300          inf
GET       2.400          inf
GET       2.500          inf
GET       2.600          inf
GET       2.700          inf
GET       2.800          inf
GET       2.900          inf
GET       3.000          inf
GET       3.100          inf
GET       3.200          inf
GET       3.300          inf
GET       3.400          inf
GET       3.500          inf
GET       3.600          inf
GET       3.700          inf
GET       3.800          inf
GET       3.900          inf
GET       4.000          inf
GET       4.100          inf
GET       4.200          inf
GET       4.300          inf
GET       4.400          inf
GET       4.500          inf
GET       4.600          inf
GET       4.700          inf
GET       4.800          inf
GET       4.900          inf
GET       5.000          inf
GET       5.100          inf
GET       5.200          inf
GET       5.300          inf
GET       5.400          inf
GET       5.500          inf
GET       5.600          inf
GET       5.700          inf
GET       5.800          inf
GET       5.900          inf
GET       6.000          inf
GET       6.100          inf
GET       6.200          inf
GET       6.300          inf
GET       6.400          inf
GET       6.500          inf
GET       6.600          inf
GET       6.700          inf
GET       6.800          inf
GET       6.900          inf
GET       7.000          inf
GET       7.700          inf
GET       7.800          inf
GET       7.900          inf
---
