4         Threads
20        Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         2058.63          ---          ---      3.77200       197.02 
Gets        20563.72     20563.72         0.00      3.50400      1927.85 
Waits           0.00          ---          ---      0.00000          --- 
Totals      22622.35     20563.72         0.00      3.52800      2124.87 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.200         0.00
SET       1.300         0.01
SET       1.400         0.01
SET       1.500         0.01
SET       1.600         0.01
SET       1.700         0.02
SET       1.800         0.02
SET       1.900         0.05
SET       2.000         0.08
SET       2.100         0.22
SET       2.200         0.43
SET       2.300         0.99
SET       2.400         2.10
SET       2.500         3.91
SET       2.600         6.57
SET       2.700        10.21
SET       2.800        14.70
SET       2.900        19.78
SET       3.000        25.33
SET       3.100        30.84
SET       3.200        36.23
SET       3.300        41.37
SET       3.400        46.41
SET       3.500        50.89
SET       3.600        55.02
SET       3.700        59.04
SET       3.800        62.82
SET       3.900        66.25
SET       4.000        69.40
SET       4.100        72.47
SET       4.200        75.11
SET       4.300        77.53
SET       4.400        79.74
SET       4.500        81.74
SET       4.600        83.53
SET       4.700        85.06
SET       4.800        86.45
SET       4.900        87.81
SET       5.000        89.00
SET       5.100        90.12
SET       5.200        91.19
SET       5.300        92.17
SET       5.400        93.01
SET       5.500        93.79
SET       5.600        94.49
SET       5.700        95.08
SET       5.800        95.63
SET       5.900        96.09
SET       6.000        96.53
SET       6.100        96.92
SET       6.200        97.32
SET       6.300        97.67
SET       6.400        97.97
SET       6.500        98.23
SET       6.600        98.44
SET       6.700        98.63
SET       6.800        98.81
SET       6.900        98.95
SET       7.000        99.07
SET       7.100        99.18
SET       7.200        99.25
SET       7.300        99.33
SET       7.400        99.39
SET       7.500        99.44
SET       7.600        99.48
SET       7.700        99.54
SET       7.800        99.59
SET       7.900        99.62
SET       8.000        99.66
SET       8.100        99.69
SET       8.200        99.73
SET       8.300        99.74
SET       8.400        99.77
SET       8.500        99.79
SET       8.600        99.80
SET       8.700        99.81
SET       8.800        99.83
SET       8.900        99.84
SET       9.000        99.85
SET       9.100        99.86
SET       9.200        99.87
SET       9.300        99.87
SET       9.400        99.88
SET       9.500        99.88
SET       9.600        99.88
SET       9.700        99.88
SET       9.800        99.88
SET       9.900        99.89
SET      10.000        99.91
SET      11.000        99.93
SET      13.000        99.93
SET      14.000        99.94
SET      15.000        99.94
SET      16.000        99.95
SET      17.000        99.97
SET      18.000        99.98
SET      19.000        99.98
SET      20.000        99.98
SET      21.000        99.99
SET      22.000       100.00
---
GET       0.170         0.00
GET       0.200         0.00
GET       0.210         0.00
GET       0.270         0.00
GET       0.280         0.00
GET       0.290         0.00
GET       0.300         0.00
GET       0.380         0.00
GET       0.390         0.00
GET       0.420         0.00
GET       0.470         0.00
GET       0.480         0.00
GET       0.520         0.00
GET       0.620         0.00
GET       0.660         0.00
GET       0.690         0.00
GET       0.730         0.00
GET       0.810         0.00
GET       0.830         0.00
GET       0.840         0.00
GET       0.860         0.00
GET       0.890         0.00
GET       0.910         0.00
GET       0.920         0.00
GET       0.940         0.01
GET       0.950         0.01
GET       0.970         0.01
GET       0.980         0.01
GET       0.990         0.01
GET       1.000         0.01
GET       1.100         0.01
GET       1.200         0.02
GET       1.300         0.04
GET       1.400         0.08
GET       1.500         0.16
GET       1.600         0.27
GET       1.700         0.46
GET       1.800         0.73
GET       1.900         1.16
GET       2.000         1.85
GET       2.100         2.96
GET       2.200         4.70
GET       2.300         7.26
GET       2.400        10.52
GET       2.500        14.52
GET       2.600        19.04
GET       2.700        23.94
GET       2.800        29.04
GET       2.900        34.02
GET       3.000        39.02
GET       3.100        43.77
GET       3.200        48.35
GET       3.300        52.68
GET       3.400        56.79
GET       3.500        60.64
GET       3.600        64.27
GET       3.700        67.65
GET       3.800        70.73
GET       3.900        73.56
GET       4.000        76.15
GET       4.100        78.53
GET       4.200        80.74
GET       4.300        82.72
GET       4.400        84.49
GET       4.500        86.03
GET       4.600        87.43
GET       4.700        88.69
GET       4.800        89.85
GET       4.900        90.92
GET       5.000        91.87
GET       5.100        92.75
GET       5.200        93.56
GET       5.300        94.27
GET       5.400        94.93
GET       5.500        95.50
GET       5.600        96.03
GET       5.700        96.49
GET       5.800        96.90
GET       5.900        97.26
GET       6.000        97.59
GET       6.100        97.87
GET       6.200        98.14
GET       6.300        98.37
GET       6.400        98.57
GET       6.500        98.73
GET       6.600        98.88
GET       6.700        99.01
GET       6.800        99.12
GET       6.900        99.21
GET       7.000        99.29
GET       7.100        99.36
GET       7.200        99.42
GET       7.300        99.47
GET       7.400        99.52
GET       7.500        99.57
GET       7.600        99.61
GET       7.700        99.64
GET       7.800        99.67
GET       7.900        99.70
GET       8.000        99.72
GET       8.100        99.75
GET       8.200        99.77
GET       8.300        99.78
GET       8.400        99.80
GET       8.500        99.81
GET       8.600        99.82
GET       8.700        99.83
GET       8.800        99.84
GET       8.900        99.85
GET       9.000        99.86
GET       9.100        99.86
GET       9.200        99.87
GET       9.300        99.87
GET       9.400        99.87
GET       9.500        99.88
GET       9.600        99.88
GET       9.700        99.88
GET       9.800        99.89
GET       9.900        99.89
GET      10.000        99.91
GET      11.000        99.92
GET      12.000        99.92
GET      13.000        99.93
GET      14.000        99.93
GET      15.000        99.94
GET      16.000        99.96
GET      17.000        99.97
GET      18.000        99.98
GET      19.000        99.99
GET      20.000        99.99
GET      21.000       100.00
GET      22.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1831.71          ---          ---      4.27700       175.69 
Gets        18296.94     16309.24      1987.70      3.93300      1650.89 
Waits           0.00          ---          ---      0.00000          --- 
Totals      20128.65     16309.24      1987.70      3.96500      1826.58 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.100         0.00
SET       1.200         0.01
SET       1.300         0.01
SET       1.400         0.02
SET       1.500         0.02
SET       1.600         0.02
SET       1.700         0.03
SET       1.800         0.03
SET       1.900         0.05
SET       2.000         0.08
SET       2.100         0.14
SET       2.200         0.35
SET       2.300         0.84
SET       2.400         1.75
SET       2.500         3.37
SET       2.600         5.91
SET       2.700         9.31
SET       2.800        13.45
SET       2.900        18.21
SET       3.000        23.38
SET       3.100        28.85
SET       3.200        34.14
SET       3.300        39.22
SET       3.400        43.86
SET       3.500        48.23
SET       3.600        52.27
SET       3.700        55.92
SET       3.800        59.22
SET       3.900        62.25
SET       4.000        65.08
SET       4.100        67.89
SET       4.200        70.39
SET       4.300        72.62
SET       4.400        74.63
SET       4.500        76.38
SET       4.600        77.99
SET       4.700        79.43
SET       4.800        80.75
SET       4.900        81.93
SET       5.000        82.90
SET       5.100        83.84
SET       5.200        84.75
SET       5.300        85.53
SET       5.400        86.28
SET       5.500        86.91
SET       5.600        87.50
SET       5.700        88.03
SET       5.800        88.53
SET       5.900        89.02
SET       6.000        89.46
SET       6.100        89.85
SET       6.200        90.21
SET       6.300        90.54
SET       6.400        90.80
SET       6.500        91.07
SET       6.600        91.35
SET       6.700        91.64
SET       6.800        91.88
SET       6.900        92.12
SET       7.000        92.34
SET       7.100        92.55
SET       7.200        92.79
SET       7.300        93.01
SET       7.400        93.24
SET       7.500        93.46
SET       7.600        93.65
SET       7.700        93.84
SET       7.800        94.03
SET       7.900        94.21
SET       8.000        94.37
SET       8.100        94.51
SET       8.200        94.65
SET       8.300        94.79
SET       8.400        94.92
SET       8.500        95.03
SET       8.600        95.15
SET       8.700        95.25
SET       8.800        95.36
SET       8.900        95.47
SET       9.000        95.57
SET       9.100        95.66
SET       9.200        95.75
SET       9.300        95.84
SET       9.400        95.91
SET       9.500        95.98
SET       9.600        96.05
SET       9.700        96.10
SET       9.800        96.17
SET       9.900        96.24
SET      10.000        96.60
SET      11.000        97.49
SET      12.000        98.34
SET      13.000        98.83
SET      14.000        99.18
SET      15.000        99.36
SET      16.000        99.59
SET      17.000        99.66
SET      18.000        99.72
SET      19.000        99.74
SET      20.000        99.79
SET      21.000        99.83
SET      22.000        99.85
SET      23.000        99.85
SET      24.000        99.87
SET      25.000        99.87
SET      28.000        99.88
SET      29.000        99.88
SET      35.000        99.89
SET      38.000        99.91
SET      39.000        99.95
SET      40.000        99.98
SET      41.000       100.00
---
GET       0.250         0.00
GET       0.260         0.00
GET       0.300         0.00
GET       0.310         0.00
GET       0.330         0.00
GET       0.350         0.00
GET       0.360         0.00
GET       0.370         0.00
GET       0.390         0.00
GET       0.400         0.00
GET       0.410         0.00
GET       0.420         0.00
GET       0.430         0.00
GET       0.450         0.00
GET       0.470         0.00
GET       0.500         0.00
GET       0.510         0.00
GET       0.530         0.00
GET       0.540         0.00
GET       0.670         0.00
GET       0.680         0.00
GET       0.700         0.00
GET       0.730         0.01
GET       0.740         0.01
GET       0.780         0.01
GET       0.890         0.01
GET       0.920         0.01
GET       0.950         0.01
GET       0.980         0.01
GET       0.990         0.01
GET       1.000         0.01
GET       1.100         0.01
GET       1.200         0.02
GET       1.300         0.04
GET       1.400         0.07
GET       1.500         0.14
GET       1.600         0.24
GET       1.700         0.39
GET       1.800         0.62
GET       1.900         1.00
GET       2.000         1.63
GET       2.100         2.64
GET       2.200         4.24
GET       2.300         6.62
GET       2.400         9.70
GET       2.500        13.50
GET       2.600        17.86
GET       2.700        22.55
GET       2.800        27.44
GET       2.900        32.20
GET       3.000        36.93
GET       3.100        41.57
GET       3.200        45.98
GET       3.300        50.13
GET       3.400        53.99
GET       3.500        57.58
GET       3.600        60.93
GET       3.700        64.00
GET       3.800        66.83
GET       3.900        69.39
GET       4.000        71.74
GET       4.100        73.86
GET       4.200        75.74
GET       4.300        77.42
GET       4.400        78.97
GET       4.500        80.35
GET       4.600        81.59
GET       4.700        82.72
GET       4.800        83.74
GET       4.900        84.68
GET       5.000        85.54
GET       5.100        86.30
GET       5.200        87.00
