4         Threads
20        Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         2054.90          ---          ---      3.76900       196.66 
Gets        20526.42     20526.42         0.00      3.51100      1924.35 
Waits           0.00          ---          ---      0.00000          --- 
Totals      22581.32     20526.42         0.00      3.53500      2121.01 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.680         0.00
SET       0.790         0.00
SET       0.820         0.00
SET       0.930         0.01
SET       1.200         0.01
SET       1.300         0.01
SET       1.400         0.02
SET       1.500         0.02
SET       1.600         0.02
SET       1.700         0.03
SET       1.800         0.03
SET       1.900         0.04
SET       2.000         0.05
SET       2.100         0.11
SET       2.200         0.30
SET       2.300         0.73
SET       2.400         1.57
SET       2.500         2.98
SET       2.600         5.26
SET       2.700         8.58
SET       2.800        12.82
SET       2.900        17.69
SET       3.000        23.16
SET       3.100        28.95
SET       3.200        34.81
SET       3.300        40.34
SET       3.400        45.60
SET       3.500        50.48
SET       3.600        55.15
SET       3.700        59.31
SET       3.800        63.16
SET       3.900        66.72
SET       4.000        69.88
SET       4.100        72.81
SET       4.200        75.47
SET       4.300        78.14
SET       4.400        80.42
SET       4.500        82.51
SET       4.600        84.39
SET       4.700        86.05
SET       4.800        87.51
SET       4.900        88.92
SET       5.000        90.12
SET       5.100        91.23
SET       5.200        92.30
SET       5.300        93.25
SET       5.400        94.04
SET       5.500        94.69
SET       5.600        95.27
SET       5.700        95.80
SET       5.800        96.27
SET       5.900        96.69
SET       6.000        97.05
SET       6.100        97.38
SET       6.200        97.68
SET       6.300        97.93
SET       6.400        98.16
SET       6.500        98.36
SET       6.600        98.53
SET       6.700        98.69
SET       6.800        98.81
SET       6.900        98.92
SET       7.000        99.03
SET       7.100        99.13
SET       7.200        99.24
SET       7.300        99.34
SET       7.400        99.41
SET       7.500        99.48
SET       7.600        99.52
SET       7.700        99.57
SET       7.800        99.62
SET       7.900        99.66
SET       8.000        99.69
SET       8.100        99.72
SET       8.200        99.75
SET       8.300        99.77
SET       8.400        99.79
SET       8.500        99.80
SET       8.600        99.81
SET       8.700        99.83
SET       8.800        99.84
SET       8.900        99.84
SET       9.000        99.85
SET       9.100        99.85
SET       9.200        99.86
SET       9.300        99.86
SET       9.400        99.87
SET       9.500        99.88
SET       9.600        99.88
SET       9.700        99.89
SET       9.800        99.89
SET       9.900        99.89
SET      10.000        99.91
SET      11.000        99.92
SET      12.000        99.93
SET      13.000        99.93
SET      15.000        99.93
SET      16.000        99.95
SET      17.000        99.96
SET      18.000        99.97
SET      19.000        99.97
SET      20.000        99.99
SET      21.000       100.00
SET      22.000       100.00
---
GET       0.180         0.00
GET       0.190         0.00
GET       0.230         0.00
GET       0.240         0.00
GET       0.250         0.00
GET       0.260         0.00
GET       0.270         0.00
GET       0.280         0.00
GET       0.290         0.00
GET       0.310         0.00
GET       0.330         0.00
GET       0.340         0.00
GET       0.450         0.00
GET       0.470         0.00
GET       0.490         0.00
GET       0.510         0.00
GET       0.530         0.00
GET       0.540         0.01
GET       0.570         0.01
GET       0.580         0.01
GET       0.590         0.01
GET       0.610         0.01
GET       0.620         0.01
GET       0.630         0.01
GET       0.650         0.01
GET       0.660         0.01
GET       0.670         0.01
GET       0.680         0.01
GET       0.690         0.01
GET       0.700         0.01
GET       0.720         0.01
GET       0.730         0.01
GET       0.740         0.01
GET       0.750         0.01
GET       0.760         0.01
GET       0.770         0.01
GET       0.790         0.01
GET       0.800         0.01
GET       0.810         0.01
GET       0.850         0.01
GET       0.930         0.01
GET       0.940         0.01
GET       0.960         0.01
GET       0.970         0.01
GET       1.000         0.01
GET       1.100         0.01
GET       1.200         0.02
GET       1.300         0.03
GET       1.400         0.07
GET       1.500         0.13
GET       1.600         0.23
GET       1.700         0.38
GET       1.800         0.59
GET       1.900         0.93
GET       2.000         1.45
GET       2.100         2.34
GET       2.200         3.74
GET       2.300         5.91
GET       2.400         8.82
GET       2.500        12.53
GET       2.600        16.89
GET       2.700        21.76
GET       2.800        26.98
GET       2.900        32.16
GET       3.000        37.34
GET       3.100        42.38
GET       3.200        47.24
GET       3.300        51.85
GET       3.400        56.18
GET       3.500        60.27
GET       3.600        64.04
GET       3.700        67.52
GET       3.800        70.79
GET       3.900        73.80
GET       4.000        76.56
GET       4.100        79.08
GET       4.200        81.32
GET       4.300        83.36
GET       4.400        85.20
GET       4.500        86.82
GET       4.600        88.31
GET       4.700        89.64
GET       4.800        90.84
GET       4.900        91.90
GET       5.000        92.82
GET       5.100        93.66
GET       5.200        94.39
GET       5.300        95.01
GET       5.400        95.59
GET       5.500        96.08
GET       5.600        96.53
GET       5.700        96.94
GET       5.800        97.28
GET       5.900        97.59
GET       6.000        97.86
GET       6.100        98.10
GET       6.200        98.30
GET       6.300        98.48
GET       6.400        98.64
GET       6.500        98.79
GET       6.600        98.92
GET       6.700        99.04
GET       6.800        99.14
GET       6.900        99.24
GET       7.000        99.33
GET       7.100        99.40
GET       7.200        99.47
GET       7.300        99.53
GET       7.400        99.58
GET       7.500        99.62
GET       7.600        99.65
GET       7.700        99.68
GET       7.800        99.71
GET       7.900        99.73
GET       8.000        99.75
GET       8.100        99.77
GET       8.200        99.79
GET       8.300        99.80
GET       8.400        99.81
GET       8.500        99.82
GET       8.600        99.83
GET       8.700        99.84
GET       8.800        99.84
GET       8.900        99.85
GET       9.000        99.86
GET       9.100        99.86
GET       9.200        99.86
GET       9.300        99.87
GET       9.400        99.87
GET       9.500        99.87
GET       9.600        99.87
GET       9.700        99.88
GET       9.800        99.88
GET       9.900        99.88
GET      10.000        99.90
GET      11.000        99.91
GET      12.000        99.92
GET      13.000        99.92
GET      14.000        99.92
GET      15.000        99.94
GET      16.000        99.95
GET      17.000        99.97
GET      18.000        99.97
GET      19.000        99.98
GET      20.000        99.99
GET      21.000       100.00
GET      22.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1827.70          ---          ---      4.29600       175.30 
Gets        18256.90     16265.83      1991.06      3.94100      1647.03 
Waits           0.00          ---          ---      0.00000          --- 
Totals      20084.59     16265.83      1991.06      3.97300      1822.34 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.900         0.00
SET       0.950         0.00
SET       1.100         0.00
SET       1.200         0.01
SET       1.300         0.01
SET       1.400         0.01
SET       1.500         0.02
SET       1.600         0.02
SET       1.700         0.03
SET       1.800         0.03
SET       1.900         0.04
SET       2.000         0.07
SET       2.100         0.11
SET       2.200         0.26
SET       2.300         0.60
SET       2.400         1.42
SET       2.500         2.92
SET       2.600         5.40
SET       2.700         8.61
SET       2.800        12.56
SET       2.900        17.15
SET       3.000        22.32
SET       3.100        27.38
SET       3.200        32.43
SET       3.300        37.09
SET       3.400        41.57
SET       3.500        45.67
SET       3.600        49.69
SET       3.700        53.33
SET       3.800        56.90
SET       3.900        60.28
SET       4.000        63.39
SET       4.100        66.34
SET       4.200        68.99
SET       4.300        71.37
SET       4.400        73.58
SET       4.500        75.42
SET       4.600        77.23
SET       4.700        78.79
SET       4.800        80.30
SET       4.900        81.64
SET       5.000        82.77
SET       5.100        83.77
SET       5.200        84.75
SET       5.300        85.52
SET       5.400        86.26
SET       5.500        86.92
SET       5.600        87.49
SET       5.700        88.01
SET       5.800        88.49
SET       5.900        88.93
SET       6.000        89.34
SET       6.100        89.68
SET       6.200        90.05
