4         Threads
20        Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         2116.02          ---          ---      3.81200       202.96 
Gets        21136.97     18831.55      2305.42      3.50900      1906.85 
Waits           0.00          ---          ---      0.00000          --- 
Totals      23253.00     18831.55      2305.42      3.53600      2109.81 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.910         0.00
SET       0.960         0.00
SET       1.300         0.01
SET       1.400         0.01
SET       1.600         0.02
SET       1.800         0.03
SET       1.900         0.04
SET       2.000         0.06
SET       2.100         0.10
SET       2.200         0.21
SET       2.300         0.54
SET       2.400         1.31
SET       2.500         2.59
SET       2.600         4.77
SET       2.700         7.93
SET       2.800        11.95
SET       2.900        16.79
SET       3.000        22.31
SET       3.100        28.22
SET       3.200        34.13
SET       3.300        39.95
SET       3.400        45.40
SET       3.500        50.45
SET       3.600        54.86
SET       3.700        59.07
SET       3.800        62.98
SET       3.900        66.59
SET       4.000        69.89
SET       4.100        72.92
SET       4.200        75.68
SET       4.300        78.25
SET       4.400        80.66
SET       4.500        82.69
SET       4.600        84.49
SET       4.700        86.23
SET       4.800        87.68
SET       4.900        89.04
SET       5.000        90.21
SET       5.100        91.27
SET       5.200        92.22
SET       5.300        93.06
SET       5.400        93.77
SET       5.500        94.35
SET       5.600        94.93
SET       5.700        95.45
SET       5.800        96.00
SET       5.900        96.43
SET       6.000        96.82
SET       6.100        97.18
SET       6.200        97.48
SET       6.300        97.73
SET       6.400        97.98
SET       6.500        98.21
SET       6.600        98.38
SET       6.700        98.52
SET       6.800        98.64
SET       6.900        98.74
SET       7.000        98.85
SET       7.100        98.95
SET       7.200        99.04
SET       7.300        99.12
SET       7.400        99.20
SET       7.500        99.27
SET       7.600        99.33
SET       7.700        99.40
SET       7.800        99.45
SET       7.900        99.50
SET       8.000        99.53
SET       8.100        99.56
SET       8.200        99.58
SET       8.300        99.60
SET       8.400        99.63
SET       8.500        99.65
SET       8.600        99.66
SET       8.700        99.67
SET       8.800        99.68
SET       8.900        99.69
SET       9.000        99.69
SET       9.100        99.70
SET       9.200        99.71
SET       9.300        99.72
SET       9.400        99.73
SET       9.500        99.73
SET       9.600        99.74
SET       9.700        99.75
SET       9.800        99.75
SET       9.900        99.75
SET      10.000        99.76
SET      11.000        99.77
SET      12.000        99.77
SET      13.000        99.78
