4         Threads
20        Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         2048.73          ---          ---      3.78900       196.07 
Gets        20464.77     20464.77         0.00      3.52500      1918.57 
Waits           0.00          ---          ---      0.00000          --- 
Totals      22513.50     20464.77         0.00      3.54900      2114.64 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.930         0.00
SET       1.300         0.00
SET       1.400         0.01
SET       1.500         0.01
SET       1.600         0.02
SET       1.700         0.02
SET       1.800         0.03
SET       1.900         0.04
SET       2.000         0.06
SET       2.100         0.15
SET       2.200         0.33
SET       2.300         0.80
SET       2.400         1.62
SET       2.500         3.17
SET       2.600         5.54
SET       2.700         8.83
SET       2.800        12.90
SET       2.900        17.72
SET       3.000        22.90
SET       3.100        28.46
SET       3.200        34.08
SET       3.300        39.45
SET       3.400        44.71
SET       3.500        49.51
SET       3.600        53.94
SET       3.700        58.16
SET       3.800        62.06
SET       3.900        65.69
SET       4.000        68.95
SET       4.100        72.05
SET       4.200        74.89
SET       4.300        77.45
SET       4.400        79.96
SET       4.500        82.04
SET       4.600        83.96
SET       4.700        85.68
SET       4.800        87.18
SET       4.900        88.53
SET       5.000        89.68
SET       5.100        90.89
SET       5.200        91.90
SET       5.300        92.83
SET       5.400        93.73
SET       5.500        94.47
SET       5.600        95.09
SET       5.700        95.64
SET       5.800        96.08
SET       5.900        96.50
SET       6.000        96.85
SET       6.100        97.16
SET       6.200        97.47
SET       6.300        97.74
SET       6.400        97.99
SET       6.500        98.19
SET       6.600        98.38
SET       6.700        98.53
SET       6.800        98.66
SET       6.900        98.80
SET       7.000        98.93
SET       7.100        99.02
SET       7.200        99.10
SET       7.300        99.20
SET       7.400        99.27
SET       7.500        99.35
SET       7.600        99.40
SET       7.700        99.45
SET       7.800        99.49
SET       7.900        99.54
SET       8.000        99.57
SET       8.100        99.59
SET       8.200        99.62
SET       8.300        99.65
SET       8.400        99.67
SET       8.500        99.68
SET       8.600        99.69
SET       8.700        99.71
SET       8.800        99.73
SET       8.900        99.75
SET       9.000        99.77
SET       9.100        99.79
SET       9.200        99.80
SET       9.300        99.82
SET       9.400        99.84
SET       9.500        99.85
SET       9.600        99.86
