4         Threads
20        Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         2084.45          ---          ---      3.77100       199.93 
Gets        20821.62     18548.28      2273.34      3.46000      1878.32 
Waits           0.00          ---          ---      0.00000          --- 
Totals      22906.08     18548.28      2273.34      3.48800      2078.25 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.590         0.00
SET       0.790         0.00
SET       0.840         0.00
SET       1.000         0.01
SET       1.100         0.01
SET       1.300         0.01
SET       1.400         0.01
SET       1.500         0.02
SET       1.600         0.02
SET       1.700         0.03
SET       1.800         0.04
SET       1.900         0.06
SET       2.000         0.07
SET       2.100         0.12
SET       2.200         0.27
SET       2.300         0.61
SET       2.400         1.27
SET       2.500         2.47
SET       2.600         4.58
SET       2.700         7.73
SET       2.800        11.92
SET       2.900        16.86
SET       3.000        22.55
SET       3.100        28.58
SET       3.200        34.73
SET       3.300        40.56
SET       3.400        46.01
SET       3.500        51.21
SET       3.600        56.01
SET       3.700        60.42
SET       3.800        64.34
SET       3.900        68.03
SET       4.000        71.47
SET       4.100        74.65
SET       4.200        77.53
SET       4.300        80.07
SET       4.400        82.41
SET       4.500        84.58
SET       4.600        86.42
SET       4.700        88.04
SET       4.800        89.50
SET       4.900        90.86
SET       5.000        91.97
SET       5.100        93.02
SET       5.200        93.86
SET       5.300        94.56
SET       5.400        95.21
SET       5.500        95.79
SET       5.600        96.34
SET       5.700        96.78
SET       5.800        97.17
SET       5.900        97.51
SET       6.000        97.80
SET       6.100        98.04
SET       6.200        98.27
SET       6.300        98.46
SET       6.400        98.63
SET       6.500        98.76
SET       6.600        98.87
SET       6.700        98.99
SET       6.800        99.08
SET       6.900        99.18
SET       7.000        99.24
SET       7.100        99.32
SET       7.200        99.38
SET       7.300        99.45
SET       7.400        99.49
SET       7.500        99.54
SET       7.600        99.59
SET       7.700        99.62
SET       7.800        99.65
SET       7.900        99.66
SET       8.000        99.68
SET       8.100        99.71
SET       8.200        99.72
SET       8.300        99.73
SET       8.400        99.74
SET       8.500        99.74
SET       8.600        99.75
SET       8.700        99.75
SET       8.800        99.76
SET       8.900        99.77
SET       9.000        99.77
SET       9.100        99.78
SET       9.200        99.78
SET       9.300        99.78
SET       9.500        99.79
SET       9.600        99.79
SET       9.700        99.79
SET       9.800        99.79
SET       9.900        99.80
SET      10.000        99.80
SET      11.000        99.80
SET      12.000        99.82
SET      13.000        99.84
SET      14.000        99.86
SET      15.000        99.87
SET      16.000        99.87
SET      17.000        99.88
