4         Threads
20        Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         2079.84          ---          ---      3.73600       199.05 
Gets        20775.57     20775.57         0.00      3.47700      1947.71 
Waits           0.00          ---          ---      0.00000          --- 
Totals      22855.42     20775.57         0.00      3.50000      2146.76 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.720         0.00
SET       0.840         0.00
SET       0.870         0.00
SET       0.910         0.01
SET       1.200         0.01
SET       1.300         0.01
SET       1.400         0.02
SET       1.500         0.02
SET       1.600         0.02
SET       1.700         0.03
SET       1.800         0.04
SET       1.900         0.06
SET       2.000         0.11
SET       2.100         0.29
SET       2.200         0.67
SET       2.300         1.48
SET       2.400         2.87
SET       2.500         5.01
SET       2.600         8.07
SET       2.700        12.06
SET       2.800        16.96
SET       2.900        22.22
SET       3.000        27.55
SET       3.100        32.92
SET       3.200        37.99
SET       3.300        42.78
SET       3.400        47.34
SET       3.500        51.79
SET       3.600        55.90
SET       3.700        59.87
SET       3.800        63.52
SET       3.900        66.91
SET       4.000        70.16
SET       4.100        72.98
SET       4.200        75.53
SET       4.300        77.85
SET       4.400        80.04
SET       4.500        82.02
SET       4.600        83.90
SET       4.700        85.38
SET       4.800        86.90
SET       4.900        88.26
SET       5.000        89.44
SET       5.100        90.48
SET       5.200        91.48
SET       5.300        92.45
SET       5.400        93.32
SET       5.500        94.05
SET       5.600        94.72
SET       5.700        95.33
SET       5.800        95.93
SET       5.900        96.42
SET       6.000        96.88
SET       6.100        97.30
SET       6.200        97.66
SET       6.300        97.98
SET       6.400        98.25
SET       6.500        98.45
SET       6.600        98.67
SET       6.700        98.80
SET       6.800        98.93
SET       6.900        99.05
SET       7.000        99.16
SET       7.100        99.27
SET       7.200        99.35
SET       7.300        99.43
SET       7.400        99.49
SET       7.500        99.54
SET       7.600        99.59
SET       7.700        99.64
SET       7.800        99.68
SET       7.900        99.71
SET       8.000        99.74
SET       8.100        99.77
SET       8.200        99.78
SET       8.300        99.80
SET       8.400        99.81
SET       8.500        99.83
SET       8.600        99.85
SET       8.700        99.86
SET       8.800        99.88
SET       8.900        99.88
SET       9.000        99.90
SET       9.100        99.90
SET       9.200        99.90
SET       9.300        99.91
SET       9.400        99.91
SET       9.500        99.91
SET       9.600        99.91
SET       9.700        99.92
SET       9.800        99.92
SET       9.900        99.92
SET      10.000        99.93
SET      11.000        99.94
SET      12.000        99.95
SET      13.000        99.96
SET      14.000        99.96
SET      15.000        99.96
SET      16.000        99.97
SET      17.000        99.97
SET      18.000        99.98
SET      19.000        99.99
SET      20.000        99.99
SET      21.000       100.00
---
GET       0.200         0.00
GET       0.220         0.00
GET       0.230         0.00
GET       0.240         0.00
GET       0.250         0.00
GET       0.260         0.00
GET       0.280         0.00
GET       0.290         0.00
GET       0.320         0.00
GET       0.330         0.00
GET       0.340         0.00
GET       0.360         0.00
GET       0.420         0.00
GET       0.440         0.00
GET       0.460         0.00
GET       0.470         0.00
GET       0.480         0.00
GET       0.520         0.00
GET       0.550         0.01
GET       0.570         0.01
GET       0.580         0.01
GET       0.590         0.01
GET       0.600         0.01
GET       0.610         0.01
GET       0.630         0.01
GET       0.640         0.01
GET       0.660         0.01
GET       0.670         0.01
GET       0.680         0.01
GET       0.700         0.01
GET       0.710         0.01
GET       0.730         0.01
GET       0.750         0.01
GET       0.770         0.01
GET       0.780         0.01
GET       0.800         0.01
GET       0.810         0.01
GET       0.830         0.01
GET       0.840         0.01
GET       0.850         0.01
GET       0.860         0.01
GET       0.870         0.01
GET       0.920         0.01
GET       0.930         0.01
GET       0.940         0.01
GET       0.950         0.01
GET       0.970         0.01
GET       0.980         0.01
GET       0.990         0.01
GET       1.000         0.01
GET       1.100         0.02
GET       1.200         0.03
GET       1.300         0.05
GET       1.400         0.10
GET       1.500         0.18
GET       1.600         0.29
GET       1.700         0.48
GET       1.800         0.80
GET       1.900         1.33
GET       2.000         2.19
GET       2.100         3.52
GET       2.200         5.50
GET       2.300         8.29
GET       2.400        11.77
GET       2.500        15.93
GET       2.600        20.55
GET       2.700        25.45
GET       2.800        30.40
GET       2.900        35.24
GET       3.000        40.04
GET       3.100        44.65
GET       3.200        49.13
GET       3.300        53.34
GET       3.400        57.32
GET       3.500        61.12
GET       3.600        64.66
GET       3.700        68.00
GET       3.800        71.12
GET       3.900        74.00
GET       4.000        76.62
GET       4.100        78.99
GET       4.200        81.14
GET       4.300        83.11
GET       4.400        84.88
GET       4.500        86.44
GET       4.600        87.85
GET       4.700        89.10
GET       4.800        90.24
GET       4.900        91.29
GET       5.000        92.20
GET       5.100        93.08
GET       5.200        93.85
GET       5.300        94.56
GET       5.400        95.18
GET       5.500        95.76
GET       5.600        96.27
GET       5.700        96.71
GET       5.800        97.11
GET       5.900        97.48
GET       6.000        97.80
GET       6.100        98.07
GET       6.200        98.31
GET       6.300        98.53
GET       6.400        98.71
GET       6.500        98.86
GET       6.600        98.99
GET       6.700        99.10
GET       6.800        99.20
GET       6.900        99.29
GET       7.000        99.36
GET       7.100        99.43
GET       7.200        99.49
GET       7.300        99.53
GET       7.400        99.58
GET       7.500        99.62
GET       7.600        99.66
GET       7.700        99.69
GET       7.800        99.71
GET       7.900        99.74
GET       8.000        99.76
GET       8.100        99.78
GET       8.200        99.80
GET       8.300        99.82
GET       8.400        99.83
GET       8.500        99.84
GET       8.600        99.85
GET       8.700        99.86
GET       8.800        99.87
GET       8.900        99.88
GET       9.000        99.88
GET       9.100        99.88
GET       9.200        99.89
GET       9.300        99.89
GET       9.400        99.90
GET       9.500        99.90
GET       9.600        99.90
GET       9.700        99.90
GET       9.800        99.91
GET       9.900        99.91
GET      10.000        99.92
GET      11.000        99.93
GET      12.000        99.93
GET      13.000        99.94
GET      14.000        99.94
GET      15.000        99.95
GET      16.000        99.96
GET      17.000        99.97
GET      18.000        99.98
GET      19.000        99.99
GET      20.000        99.99
GET      21.000       100.00
GET      22.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1838.01          ---          ---      4.20900       175.90 
Gets        18359.95     18359.95         0.00      3.93500      1721.25 
Waits           0.00          ---          ---      0.00000          --- 
Totals      20197.96     18359.95         0.00      3.96000      1897.15 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.780         0.00
SET       1.000         0.00
SET       1.300         0.01
SET       1.400         0.01
SET       1.500         0.02
SET       1.600         0.02
SET       1.700         0.02
SET       1.800         0.02
SET       1.900         0.03
SET       2.000         0.04
SET       2.100         0.12
SET       2.200         0.33
SET       2.300         0.88
SET       2.400         2.00
SET       2.500         3.98
SET       2.600         6.82
SET       2.700        10.30
SET       2.800        14.68
SET       2.900        19.52
SET       3.000        24.59
SET       3.100        29.73
SET       3.200        34.68
SET       3.300        39.46
SET       3.400        44.04
SET       3.500        48.40
SET       3.600        52.55
SET       3.700        56.56
SET       3.800        60.20
SET       3.900        63.43
SET       4.000        66.45
SET       4.100        69.33
SET       4.200        71.87
SET       4.300        74.06
SET       4.400        76.24
SET       4.500        77.96
SET       4.600        79.42
SET       4.700        80.79
SET       4.800        82.03
SET       4.900        83.15
