4         Threads
25        Connections per thread
10        Seconds


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         2205.71          ---          ---      4.58300      2364.66 
Gets        22005.39         0.00     22005.39      4.07000      1433.25 
Waits           0.00          ---          ---      0.00000          --- 
Totals      24211.09         0.00     22005.39      4.11700      3797.90 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.00
SET       2.300         0.01
SET       2.400         0.04
SET       2.500         0.07
SET       2.600         0.14
SET       2.700         0.32
SET       2.800         0.69
SET       2.900         1.46
SET       3.000         2.81
SET       3.100         4.81
SET       3.200         7.52
SET       3.300        10.72
SET       3.400        14.42
SET       3.500        18.40
SET       3.600        23.19
SET       3.700        28.03
SET       3.800        32.98
SET       3.900        37.78
SET       4.000        42.67
SET       4.100        47.48
SET       4.200        52.16
SET       4.300        56.62
SET       4.400        60.97
SET       4.500        64.99
SET       4.600        68.36
SET       4.700        71.67
SET       4.800        74.43
SET       4.900        77.03
SET       5.000        79.31
SET       5.100        81.20
SET       5.200        82.92
SET       5.300        84.41
SET       5.400        85.79
SET       5.500        87.15
SET       5.600        88.28
SET       5.700        89.18
SET       5.800        90.14
SET       5.900        90.92
SET       6.000        91.66
SET       6.100        92.28
SET       6.200        92.91
SET       6.300        93.42
SET       6.400        93.84
SET       6.500        94.25
SET       6.600        94.71
SET       6.700        95.18
SET       6.800        95.56
SET       6.900        95.97
SET       7.000        96.32
SET       7.100        96.56
SET       7.200        96.75
SET       7.300        96.97
SET       7.400        97.24
SET       7.500        97.46
SET       7.600        97.66
SET       7.700        97.87
SET       7.800        98.01
SET       7.900        98.19
SET       8.000        98.39
SET       8.100        98.56
SET       8.200        98.64
SET       8.300        98.70
SET       8.400        98.75
SET       8.500        98.85
SET       8.600        98.89
SET       8.700        98.94
SET       8.800        98.98
SET       8.900        99.03
SET       9.000        99.10
SET       9.100        99.13
SET       9.200        99.16
SET       9.300        99.20
SET       9.400        99.21
SET       9.500        99.22
SET       9.600        99.25
SET       9.700        99.27
SET       9.800        99.27
SET       9.900        99.29
SET      10.000        99.35
SET      11.000        99.44
SET      12.000        99.46
SET      13.000        99.48
SET      14.000        99.51
SET      15.000        99.54
SET      16.000        99.55
SET      37.000        99.57
SET      38.000        99.72
SET      39.000        99.90
SET      40.000        99.98
SET      41.000       100.00
---
GET       1.100         0.00
GET       1.200         0.00
GET       1.300         0.01
GET       1.400         0.02
GET       1.500         0.03
GET       1.600         0.05
GET       1.700         0.08
GET       1.800         0.13
GET       1.900         0.20
GET       2.000         0.33
GET       2.100         0.51
GET       2.200         0.79
GET       2.300         1.25
GET       2.400         1.92
GET       2.500         2.96
GET       2.600         4.44
GET       2.700         6.39
GET       2.800         8.82
GET       2.900        11.65
GET       3.000        14.92
GET       3.100        18.51
GET       3.200        22.48
GET       3.300        26.66
GET       3.400        31.06
GET       3.500        35.59
GET       3.600        40.09
GET       3.700        44.55
GET       3.800        49.00
GET       3.900        53.51
GET       4.000        57.80
GET       4.100        61.83
GET       4.200        65.70
GET       4.300        69.20
GET       4.400        72.35
GET       4.500        75.13
GET       4.600        77.63
GET       4.700        79.91
GET       4.800        81.89
GET       4.900        83.64
GET       5.000        85.14
GET       5.100        86.52
GET       5.200        87.77
GET       5.300        88.90
GET       5.400        89.90
GET       5.500        90.79
GET       5.600        91.58
GET       5.700        92.29
GET       5.800        92.93
GET       5.900        93.52
GET       6.000        94.04
GET       6.100        94.52
GET       6.200        94.97
GET       6.300        95.38
GET       6.400        95.76
GET       6.500        96.14
GET       6.600        96.48
GET       6.700        96.80
GET       6.800        97.09
GET       6.900        97.35
GET       7.000        97.59
GET       7.100        97.80
GET       7.200        98.02
GET       7.300        98.20
GET       7.400        98.38
GET       7.500        98.54
GET       7.600        98.67
GET       7.700        98.81
GET       7.800        98.93
GET       7.900        99.02
GET       8.000        99.10
GET       8.100        99.18
GET       8.200        99.23
GET       8.300        99.29
GET       8.400        99.35
GET       8.500        99.39
GET       8.600        99.45
GET       8.700        99.49
GET       8.800        99.53
GET       8.900        99.57
GET       9.000        99.61
GET       9.100        99.64
GET       9.200        99.67
GET       9.300        99.69
GET       9.400        99.71
GET       9.500        99.73
GET       9.600        99.75
GET       9.700        99.76
GET       9.800        99.77
GET       9.900        99.79
GET      10.000        99.84
GET      11.000        99.90
GET      12.000        99.91
GET      13.000        99.95
GET      14.000        99.98
GET      15.000        99.99
GET      16.000       100.00
---
