4         Threads
20        Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         2093.10          ---          ---      3.73700       200.76 
Gets        20908.05     18635.05      2273.00      3.44300      1886.44 
Waits           0.00          ---          ---      0.00000          --- 
Totals      23001.15     18635.05      2273.00      3.47000      2087.20 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.720         0.00
SET       0.780         0.00
SET       0.790         0.00
SET       1.200         0.01
SET       1.300         0.01
SET       1.500         0.02
SET       1.600         0.02
SET       1.700         0.03
SET       1.800         0.04
SET       1.900         0.05
SET       2.000         0.06
SET       2.100         0.09
SET       2.200         0.26
SET       2.300         0.67
SET       2.400         1.44
SET       2.500         2.93
SET       2.600         5.26
SET       2.700         8.78
SET       2.800        13.30
SET       2.900        18.67
SET       3.000        24.85
SET       3.100        31.25
SET       3.200        37.39
SET       3.300        43.37
SET       3.400        48.70
SET       3.500        53.57
SET       3.600        58.13
SET       3.700        62.31
SET       3.800        66.11
SET       3.900        69.67
SET       4.000        72.99
SET       4.100        75.99
SET       4.200        78.65
SET       4.300        81.03
SET       4.400        83.19
SET       4.500        85.10
SET       4.600        86.80
SET       4.700        88.30
SET       4.800        89.61
SET       4.900        90.81
SET       5.000        91.86
SET       5.100        92.76
SET       5.200        93.51
SET       5.300        94.21
SET       5.400        94.76
SET       5.500        95.30
SET       5.600        95.82
SET       5.700        96.23
SET       5.800        96.65
SET       5.900        97.02
SET       6.000        97.31
SET       6.100        97.59
SET       6.200        97.85
SET       6.300        98.05
SET       6.400        98.27
SET       6.500        98.44
SET       6.600        98.60
SET       6.700        98.73
SET       6.800        98.87
SET       6.900        98.98
SET       7.000        99.08
SET       7.100        99.16
SET       7.200        99.24
SET       7.300        99.31
SET       7.400        99.37
SET       7.500        99.42
SET       7.600        99.47
SET       7.700        99.52
SET       7.800        99.55
SET       7.900        99.58
SET       8.000        99.60
SET       8.100        99.63
SET       8.200        99.66
SET       8.300        99.69
SET       8.400        99.71
SET       8.500        99.72
SET       8.600        99.74
SET       8.700        99.74
SET       8.800        99.75
SET       8.900        99.76
SET       9.000        99.78
SET       9.100        99.78
SET       9.200        99.79
SET       9.300        99.79
SET       9.400        99.79
SET       9.500        99.80
SET       9.600        99.80
SET       9.700        99.80
SET       9.800        99.80
SET       9.900        99.81
SET      10.000        99.83
SET      11.000        99.84
SET      12.000        99.84
SET      13.000        99.85
SET      15.000        99.86
SET      16.000        99.87
SET      17.000        99.88
SET      18.000        99.89
SET      19.000        99.89
SET      39.000        99.90
SET      40.000        99.95
SET      41.000        99.98
SET      42.000       100.00
---
GET       0.150         0.00
GET       0.240         0.00
GET       0.320         0.00
GET       0.430         0.00
GET       0.510         0.00
GET       0.530         0.00
GET       0.540         0.00
GET       0.560         0.00
GET       0.570         0.00
GET       0.580         0.00
GET       0.630         0.00
GET       0.640         0.00
GET       0.660         0.00
GET       0.670         0.00
GET       0.690         0.00
GET       0.720         0.00
GET       0.820         0.00
GET       0.880         0.00
GET       0.900         0.00
GET       0.910         0.00
GET       0.920         0.00
GET       0.930         0.01
GET       0.940         0.01
GET       0.970         0.01
GET       1.000         0.01
GET       1.100         0.01
GET       1.200         0.02
GET       1.300         0.03
GET       1.400         0.07
GET       1.500         0.12
GET       1.600         0.22
GET       1.700         0.36
GET       1.800         0.59
GET       1.900         0.95
GET       2.000         1.54
GET       2.100         2.48
GET       2.200         3.97
GET       2.300         6.24
GET       2.400         9.31
GET       2.500        13.33
GET       2.600        18.01
GET       2.700        23.22
GET       2.800        28.76
GET       2.900        34.28
GET       3.000        39.76
GET       3.100        44.98
GET       3.200        49.98
GET       3.300        54.70
GET       3.400        59.09
GET       3.500        63.19
GET       3.600        66.96
GET       3.700        70.48
GET       3.800        73.70
GET       3.900        76.61
GET       4.000        79.26
GET       4.100        81.66
GET       4.200        83.83
GET       4.300        85.73
GET       4.400        87.45
GET       4.500        88.89
GET       4.600        90.16
GET       4.700        91.28
GET       4.800        92.26
GET       4.900        93.14
GET       5.000        93.91
GET       5.100        94.58
GET       5.200        95.18
GET       5.300        95.71
GET       5.400        96.18
GET       5.500        96.59
GET       5.600        96.97
GET       5.700        97.31
GET       5.800        97.60
GET       5.900        97.87
GET       6.000        98.10
GET       6.100        98.30
GET       6.200        98.48
GET       6.300        98.63
GET       6.400        98.77
GET       6.500        98.90
GET       6.600        99.02
GET       6.700        99.14
GET       6.800        99.24
GET       6.900        99.32
GET       7.000        99.39
GET       7.100        99.45
GET       7.200        99.51
GET       7.300        99.56
GET       7.400        99.61
GET       7.500        99.65
GET       7.600        99.68
GET       7.700        99.70
GET       7.800        99.73
GET       7.900        99.75
GET       8.000        99.77
GET       8.100        99.79
GET       8.200        99.80
GET       8.300        99.81
GET       8.400        99.83
GET       8.500        99.84
GET       8.600        99.85
GET       8.700        99.85
GET       8.800        99.86
GET       8.900        99.86
GET       9.000        99.87
GET       9.100        99.88
GET       9.200        99.88
GET       9.300        99.88
GET       9.400        99.89
GET       9.500        99.89
GET       9.600        99.89
GET       9.700        99.90
GET       9.800        99.90
GET       9.900        99.91
GET      10.000        99.92
GET      11.000        99.94
GET      12.000        99.95
GET      13.000        99.95
GET      14.000        99.95
GET      15.000        99.96
GET      16.000        99.97
GET      17.000        99.99
GET      18.000       100.00
GET      19.000       100.00
GET      20.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1670.91          ---          ---      4.66400       159.91 
Gets        16690.76     16690.76         0.00      4.31400      1564.76 
Waits           0.00          ---          ---      0.00000          --- 
Totals      18361.67     16690.76         0.00      4.34600      1724.67 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.100         0.00
SET       1.200         0.01
SET       1.300         0.01
SET       1.400         0.01
SET       1.500         0.01
SET       1.600         0.02
SET       1.700         0.03
SET       1.800         0.03
SET       1.900         0.04
SET       2.000         0.06
SET       2.100         0.11
SET       2.200         0.32
SET       2.300         0.74
SET       2.400         1.57
SET       2.500         3.25
SET       2.600         5.88
SET       2.700         9.54
SET       2.800        14.37
SET       2.900        19.84
SET       3.000        25.96
SET       3.100        32.34
SET       3.200        38.68
SET       3.300        44.82
SET       3.400        50.43
SET       3.500        55.43
SET       3.600        59.82
SET       3.700        63.76
SET       3.800        67.32
SET       3.900        70.49
SET       4.000        73.38
SET       4.100        75.95
SET       4.200        78.15
SET       4.300        80.09
SET       4.400        81.86
SET       4.500        83.34
SET       4.600        84.59
SET       4.700        85.75
SET       4.800        86.61
SET       4.900        87.39
SET       5.000        88.01
SET       5.100        88.55
SET       5.200        89.01
SET       5.300        89.40
SET       5.400        89.74
SET       5.500        90.08
SET       5.600        90.40
SET       5.700        90.66
SET       5.800        90.91
SET       5.900        91.11
SET       6.000        91.30
SET       6.100        91.48
SET       6.200        91.66
SET       6.300        91.84
SET       6.400        92.05
SET       6.500        92.24
SET       6.600        92.41
SET       6.700        92.58
SET       6.800        92.77
SET       6.900        92.92
SET       7.000        93.08
SET       7.100        93.23
SET       7.200        93.36
SET       7.300        93.48
SET       7.400        93.60
SET       7.500        93.72
SET       7.600        93.87
SET       7.700        93.97
