4         Threads
20        Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         2066.40          ---          ---      3.74300       197.76 
Gets        20641.30     20641.30         0.00      3.49900      1935.12 
Waits           0.00          ---          ---      0.00000          --- 
Totals      22707.70     20641.30         0.00      3.52100      2132.88 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.810         0.00
SET       1.100         0.00
SET       1.200         0.01
SET       1.300         0.01
SET       1.400         0.01
SET       1.500         0.01
SET       1.600         0.02
SET       1.700         0.02
SET       1.800         0.02
SET       1.900         0.05
SET       2.000         0.08
SET       2.100         0.14
SET       2.200         0.31
SET       2.300         0.63
SET       2.400         1.35
SET       2.500         2.85
SET       2.600         5.25
SET       2.700         8.70
SET       2.800        13.27
SET       2.900        18.41
SET       3.000        24.33
SET       3.100        30.47
SET       3.200        36.48
SET       3.300        42.36
SET       3.400        47.73
SET       3.500        52.61
SET       3.600        56.90
SET       3.700        60.92
SET       3.800        64.45
SET       3.900        67.79
SET       4.000        71.06
SET       4.100        74.09
SET       4.200        76.86
SET       4.300        79.26
SET       4.400        81.53
SET       4.500        83.57
SET       4.600        85.31
SET       4.700        86.91
SET       4.800        88.26
SET       4.900        89.59
SET       5.000        90.83
SET       5.100        91.89
SET       5.200        92.78
SET       5.300        93.57
SET       5.400        94.26
SET       5.500        94.87
SET       5.600        95.44
SET       5.700        95.94
SET       5.800        96.38
SET       5.900        96.78
SET       6.000        97.09
SET       6.100        97.40
SET       6.200        97.69
SET       6.300        97.94
SET       6.400        98.15
SET       6.500        98.33
SET       6.600        98.49
SET       6.700        98.62
SET       6.800        98.76
SET       6.900        98.88
SET       7.000        98.99
SET       7.100        99.08
SET       7.200        99.15
SET       7.300        99.22
SET       7.400        99.27
SET       7.500        99.32
SET       7.600        99.37
SET       7.700        99.41
SET       7.800        99.46
SET       7.900        99.50
SET       8.000        99.54
SET       8.100        99.57
SET       8.200        99.60
SET       8.300        99.63
SET       8.400        99.65
SET       8.500        99.67
SET       8.600        99.69
SET       8.700        99.70
SET       8.800        99.71
SET       8.900        99.73
SET       9.000        99.74
SET       9.100        99.76
SET       9.200        99.76
SET       9.300        99.77
SET       9.400        99.78
SET       9.500        99.79
SET       9.600        99.79
SET       9.700        99.80
SET       9.800        99.80
SET       9.900        99.81
SET      10.000        99.86
SET      11.000        99.89
SET      12.000        99.90
SET      13.000        99.91
SET      14.000        99.93
SET      15.000        99.94
SET      16.000        99.95
SET      17.000        99.97
SET      18.000        99.98
SET      20.000        99.98
SET      21.000       100.00
SET      22.000       100.00
---
GET       0.230         0.00
GET       0.260         0.00
GET       0.270         0.00
GET       0.280         0.00
GET       0.290         0.00
GET       0.300         0.00
GET       0.310         0.00
GET       0.320         0.00
GET       0.330         0.00
GET       0.360         0.00
GET       0.370         0.00
GET       0.380         0.00
GET       0.390         0.00
GET       0.400         0.00
GET       0.410         0.00
GET       0.420         0.00
GET       0.430         0.00
GET       0.440         0.00
GET       0.450         0.00
GET       0.470         0.00
GET       0.480         0.01
GET       0.500         0.01
GET       0.510         0.01
GET       0.520         0.01
GET       0.530         0.01
GET       0.540         0.01
GET       0.550         0.01
GET       0.560         0.01
GET       0.570         0.01
GET       0.580         0.01
GET       0.600         0.01
GET       0.610         0.01
GET       0.620         0.01
GET       0.630         0.01
GET       0.640         0.01
GET       0.680         0.01
GET       0.690         0.01
GET       0.700         0.01
GET       0.730         0.01
GET       0.750         0.01
GET       0.760         0.01
GET       0.810         0.01
GET       0.820         0.01
GET       0.830         0.01
GET       0.860         0.01
GET       0.870         0.01
GET       0.900         0.01
GET       0.910         0.01
GET       0.920         0.01
GET       0.930         0.01
GET       0.940         0.01
GET       0.950         0.01
GET       0.960         0.01
GET       0.970         0.01
GET       0.980         0.01
GET       0.990         0.01
GET       1.000         0.01
GET       1.100         0.02
GET       1.200         0.03
GET       1.300         0.04
GET       1.400         0.07
GET       1.500         0.14
GET       1.600         0.23
GET       1.700         0.39
GET       1.800         0.62
GET       1.900         0.95
GET       2.000         1.47
GET       2.100         2.33
GET       2.200         3.68
GET       2.300         5.83
GET       2.400         8.82
GET       2.500        12.73
GET       2.600        17.36
GET       2.700        22.49
GET       2.800        27.96
GET       2.900        33.34
GET       3.000        38.66
GET       3.100        43.69
GET       3.200        48.48
GET       3.300        52.99
GET       3.400        57.23
GET       3.500        61.17
GET       3.600        64.79
GET       3.700        68.14
GET       3.800        71.26
GET       3.900        74.20
GET       4.000        76.93
GET       4.100        79.45
GET       4.200        81.72
GET       4.300        83.74
GET       4.400        85.59
GET       4.500        87.20
GET       4.600        88.64
GET       4.700        89.91
GET       4.800        91.03
GET       4.900        92.06
GET       5.000        92.94
GET       5.100        93.73
GET       5.200        94.44
GET       5.300        95.06
GET       5.400        95.61
GET       5.500        96.10
GET       5.600        96.53
GET       5.700        96.91
GET       5.800        97.26
GET       5.900        97.56
GET       6.000        97.83
GET       6.100        98.06
GET       6.200        98.27
GET       6.300        98.45
GET       6.400        98.61
GET       6.500        98.76
GET       6.600        98.88
GET       6.700        98.99
GET       6.800        99.09
GET       6.900        99.18
GET       7.000        99.24
GET       7.100        99.30
GET       7.200        99.35
GET       7.300        99.41
GET       7.400        99.45
GET       7.500        99.49
GET       7.600        99.53
GET       7.700        99.56
GET       7.800        99.58
GET       7.900        99.60
GET       8.000        99.63
GET       8.100        99.65
GET       8.200        99.66
GET       8.300        99.68
GET       8.400        99.69
GET       8.500        99.71
GET       8.600        99.72
GET       8.700        99.73
GET       8.800        99.75
GET       8.900        99.76
GET       9.000        99.77
GET       9.100        99.78
GET       9.200        99.79
GET       9.300        99.79
GET       9.400        99.80
GET       9.500        99.80
GET       9.600        99.81
GET       9.700        99.81
GET       9.800        99.82
GET       9.900        99.83
GET      10.000        99.86
GET      11.000        99.88
GET      12.000        99.91
GET      13.000        99.92
GET      14.000        99.92
GET      15.000        99.94
GET      16.000        99.96
GET      17.000        99.98
GET      18.000        99.98
GET      19.000        99.99
GET      20.000       100.00
GET      21.000       100.00
GET      22.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1867.91          ---          ---      4.17100       178.76 
Gets        18658.56     18658.56         0.00      3.86600      1749.24 
Waits           0.00          ---          ---      0.00000          --- 
Totals      20526.47     18658.56         0.00      3.89400      1928.01 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000         0.00
SET       1.400         0.01
SET       1.500         0.01
SET       1.600         0.01
SET       1.700         0.02
SET       1.900         0.02
SET       2.000         0.03
SET       2.100         0.06
SET       2.200         0.18
SET       2.300         0.49
SET       2.400         1.14
SET       2.500         2.34
SET       2.600         4.55
SET       2.700         8.00
SET       2.800        12.64
SET       2.900        17.85
SET       3.000        23.80
SET       3.100        30.25
SET       3.200        36.48
SET       3.300        42.42
SET       3.400        47.71
SET       3.500        52.51
SET       3.600        56.81
SET       3.700        60.59
SET       3.800        64.20
SET       3.900        67.34
SET       4.000        70.24
SET       4.100        72.78
SET       4.200        74.99
SET       4.300        76.93
SET       4.400        78.70
SET       4.500        80.26
SET       4.600        81.62
SET       4.700        82.82
SET       4.800        83.94
SET       4.900        84.92
SET       5.000        85.87
SET       5.100        86.69
SET       5.200        87.44
SET       5.300        88.12
SET       5.400        88.68
SET       5.500        89.16
SET       5.600        89.63
SET       5.700        90.06
SET       5.800        90.44
SET       5.900        90.81
SET       6.000        91.14
SET       6.100        91.41
SET       6.200        91.66
SET       6.300        91.90
SET       6.400        92.18
SET       6.500        92.42
SET       6.600        92.63
SET       6.700        92.84
SET       6.800        93.05
SET       6.900        93.25
SET       7.000        93.45
SET       7.100        93.61
SET       7.200        93.79
SET       7.300        93.93
SET       7.400        94.09
SET       7.500        94.23
SET       7.600        94.40
SET       7.700        94.56
SET       7.800        94.71
SET       7.900        94.82
SET       8.000        94.93
SET       8.100        95.06
SET       8.200        95.16
SET       8.300        95.28
SET       8.400        95.40
SET       8.500        95.50
SET       8.600        95.59
SET       8.700        95.66
SET       8.800        95.72
SET       8.900        95.78
SET       9.000        95.84
SET       9.100        95.91
SET       9.200        95.98
SET       9.300        96.05
SET       9.400        96.10
SET       9.500        96.15
SET       9.600        96.20
SET       9.700        96.27
SET       9.800        96.34
SET       9.900        96.40
SET      10.000        96.79
SET      11.000        97.57
SET      12.000        97.98
SET      13.000        98.34
SET      14.000        98.72
SET      15.000        99.05
SET      16.000        99.33
SET      17.000        99.48
SET      18.000        99.53
SET      19.000        99.65
SET      20.000        99.72
SET      21.000        99.78
SET      22.000        99.82
SET      23.000        99.84
SET      24.000        99.88
SET      25.000        99.89
SET      26.000        99.91
SET      27.000        99.92
SET      28.000        99.95
SET      29.000        99.95
SET      30.000        99.96
SET      31.000        99.97
SET      32.000        99.97
SET      33.000        99.98
SET      34.000        99.98
SET      35.000        99.98
SET      54.000        99.99
SET      55.000        99.99
