4         Threads
25        Connections per thread
10        Seconds


ALL STATS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         2176.40          ---          ---      4.60500      2333.24 
Gets        21701.49         0.00     21701.49      4.13100      1413.46 
Waits           0.00          ---          ---      0.00000          --- 
Totals      23877.89         0.00     21701.49      4.17400      3746.70 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.200         0.00
SET       2.300         0.01
SET       2.400         0.02
SET       2.500         0.04
SET       2.600         0.10
SET       2.700         0.16
SET       2.800         0.41
SET       2.900         0.96
SET       3.000         1.95
SET       3.100         3.52
SET       3.200         5.71
SET       3.300         8.46
SET       3.400        11.95
SET       3.500        15.84
SET       3.600        20.04
SET       3.700        24.47
SET       3.800        29.05
SET       3.900        33.77
SET       4.000        38.32
SET       4.100        42.81
SET       4.200        47.36
SET       4.300        51.47
SET       4.400        55.69
SET       4.500        59.48
SET       4.600        63.20
SET       4.700        66.59
SET       4.800        69.67
SET       4.900        72.44
SET       5.000        75.15
SET       5.100        77.53
SET       5.200        79.64
SET       5.300        81.56
SET       5.400        83.23
SET       5.500        84.79
SET       5.600        86.21
SET       5.700        87.43
SET       5.800        88.61
SET       5.900        89.64
SET       6.000        90.53
SET       6.100        91.36
SET       6.200        92.13
SET       6.300        92.82
SET       6.400        93.51
SET       6.500        94.09
SET       6.600        94.62
SET       6.700        95.08
SET       6.800        95.57
SET       6.900        95.96
SET       7.000        96.37
SET       7.100        96.74
SET       7.200        97.08
SET       7.300        97.40
SET       7.400        97.65
SET       7.500        97.89
SET       7.600        98.06
SET       7.700        98.26
SET       7.800        98.39
SET       7.900        98.52
SET       8.000        98.62
SET       8.100        98.70
SET       8.200        98.78
SET       8.300        98.83
SET       8.400        98.89
SET       8.500        98.94
SET       8.600        98.99
SET       8.700        99.04
SET       8.800        99.06
SET       8.900        99.10
SET       9.000        99.12
SET       9.100        99.14
SET       9.200        99.18
SET       9.300        99.21
SET       9.400        99.24
SET       9.500        99.26
SET       9.600        99.29
SET       9.700        99.30
SET       9.800        99.32
SET       9.900        99.35
SET      10.000        99.46
SET      11.000        99.48
SET      12.000        99.49
SET      16.000        99.49
SET      17.000        99.51
SET      18.000        99.53
SET      19.000        99.54
SET      20.000        99.58
SET      21.000        99.80
SET      22.000        99.96
SET      23.000       100.00
---
GET       0.950         0.00
GET       0.990         0.00
GET       1.100         0.00
GET       1.300         0.00
GET       1.400         0.01
GET       1.500         0.02
GET       1.600         0.04
GET       1.700         0.08
GET       1.800         0.13
GET       1.900         0.22
GET       2.000         0.34
GET       2.100         0.52
GET       2.200         0.76
GET       2.300         1.14
GET       2.400         1.75
GET       2.500         2.66
GET       2.600         3.96
GET       2.700         5.71
GET       2.800         7.94
GET       2.900        10.58
GET       3.000        13.62
GET       3.100        17.05
GET       3.200        20.80
GET       3.300        24.80
GET       3.400        28.96
GET       3.500        33.17
GET       3.600        37.56
GET       3.700        41.88
GET       3.800        46.17
GET       3.900        50.42
GET       4.000        54.53
GET       4.100        58.41
GET       4.200        62.17
GET       4.300        65.67
GET       4.400        68.96
GET       4.500        71.89
GET       4.600        74.60
GET       4.700        77.04
GET       4.800        79.28
GET       4.900        81.30
GET       5.000        83.02
GET       5.100        84.68
GET       5.200        86.13
GET       5.300        87.43
GET       5.400        88.67
GET       5.500        89.75
GET       5.600        90.74
GET       5.700        91.63
GET       5.800        92.41
GET       5.900        93.14
GET       6.000        93.77
GET       6.100        94.34
GET       6.200        94.88
GET       6.300        95.39
GET       6.400        95.86
GET       6.500        96.27
GET       6.600        96.66
GET       6.700        97.03
GET       6.800        97.35
GET       6.900        97.66
GET       7.000        97.93
GET       7.100        98.18
GET       7.200        98.40
GET       7.300        98.59
GET       7.400        98.78
GET       7.500        98.92
GET       7.600        99.02
GET       7.700        99.12
GET       7.800        99.20
GET       7.900        99.28
GET       8.000        99.35
GET       8.100        99.41
GET       8.200        99.47
GET       8.300        99.52
GET       8.400        99.55
GET       8.500        99.59
GET       8.600        99.62
GET       8.700        99.65
GET       8.800        99.67
GET       8.900        99.70
GET       9.000        99.72
GET       9.100        99.75
GET       9.200        99.77
GET       9.300        99.79
GET       9.400        99.81
GET       9.500        99.83
GET       9.600        99.84
GET       9.700        99.86
GET       9.800        99.87
GET       9.900        99.87
GET      10.000        99.92
GET      11.000        99.95
GET      12.000        99.96
GET      13.000        99.96
GET      15.000        99.96
GET      16.000        99.97
GET      17.000        99.98
GET      18.000       100.00
GET      19.000       100.00
---
