4         Threads
20        Connections per thread
10000     Requests per client


BEST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         2150.81          ---          ---      3.69900       205.84 
Gets        21484.45     21484.45         0.00      3.45000      2014.17 
Waits           0.00          ---          ---      0.00000          --- 
Totals      23635.25     21484.45         0.00      3.47300      2220.01 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.990         0.00
SET       1.300         0.00
SET       1.500         0.00
SET       1.600         0.01
SET       1.700         0.01
SET       1.800         0.01
SET       1.900         0.02
SET       2.000         0.03
SET       2.100         0.08
SET       2.200         0.20
SET       2.300         0.60
SET       2.400         1.34
SET       2.500         2.79
SET       2.600         5.25
SET       2.700         8.91
SET       2.800        13.37
SET       2.900        18.59
SET       3.000        24.18
SET       3.100        30.10
SET       3.200        36.15
SET       3.300        42.15
SET       3.400        47.77
SET       3.500        52.96
SET       3.600        57.69
SET       3.700        61.90
SET       3.800        65.84
SET       3.900        69.34
SET       4.000        72.64
SET       4.100        75.70
SET       4.200        78.50
SET       4.300        81.09
SET       4.400        83.39
SET       4.500        85.41
SET       4.600        87.16
SET       4.700        88.76
SET       4.800        90.24
SET       4.900        91.46
SET       5.000        92.47
SET       5.100        93.33
SET       5.200        94.14
SET       5.300        94.88
SET       5.400        95.47
SET       5.500        95.98
SET       5.600        96.39
SET       5.700        96.79
SET       5.800        97.12
SET       5.900        97.44
SET       6.000        97.69
SET       6.100        97.94
SET       6.200        98.20
SET       6.300        98.39
SET       6.400        98.58
SET       6.500        98.72
SET       6.600        98.88
SET       6.700        98.99
SET       6.800        99.10
SET       6.900        99.20
SET       7.000        99.29
SET       7.100        99.36
SET       7.200        99.44
SET       7.300        99.48
SET       7.400        99.54
SET       7.500        99.57
SET       7.600        99.62
SET       7.700        99.67
SET       7.800        99.70
SET       7.900        99.72
SET       8.000        99.74
SET       8.100        99.77
SET       8.200        99.78
SET       8.300        99.80
SET       8.400        99.82
SET       8.500        99.84
SET       8.600        99.85
SET       8.700        99.86
SET       8.800        99.87
SET       8.900        99.87
SET       9.100        99.88
SET       9.200        99.88
SET       9.300        99.88
SET       9.400        99.89
SET       9.500        99.89
SET       9.600        99.89
SET       9.700        99.90
SET       9.800        99.90
SET       9.900        99.90
SET      10.000        99.92
SET      11.000        99.94
SET      12.000        99.94
SET      15.000        99.94
SET      16.000        99.95
SET      17.000        99.96
SET      19.000        99.97
SET      20.000        99.99
SET      21.000        99.99
SET      22.000       100.00
SET      23.000       100.00
---
GET       0.240         0.00
GET       0.330         0.00
GET       0.350         0.00
GET       0.400         0.00
GET       0.450         0.00
GET       0.470         0.00
GET       0.480         0.00
GET       0.500         0.00
GET       0.520         0.00
GET       0.530         0.00
GET       0.540         0.00
GET       0.550         0.00
GET       0.560         0.00
GET       0.580         0.00
GET       0.590         0.00
GET       0.600         0.00
GET       0.610         0.00
GET       0.710         0.00
GET       0.720         0.00
GET       0.760         0.00
GET       0.810         0.00
GET       0.850         0.00
GET       0.870         0.00
GET       0.880         0.00
GET       0.950         0.00
GET       0.960         0.00
GET       0.970         0.00
GET       0.980         0.01
GET       0.990         0.01
GET       1.000         0.01
GET       1.100         0.01
GET       1.200         0.02
GET       1.300         0.03
GET       1.400         0.06
GET       1.500         0.11
GET       1.600         0.20
GET       1.700         0.33
GET       1.800         0.54
GET       1.900         0.88
GET       2.000         1.43
GET       2.100         2.32
GET       2.200         3.77
GET       2.300         5.98
GET       2.400         9.03
GET       2.500        12.92
GET       2.600        17.51
GET       2.700        22.59
GET       2.800        27.94
GET       2.900        33.33
GET       3.000        38.71
GET       3.100        43.94
GET       3.200        48.95
GET       3.300        53.75
GET       3.400        58.25
GET       3.500        62.43
GET       3.600        66.25
GET       3.700        69.79
GET       3.800        73.14
GET       3.900        76.24
GET       4.000        79.07
GET       4.100        81.60
GET       4.200        83.79
GET       4.300        85.78
GET       4.400        87.55
GET       4.500        89.05
GET       4.600        90.40
GET       4.700        91.58
GET       4.800        92.61
GET       4.900        93.51
GET       5.000        94.28
GET       5.100        94.94
GET       5.200        95.53
GET       5.300        96.07
GET       5.400        96.54
GET       5.500        96.94
GET       5.600        97.29
GET       5.700        97.60
GET       5.800        97.86
GET       5.900        98.11
GET       6.000        98.32
GET       6.100        98.52
GET       6.200        98.71
GET       6.300        98.86
GET       6.400        98.99
GET       6.500        99.10
GET       6.600        99.19
GET       6.700        99.27
GET       6.800        99.35
GET       6.900        99.41
GET       7.000        99.48
GET       7.100        99.54
GET       7.200        99.58
GET       7.300        99.62
GET       7.400        99.65
GET       7.500        99.67
GET       7.600        99.70
GET       7.700        99.72
GET       7.800        99.74
GET       7.900        99.76
GET       8.000        99.78
GET       8.100        99.80
GET       8.200        99.82
GET       8.300        99.83
GET       8.400        99.84
GET       8.500        99.85
GET       8.600        99.85
GET       8.700        99.86
GET       8.800        99.87
GET       8.900        99.87
GET       9.000        99.87
GET       9.100        99.88
GET       9.200        99.88
GET       9.300        99.89
GET       9.400        99.89
GET       9.500        99.89
GET       9.600        99.89
GET       9.700        99.90
GET       9.800        99.90
GET       9.900        99.91
GET      10.000        99.92
GET      11.000        99.94
GET      12.000        99.94
GET      13.000        99.94
GET      14.000        99.94
GET      15.000        99.95
GET      16.000        99.96
GET      17.000        99.97
GET      18.000        99.97
GET      19.000        99.98
GET      20.000        99.99
GET      21.000       100.00
GET      22.000       100.00
GET      23.000       100.00
---


WORST RUN RESULTS
=========================================================================
Type         Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec 
-------------------------------------------------------------------------
Sets         1817.63          ---          ---      4.28500       173.95 
Gets        18156.32     18156.32         0.00      3.96600      1702.15 
Waits           0.00          ---          ---      0.00000          --- 
Totals      19973.95     18156.32         0.00      3.99500      1876.11 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.930         0.00
SET       1.100         0.00
SET       1.200         0.01
SET       1.300         0.01
SET       1.600         0.01
SET       1.700         0.01
SET       1.800         0.01
SET       1.900         0.02
SET       2.000         0.02
SET       2.100         0.07
SET       2.200         0.25
SET       2.300         0.63
SET       2.400         1.43
SET       2.500         2.85
SET       2.600         5.15
SET       2.700         8.37
SET       2.800        12.41
SET       2.900        16.97
SET       3.000        22.02
SET       3.100        27.17
SET       3.200        32.53
SET       3.300        37.71
SET       3.400        42.56
SET       3.500        46.99
SET       3.600        51.03
SET       3.700        54.70
SET       3.800        58.14
SET       3.900        61.29
SET       4.000        64.28
SET       4.100        67.07
SET       4.200        69.49
SET       4.300        71.71
SET       4.400        73.81
SET       4.500        75.63
SET       4.600        77.36
SET       4.700        78.86
SET       4.800        80.28
SET       4.900        81.46
SET       5.000        82.50
SET       5.100        83.52
SET       5.200        84.34
SET       5.300        85.10
SET       5.400        85.78
SET       5.500        86.38
SET       5.600        86.98
SET       5.700        87.52
SET       5.800        88.05
SET       5.900        88.46
SET       6.000        88.83
SET       6.100        89.21
SET       6.200        89.55
SET       6.300        89.91
SET       6.400        90.25
SET       6.500        90.56
SET       6.600        90.85
SET       6.700        91.11
SET       6.800        91.38
SET       6.900        91.64
SET       7.000        91.93
SET       7.100        92.19
SET       7.200        92.41
SET       7.300        92.67
SET       7.400        92.94
SET       7.500        93.18
SET       7.600        93.41
SET       7.700        93.62
SET       7.800        93.85
SET       7.900        94.07
SET       8.000        94.29
SET       8.100        94.47
SET       8.200        94.64
SET       8.300        94.82
SET       8.400        94.96
SET       8.500        95.09
SET       8.600        95.23
SET       8.700        95.35
SET       8.800        95.49
SET       8.900        95.62
SET       9.000        95.76
SET       9.100        95.88
SET       9.200        95.98
SET       9.300        96.10
SET       9.400        96.21
SET       9.500        96.32
SET       9.600        96.40
SET       9.700        96.49
SET       9.800        96.57
SET       9.900        96.64
SET      10.000        97.08
SET      11.000        97.77
SET      12.000        98.34
SET      13.000        98.70
SET      14.000        99.06
SET      15.000        99.38
SET      16.000        99.57
SET      17.000        99.67
SET      18.000        99.75
SET      19.000        99.86
SET      20.000        99.92
SET      21.000        99.93
SET      22.000        99.95
SET      23.000        99.96
SET      24.000        99.97
SET      28.000        99.98
SET      29.000        99.99
SET      31.000       100.00
SET      33.000       100.00
---
GET       0.190         0.00
GET       0.200         0.00
GET       0.240         0.00
GET       0.260         0.00
GET       0.270         0.00
GET       0.280         0.00
GET       0.290         0.00
GET       0.300         0.00
GET       0.310         0.00
GET       0.320         0.00
GET       0.330         0.00
GET       0.350         0.00
GET       0.360         0.00
GET       0.370         0.00
GET       0.380         0.00
GET       0.400         0.00
GET       0.410         0.00
GET       0.430         0.00
GET       0.440         0.00
GET       0.460         0.01
GET       0.470         0.01
GET       0.490         0.01
GET       0.500         0.01
GET       0.510         0.01
GET       0.520         0.01
GET       0.530         0.01
GET       0.540         0.01
GET       0.550         0.01
GET       0.560         0.01
GET       0.590         0.01
GET       0.610         0.01
GET       0.640         0.01
GET       0.700         0.01
GET       0.730         0.01
GET       0.740         0.01
GET       0.790         0.01
GET       0.800         0.01
GET       0.820         0.01
GET       0.830         0.01
GET       0.860         0.01
GET       0.870         0.01
GET       0.880         0.01
GET       0.910         0.01
GET       0.920         0.01
GET       0.940         0.01
GET       0.950         0.01
GET       0.960         0.01
GET       0.970         0.01
GET       0.980         0.01
GET       0.990         0.01
GET       1.000         0.02
GET       1.100         0.02
GET       1.200         0.04
GET       1.300         0.06
GET       1.400         0.09
GET       1.500         0.15
GET       1.600         0.24
GET       1.700         0.38
GET       1.800         0.60
GET       1.900         0.94
GET       2.000         1.47
GET       2.100         2.34
GET       2.200         3.73
GET       2.300         5.86
GET       2.400         8.66
GET       2.500        12.23
GET       2.600        16.35
GET       2.700        20.86
GET       2.800        25.66
GET       2.900        30.37
GET       3.000        35.05
GET       3.100        39.60
GET       3.200        43.96
GET       3.300        48.12
GET       3.400        52.02
GET       3.500        55.66
GET       3.600        59.03
GET       3.700        62.20
GET       3.800        65.20
GET       3.900        67.99
GET       4.000        70.52
GET       4.100        72.80
GET       4.200        74.86
GET       4.300        76.70
GET       4.400        78.35
GET       4.500        79.81
GET       4.600        81.13
GET       4.700        82.30
GET       4.800        83.34
GET       4.900        84.28
GET       5.000        85.14
GET       5.100        85.92
GET       5.200        86.60
GET       5.300        87.25
GET       5.400        87.84
GET       5.500        88.39
GET       5.600        88.92
GET       5.700        89.40
GET       5.800        89.85
GET       5.900        90.26
GET       6.000        90.64
GET       6.100        90.99
GET       6.200        91.33
GET       6.300        91.65
GET       6.400        91.97
GET       6.500        92.27
GET       6.600        92.55
GET       6.700        92.83
GET       6.800        93.10
GET       6.900        93.34
GET       7.000        93.58
GET       7.100        93.80
GET       7.200        94.03
GET       7.300        94.24
GET       7.400        94.44
GET       7.500        94.62
GET       7.600        94.80
GET       7.700        94.98
GET       7.800        95.14
GET       7.900        95.29
GET       8.000        95.44
GET       8.100        95.58
GET       8.200        95.72
GET       8.300        95.85
GET       8.400        95.98
GET       8.500        96.10
GET       8.600        96.22
GET       8.700        96.34
GET       8.800        96.44
GET       8.900        96.55
GET       9.000        96.64
GET       9.100        96.73
GET       9.200        96.81
GET       9.300        96.90
GET       9.400        96.98
GET       9.500        97.06
GET       9.600        97.13
GET       9.700        97.20
GET       9.800        97.28
GET       9.900        97.35
GET      10.000        97.71
GET      11.000        98.28
GET      12.000        98.72
GET      13.000        99.03
GET      14.000        99.35
GET      15.000        99.57
GET      16.000        99.69
GET      17.000        99.77
GET      18.000        99.83
GET      19.000        99.89
GET      20.000        99.93
GET      21.000        99.94
GET      22.000        99.96
GET      23.000        99.97
GET      24.000        99.98
GET      25.000        99.98
GET      26.000        99.98
GET      27.000        99.98
GET      28.000        99.99
GET      29.000        99.99
